Feature,../../data/brains/away_from_mni.nii.gz
inconsistent,0.0248
incorrect,-0.0113
increases,-0.0338
increasing,-0.0426
increasingly,0.0044
independent,-0.0502
independent component,-0.0495
independently,0.0298
index,0.039
index finger,0.0471
indexed,0.0114
indicate,0.0115
indicated,-0.0471
indicates,0.0054
indicating,0.0151
indices,0.0382
indirect,0.0158
individual,-0.0191
individual variability,-0.0047
individually,0.0027
individuals,-0.0112
induce,0.0118
induced,0.0343
induces,0.0309
inducing,-0.0068
induction,0.0147
infer,0.0245
inference,0.0496
inferences,0.0279
inferior,0.0747
inferior frontal,0.1248
inferior middle,0.0182
inferior occipital,-0.0155
inferior parietal,-0.0572
inferior prefrontal,-0.017
inferior superior,-0.0134
inferior temporal,0.0165
influence,-0.0327
influenced,-0.0122
influences,-0.0185
inform,-0.016
information,0.0079
inhibit,-0.0689
inhibition,-0.0574
inhibitory,-0.0193
inhibitory control,-0.0602
initial,0.0365
initially,-0.0082
initiation,-0.0079
injury,0.0077
input,0.0927
inputs,0.0593
insight,-0.0358
insights,-0.0346
instead,-0.0206
instructed,0.0088
instruction,-0.0145
instructions,-0.0419
insula,0.0484
insula anterior,0.0243
insula inferior,-0.0047
insular,0.0666
insular cortex,0.0529
intact,-0.0303
integrate,0.0052
integrated,0.0142
integrating,0.028
integration,0.1209
integrative,0.0108
integrity,0.0086
intelligence,-0.0369
intense,0.0079
intensity,0.065
intention,-0.0377
intentional,0.0064
intentions,-0.008
inter,0.0171
inter individual,-0.0093
interact,-0.0317
interacting,0.0094
interaction,0.0024
interactions,0.0078
interactive,-0.0456
interacts,0.0261
interestingly,-0.0014
interference,-0.0532
interhemispheric,0.0361
intermediate,-0.006
internal,-0.0226
internally,-0.0539
interoceptive,-0.0109
interpersonal,0.0063
interplay,0.0243
interpret,0.0375
interpretation,0.0101
interpreted,0.0337
interval,0.0174
intervals,0.0376
intervention,0.0161
interventions,-0.0014
intra,-0.0503
intraparietal,-0.0902
intraparietal sulcus,-0.0937
intrinsic,-0.0322
intrinsic functional,-0.0394
introduced,0.006
introduction,0.0197
invariant,-0.0271
invasive,0.0005
inventory,0.0203
inverse,-0.0055
inversely,0.014
investigates,0.0021
investigating,-0.007
investigation,0.0089
investigations,-0.0265
involve,-0.0069
involved,0.0457
involved cognitive,-0.0187
involvement,-0.0132
involves,0.0231
involving,0.0297
ipl,-0.0429
ips,-0.0958
ipsilateral,0.0952
iq,0.014
irrelevant,-0.0485
irrespective,0.006
isolate,-0.0158
isolated,0.0285
issue,-0.0052
issues,-0.0013
item,-0.0497
items,-0.0512
iv,0.0191
joint,0.0163
judge,-0.007
judged,-0.0281
judgment,0.0001
judgment task,0.0232
judgments,-0.0191
junction,-0.009
junction tpj,-0.05
just,0.0067
key,-0.0121
key role,0.0175
kinds,-0.0098
know,0.0083
knowledge,0.0242
known,0.0058
known involved,0.0397
labeling,-0.0038
laboratory,-0.0338
lack,-0.0048
lacking,0.0168
language,0.1833
language comprehension,0.1425
language network,0.1029
languages,0.1096
large,-0.0445
large sample,-0.02
large scale,-0.0219
largely,-0.0125
largely unknown,0.0187
larger,-0.0047
late,-0.017
latencies,0.0568
latency,0.0035
later,-0.0155
lateral,-0.0859
lateral frontal,-0.0432
lateral medial,-0.0154
lateral occipital,-0.0592
lateral orbitofrontal,-0.0213
lateral parietal,-0.0778
lateral prefrontal,-0.0743
lateral temporal,0.0247
laterality,0.0722
lateralization,0.0803
lateralized,0.1084
lead,-0.0085
leading,-0.0059
leads,0.007
learn,0.0115
learned,-0.0203
learning,-0.0299
learning task,-0.0536
led,0.0103
length,0.0238
lesion,0.053
lesions,0.0258
lesser,0.0065
letter,0.0076
letters,-0.0004
level,0.0451
level bold,0.0158
level signal,0.0068
levels,-0.0492
lexical,0.1147
lexical decision,0.0694
life,-0.0374
light,0.0144
like,-0.0189
likelihood,-0.0171
likely,0.014
limb,0.0714
limbic,-0.0081
limitations,-0.0404
limited,0.0023
line,-0.0281
linear,-0.0405
linear model,0.0078
linearly,-0.0585
lingual,-0.0386
lingual gyrus,-0.0275
linguistic,0.1519
link,-0.0455
linked,-0.0425
linking,0.032
links,-0.0244
list,0.0139
listened,0.1598
listening,0.1875
literature,-0.0297
little,-0.0131
little known,-0.0212
load,-0.0786
lobe,-0.0127
lobe mtl,-0.0313
lobes,-0.0008
lobule,-0.0401
lobule ipl,-0.0452
lobules,-0.0214
local,-0.0007
localization,0.0401
localize,0.0666
localized,0.0553
located,-0.0066
location,-0.0492
locations,-0.0966
locus,-0.0017
long,-0.0174
long term,-0.0379
longer,0.0019
longitudinal,0.0385
loop,0.0426
loss,0.0112
losses,-0.0364
low,-0.0279
low frequency,-0.0116
low high,-0.0241
low level,0.0121
lower,-0.0297
m1,0.0744
machine,-0.0437
magnetic,0.0205
magnetic resonance,0.0149
magnetic stimulation,0.0553
magnetoencephalography,0.0599
magnitude,-0.0311
main,0.0405
main effect,0.0361
mainly,0.0138
maintain,-0.0348
maintained,-0.0801
maintaining,-0.0854
maintenance,-0.0804
major,-0.0092
major depression,-0.0311
major depressive,-0.0417
majority,0.0315
make,-0.0726
making,-0.0999
male,0.0131
male female,0.0113
males,0.0038
manifest,-0.0311
manipulated,0.0313
manipulating,0.0118
manipulation,-0.0423
manipulations,0.0179
manner,-0.0051
manual,0.0491
map,0.0037
mapp,-0.0152
mapped,-0.0083
mapping,0.0529
maps,0.0782
marked,0.0251
marker,-0.019
markers,-0.0157
masked,-0.0072
mass,-0.0067
match,-0.0215
matching,-0.0098
matching task,-0.0263
material,-0.0103
materials,0.0142
matrix,0.0251
matter,-0.0094
matter density,0.004
matter gm,0.0025
matter volume,-0.0094
matter volumes,-0.0043
maturation,-0.0458
maximal,0.0205
maximum,0.0083
mci,-0.0235
mdd,-0.0288
mean,-0.0059
mean age,-0.0058
meaning,0.1159
meaningful,0.0516
means,-0.0039
measure,-0.02
measurement,-0.0206
measurements,-0.0067
measures,-0.0102
measuring,0.027
mechanism,-0.0313
mechanisms,-0.0277
mechanisms involved,0.0032
mechanisms underlying,-0.0093
medial,-0.0832
medial frontal,-0.0611
medial lateral,-0.0423
medial orbitofrontal,-0.0537
medial pfc,-0.0128
medial prefrontal,-0.0418
medial superior,-0.0385
medial temporal,-0.0471
median,0.0415
mediate,-0.0262
mediated,-0.0474
mediates,-0.0027
mediating,0.0018
medication,-0.0059
meg,0.052
memories,-0.0204
memory,-0.1063
memory encoding,-0.019
memory load,-0.0794
memory performance,-0.0476
memory processes,-0.0498
memory retrieval,-0.0609
memory task,-0.0738
memory tasks,-0.0162
memory test,-0.0356
memory wm,-0.0769
men,-0.0062
men women,-0.0083
mental,-0.0261
mental imagery,-0.0391
mental state,0.0371
mental states,0.0769
mentalizing,0.0195
mesial,-0.0049
mesolimbic,-0.0261
met,-0.0352
metabolic,-0.0436
metabolism,-0.0394
method,0.0131
methodological,0.0194
methodology,-0.0716
methodology principal,-0.0874
methods,-0.0291
methods functional,-0.0169
mfg,0.0134
mg,-0.0273
mid,0.0145
midbrain,-0.0007
middle,0.0643
middle cingulate,-0.006
middle frontal,-0.0393
middle inferior,0.0302
middle occipital,-0.0446
middle superior,0.0411
middle temporal,0.1119
midline,-0.0283
mild,-0.0407
mild cognitive,-0.0529
min,0.0078
mind,0.0449
mind tom,0.0482
minimal,-0.0221
mirror,0.0536
mirror neuron,0.033
mixed,-0.0189
mm,-0.0253
mnemonic,-0.0335
modal,0.0287
modalities,0.0071
modality,0.0871
mode,-0.0692
mode network,-0.0626
model,0.0431
modeling,0.0292
models,0.0214
moderate,0.0056
modified,-0.0364
modulate,-0.0178
modulated,0.0051
modulates,-0.0045
modulating,-0.0118
modulation,0.0076
modulations,0.043
modulatory,0.0179
monetary,-0.0649
monetary incentive,-0.0325
monetary reward,-0.0576
money,-0.0692
monitor,0.0367
monitored,-0.0186
monitoring,-0.0609
monkey,0.0203
monkeys,-0.0356
months,0.0273
mood,-0.0277
moral,0.0081
morphological,0.0306
morphology,0.069
morphometry,0.0027
morphometry vbm,-0.0015
motion,-0.0307
motivation,-0.0463
motivational,-0.055
motor,0.08
motor control,0.0532
motor cortex,0.1131
motor function,0.0613
motor imagery,0.0334
motor network,0.0579
motor performance,0.0444
motor pre,-0.0161
motor premotor,0.0694
motor response,-0.0079
motor responses,0.0171
motor sma,0.0816
motor task,0.0503
movement,0.0823
movements,0.0556
moving,-0.0229
mpfc,-0.032
mr,0.0122
ms,0.0044
mt,-0.016
mtg,0.1066
mtl,-0.0245
multi,0.0191
multimodal,0.0072
multiple,-0.0416
multiple comparisons,-0.0204
multiple sclerosis,0.0034
multisensory,0.0377
multivariate,-0.0329
multivariate pattern,-0.0047
muscle,0.0782
music,0.1309
musical,0.1058
musicians,0.0927
naive,-0.029
names,0.01
naming,0.0935
native,0.1055
natural,0.0313
naturalistic,0.05
nature,-0.0073
navigation,-0.1214
near,-0.0274
necessary,-0.0342
need,-0.0278
needed,-0.0202
needs,0.0084
negative,-0.0297
negative affect,0.0009
negative correlation,-0.0198
negative correlations,0.0051
negative emotional,0.006
negative emotions,0.0086
negative feedback,-0.0632
negative neutral,0.025
negative positive,-0.0204
negatively,-0.049
negatively correlated,-0.0424
negativity,-0.0263
neocortical,-0.0208
nerve,0.0763
nervous,0.0359
network,-0.0482
network connectivity,-0.0413
network dmn,-0.0607
network involved,-0.0206
networks,-0.0684
networks involved,0.0141
neuro,-0.0254
neuroanatomical,0.0294
neuroanatomy,0.0436
neurobiological,-0.046
neurobiology,-0.0405
neurocognitive,-0.0152
neurodegenerative,0.0299
neurodevelopmental,-0.0576
neurofunctional,-0.0042
neurological,-0.0082
neuron,0.0214
neuronal,-0.0346
neurons,0.0126
neurophysiological,0.0252
neuropsychiatric,0.0043
neuropsychological,-0.0563
neuroscience,-0.0023
neutral,0.0034
neutral faces,-0.0043
neutral pictures,0.0067
neutral stimuli,-0.0035
new,-0.0148
new insights,-0.0325
newly,-0.0223
nineteen,-0.0196
nociceptive,0.0634
node,0.0016
nodes,-0.0209
nogo,-0.0516
noise,0.1145
non,0.0138
normal,0.0385
normal controls,-0.0421
normalized,-0.0287
normally,0.0292
notably,0.0289
noted,-0.0378
notion,0.0027
nouns,0.0718
novel,-0.0366
novelty,-0.0085
noxious,0.0325
nuclei,0.0061
nucleus,-0.0389
nucleus accumbens,-0.0356
number,-0.0627
numbers,-0.0652
numerical,-0.0751
numerous,-0.0225
object,-0.0655
object recognition,-0.0572
objective,0.0094
objectives,0.0131
objects,-0.0604
observation,0.0122
observations,-0.0056
observer,-0.0258
observers,-0.0265
observing,0.0063
obsessive,-0.0619
obsessive compulsive,-0.062
obtain,0.0037
obtained,-0.0077
occipital,-0.0849
occipital cortex,-0.0467
occipital gyrus,-0.04
occipital lobe,-0.0582
occipital parietal,-0.0496
occipital temporal,-0.0443
occipito,-0.0314
occipito temporal,-0.0398
occipitotemporal,-0.0287
occipitotemporal cortex,-0.0419
occur,-0.0449
occurred,-0.014
occurrence,-0.0071
occurring,0.0127
occurs,0.0389
ocd,-0.0551
oddball,0.0276
ofc,-0.0408
offer,0.0301
offers,-0.0279
old,-0.0732
older,-0.0571
older adults,-0.0459
olfactory,-0.0166
ones,-0.042
ongoing,-0.0034
online,0.0007
onset,0.0337
open,-0.0377
operation,-0.0273
operations,-0.0217
opercular,0.0886
opercularis,0.0862
operculum,0.0817
opportunity,-0.0187
opposed,-0.019
opposite,-0.0397
optimal,-0.0367
optimized,0.0429
options,-0.0306
oral,0.1024
orbital,-0.0123
orbitofrontal,-0.0575
orbitofrontal cortex,-0.056
order,0.0306
organization,0.0346
organized,0.0155
orientation,-0.0752
oriented,-0.047
orienting,-0.0779
origin,-0.0401
original,-0.0085
orthographic,0.0384
oscillations,-0.0009
outcome,-0.0186
outcomes,-0.0744
output,0.096
outside,-0.0368
outside scanner,-0.034
overall,-0.0054
overcome,-0.0033
overlap,-0.0261
overlapped,-0.0165
overlapping,-0.0165
overt,0.0759
oxygen,0.0122
oxygen level,0.0145
oxygenation,-0.001
oxygenation level,-0.0077
paced,0.0685
pain,0.0519
painful,0.0439
pair,0.0184
paired,-0.0033
pairs,0.0169
pallidus,0.0159
paper,0.0138
paradigm,-0.0574
paradigms,-0.0148
parahippocampal,-0.0598
parahippocampal cortex,-0.0457
parahippocampal gyrus,-0.0474
parahippocampus,0.0013
paralimbic,0.0209
parallel,-0.0263
parameter,-0.0079
parameters,0.0241
parametric,-0.0243
parametric mapping,0.0025
parametrically,-0.0211
parietal,-0.116
parietal cortex,-0.1113
parietal cortices,-0.0789
parietal frontal,-0.0869
parietal junction,0.0168
parietal lobe,-0.0473
parietal lobes,-0.0482
parietal lobule,-0.0585
parietal lobules,-0.0545
parietal network,-0.1048
parietal occipital,-0.0528
parietal temporal,-0.0195
parieto,-0.0286
parieto occipital,-0.0529
parkinson,0.0017
parkinson disease,0.0031
pars,0.1287
pars opercularis,0.0862
partial,-0.0151
partially,0.0212
participant,-0.0104
participate,-0.0161
participated,-0.0006
particular,0.0164
particularly,-0.0334
partly,-0.0354
partner,-0.0366
parts,-0.0062
passive,0.1107
passive viewing,-0.0121
passively,0.0286
past,-0.0319
pathological,-0.0027
pathology,0.0038
pathophysiological,0.0001
pathophysiology,-0.0078
pathway,0.0194
pathways,0.0208
patient,0.048
patient group,0.0299
patient groups,0.0197
pattern,-0.0192
patterns,-0.0195
pcc,-0.0573
pd,-0.0031
peak,0.0822
people,-0.028
perceive,0.0332
perceived,0.038
perceiving,0.0069
percept,0.0006
perception,0.0747
perceptual,0.005
perform,-0.0388
performance,-0.092
performance task,-0.0399
performances,0.0191
performing,0.0335
perfusion,-0.0336
periaqueductal,0.0015
period,-0.01
periodicals,-0.0187
periods,-0.015
peripheral,-0.012
persistent,-0.0096
person,-0.0022
personal,-0.0038
personality,-0.007
personality traits,0.0195
persons,0.0135
perspective,-0.0392
pet,0.0203
pfc,-0.0447
pharmacological,-0.0257
phase,0.0147
phases,-0.0051
phenomena,-0.0008
phenomenon,0.0562
phenotype,-0.0273
phonological,0.1263
photographs,-0.0454
physical,0.0386
physiological,0.0242
picture,0.0094
pictures,-0.0394
pitch,0.1349
place,-0.0266
placebo,-0.0399
placebo controlled,-0.0285
planning,-0.0245
planum,0.1359
planum temporale,0.1324
plasticity,0.0689
play,-0.0029
play important,0.0298
play role,0.013
played,-0.0128
playing,0.0007
plays,0.0102
plays important,-0.0116
plays role,-0.0072
pleasant,0.0612
point,-0.0343
pointing,-0.0661
points,-0.0442
pole,0.0504
polymorphism,-0.0439
poor,-0.0339
poorer,0.0001
poorly,-0.034
poorly understood,-0.0358
population,-0.0128
populations,-0.005
portion,0.0363
portions,-0.0379
position,-0.0054
positive,-0.0142
positive correlation,0.0118
positive correlations,0.0102
positive negative,0.0014
positively,-0.0583
positively correlated,-0.0661
positron,-0.023
positron emission,-0.0228
possibility,0.0318
possible,0.0104
possibly,-0.033
post,-0.0062
post hoc,0.0248
postcentral,0.0554
postcentral gyrus,0.0453
posterior,-0.0203
posterior anterior,0.0027
posterior cingulate,-0.0855
posterior inferior,0.0257
posterior insula,0.0768
posterior middle,0.0832
posterior parietal,-0.0985
posterior superior,0.1047
posterior temporal,0.0599
posttraumatic,-0.0338
potential,-0.0228
potentially,-0.017
potentials,0.0237
power,-0.0148
powerful,-0.0071
ppc,-0.0705
ppi,0.0343
practice,0.0306
pre,-0.0115
pre post,0.0014
pre sma,-0.0162
pre supplementary,-0.0239
preceded,-0.0248
preceding,0.015
precentral,0.0942
precentral gyrus,0.086
precise,0.0106
precuneus,-0.1454
precuneus posterior,-0.0814
predict,-0.0075
predicted,0.0013
predicting,-0.0418
prediction,-0.0316
prediction error,-0.0314
predictions,-0.0125
predictive,0.0064
predictors,0.0217
predicts,0.0058
predominantly,0.0204
preference,-0.01
preferences,-0.0403
preferential,-0.0018
preferentially,0.0137
prefrontal,-0.1316
prefrontal cortex,-0.1216
prefrontal cortical,-0.0102
prefrontal cortices,-0.0856
prefrontal parietal,-0.0693
preliminary,-0.0147
premotor,0.0639
premotor cortex,0.064
preparation,-0.0354
preparatory,-0.0596
presence,0.0354
presentation,-0.0137
presentations,-0.0225
presented,-0.0101
presenting,-0.0056
preserved,-0.0094
press,0.0114
pressure,0.0377
presumably,0.0229
previous,-0.019
previous functional,-0.0149
previous reports,0.0205
previous research,-0.0233
previous shown,-0.0111
previous work,-0.0374
primarily,-0.0121
primary,0.127
primary auditory,0.1454
primary motor,0.1106
primary secondary,0.0925
primary sensorimotor,0.0597
primary somatosensory,0.0683
primary visual,-0.0184
primates,0.038
prime,0.0054
priming,0.0045
principal,-0.0486
principle,0.0253
prior,-0.0257
priori,-0.0427
probabilistic,-0.023
probability,-0.0217
probably,0.026
probe,-0.0491
problem,-0.0087
problems,-0.0092
procedure,0.0368
procedures,-0.0545
process,-0.0355
processed,0.0595
processes,-0.0296
processes involved,-0.0266
processes underlying,-0.009
produce,0.0474
produced,0.0883
producing,0.0653
production,0.1547
profile,-0.0103
profiles,0.0107
progression,-0.0278
progressive,0.0094
prolonged,0.0096
prominent,0.0291
promising,-0.022
pronounced,0.0231
proper,0.0645
properties,0.0631
proportion,-0.0417
propose,-0.0303
proposed,-0.0046
prospective,-0.0928
protocol,0.0118
provide,-0.0679
provide evidence,-0.033
provide new,-0.0383
provide novel,-0.0425
provided,-0.0219
provides,0.0356
provides evidence,0.0151
providing,0.0008
pseudowords,0.1197
psts,0.0644
psychiatric,-0.07
psychiatric disorders,-0.0402
psychological,-0.012
psychopathology,-0.0316
psychophysical,0.0068
psychophysiological,0.006
psychophysiological interaction,0.0094
psychosis,0.0111
psychotic,-0.0258
ptsd,-0.0521
published,0.0039
punishment,-0.0437
pure,0.0387
purpose,-0.0063
putamen,0.055
putative,-0.0418
quality,0.0269
quantified,0.01
quantify,0.0166
quantitative,0.026
question,0.0203
questionnaire,-0.0007
questions,0.0019
random,-0.0251
random effects,0.0073
randomized,0.0243
randomly,-0.0349
range,0.0017
ranging,0.0136
rapid,-0.0091
rapidly,0.0201
rare,0.0318
rarely,-0.0131
rate,-0.0027
rated,0.0179
rates,-0.0155
rating,0.0079
ratings,0.0364
ratio,0.0267
rationale,-0.0015
reach,-0.0221
reaching,-0.0313
reaction,-0.0494
reaction time,-0.0435
reaction times,-0.0441
reactions,0.0003
reactivity,-0.022
read,0.0845
readers,0.0608
reading,0.1029
real,-0.0386
real time,0.0311
real world,-0.0438
reality,-0.0768
reappraisal,0.0328
reasoning,-0.041
recall,-0.0206
receive,0.0208
received,-0.0261
receiving,0.0073
recently,-0.0262
receptor,-0.0198
recognition,-0.0288
recognition memory,-0.0335
recognition task,-0.041
recognize,0.009
recognized,0.0038
recognizing,0.0332
recollection,-0.0221
recorded,0.0074
recording,-0.0116
recordings,0.0136
recovery,0.0679
recruit,0.0148
recruited,-0.0204
recruitment,0.0211
recruits,0.0198
reduce,0.0086
reduces,-0.0082
reducing,-0.0254
reduction,-0.0078
reductions,-0.0277
reference,-0.0258
referential,-0.0417
referred,0.0025
refers,0.0283
reflect,0.0132
reflected,-0.0228
reflecting,-0.0018
reflects,-0.0041
regard,0.0085
regarding,-0.0195
regardless,0.0341
regional,-0.0517
regional cerebral,-0.0118
regional gray,-0.0024
regional homogeneity,-0.0503
regular,0.0507
regulate,-0.005
regulating,-0.0001
regulation,-0.0139
regulatory,-0.0204
rehabilitation,0.0422
rehearsal,0.0478
reho,-0.0475
reinforcement,-0.0723
reinforcement learning,-0.0604
relate,0.0005
relates,0.0007
relation,0.0017
relational,-0.0559
relations,-0.0414
relationship,-0.0401
relationships,0.012
relatively,-0.0489
relevance,-0.0202
relevant,0.0235
relevant information,-0.0389
reliability,0.0471
reliable,0.0346
reliably,0.0252
reliance,0.0514
relied,-0.0231
relies,0.0101
rely,-0.0168
remain,0.0096
remain unclear,0.0143
remained,-0.029
remaining,0.0292
remarkably,-0.0101
remember,-0.0286
remembered,-0.0076
remembering,-0.0292
remote,0.0203
reorganization,0.0537
repeat,-0.0475
repeated,0.0004
repeatedly,-0.0311
repetition,0.0534
repetition suppression,0.0023
repetitive,0.0312
replicate,0.011
replicated,-0.0066
report,-0.0624
reported,-0.0194
reports,0.0376
represent,-0.017
representation,0.041
representational,-0.0319
representations,0.02
represented,0.0168
representing,-0.0097
represents,-0.0467
require,0.0223
required,-0.072
requirements,-0.0497
requires,-0.0257
requiring,-0.0816
research,-0.008
research suggests,-0.0003
researchers,-0.0215
residual,-0.0165
resolution,0.0136
resolve,0.0101
resonance,0.0141
resonance experiment,0.0245
resonance healthy,-0.0096
resonance images,-0.032
resonance measure,-0.0171
resonance performing,-0.0264
resonance rs,-0.0142
resonance scans,0.0162
resources,-0.0265
respect,-0.0034
respective,0.0024
respectively,-0.0418
respond,-0.0218
responded,-0.0062
responding,-0.0012
responds,0.0515
response,-0.0376
response inhibition,-0.0606
response selection,-0.0221
response time,-0.0071
response times,-0.0786
responses,0.0152
responsible,0.0378
responsive,-0.0039
responsiveness,-0.0164
rest,-0.0146
resting,-0.048
resting state,-0.0494
restricted,0.009
result,-0.0178
resulted,0.035
resulting,0.0193
retention,-0.0272
retrieval,-0.0401
retrieved,-0.0278
retrosplenial,-0.1054
retrosplenial cortex,-0.0729
reveal,0.0236
revealing,0.0503
reveals,0.0246
reversal,-0.0666
reverse,-0.024
reversed,-0.0079
reward,-0.074
reward anticipation,-0.0398
rewarding,-0.0348
rewards,-0.0732
rhythm,0.0914
rich,0.0529
rise,-0.0188
risk,-0.0746
risk taking,-0.0654
risky,-0.054
robust,-0.0388
roi,0.0313
rois,0.0015
role,0.014
roles,0.0053
rostral,-0.0425
rostral anterior,-0.057
rotation,-0.0439
rs,-0.0324
rsfc,0.0028
rt,-0.0609
rule,-0.0917
rules,-0.0767
run,0.004
runs,-0.0239
s1,0.0711
saccade,-0.0552
saccades,-0.0412
sad,-0.0073
salience,-0.0584
salience network,-0.0442
salient,-0.0519
sample,-0.0528
samples,-0.0286
sampling,0.087
scale,-0.0183
scales,0.0124
scalp,-0.0269
scan,-0.0119
scanned,0.0368
scanned using,-0.0069
scanner,0.0236
scanning,0.0226
scans,0.0174
scene,-0.0456
scenes,-0.0645
schizophrenia,-0.0191
schizophrenic,0.0177
sclerosis,0.0069
score,-0.005
scores,-0.0293
sd,0.0246
se,-0.034
search,0.0037
second,0.0518
secondary,0.0793
secondary somatosensory,0.0824
sectional,-0.0245
seed,-0.0472
seeds,0.0173
seeking,-0.0362
seen,0.0174
segregated,-0.0175
segregation,0.0048
select,-0.0353
selected,-0.0205
selection,-0.0514
selective,-0.0107
selective attention,-0.0327
selectively,-0.0111
selectivity,-0.0015
self,-0.0413
self referential,-0.0431
self report,-0.0175
self reported,-0.0015
semantic,0.1124
semantic memory,0.0134
semantically,0.0675
semantics,0.077
sensation,0.0323
sensations,0.0426
sense,-0.0089
sensitive,0.0103
sensitivity,-0.0077
sensorimotor,0.1105
sensorimotor cortex,0.0848
sensorimotor network,0.0229
sensory,0.0846
sensory information,0.0183
sensory motor,0.0586
sentence,0.1441
sentence comprehension,0.0771
sentences,0.1839
separable,-0.002
separate,-0.0316
separated,-0.0519
separately,0.0196
separation,0.0062
sequence,0.0464
sequences,0.0422
sequential,0.0234
serial,0.0362
series,0.0205
serotonin,-0.0141
serve,-0.0081
served,0.0357
serves,-0.0176
session,0.0366
sessions,-0.0015
set,-0.057
sets,-0.024
setting,-0.027
settings,-0.0239
seven,-0.0023
seventeen,0.0153
severe,-0.0248
severity,-0.0276
sex,-0.0025
sexual,-0.0314
sham,-0.0275
shape,-0.0909
shaped,-0.0094
shapes,-0.0362
share,-0.0078
shared,0.006
shed,-0.0027
shed light,-0.0158
shift,-0.033
shifted,0.0266
shifting,-0.0721
shifts,-0.0515
short,0.095
short term,0.0384
shorter,-0.0163
showing,0.0226
shown,-0.0142
shows,0.0418
si,0.0554
sided,0.0573
sighted,0.0044
sign,0.0436
signal,-0.0052
signal change,0.0617
signal task,-0.0352
signaling,-0.0089
signals,0.0016
signature,0.0073
significance,-0.0573
significance statement,-0.0502
signs,0.027
sii,0.0882
silent,0.1213
similarities,-0.0205
similarity,-0.0151
similarly,-0.0085
simple,0.0009
simply,-0.0225
simulated,-0.0154
simulation,0.0442
simultaneous,0.0576
simultaneous eeg,-0.001
simultaneously,0.0198
single,0.0269
single subject,0.0228
single trial,-0.0254
site,0.0708
sites,0.025
situation,-0.0137
situations,-0.0456
sixteen,-0.005
size,-0.0682
sizes,-0.0222
skill,0.0094
skills,0.0986
skin,0.0127
skin conductance,-0.0037
sleep,-0.0018
slow,0.0152
slower,-0.0144
sma,0.06
small,-0.0248
smaller,0.0229
smokers,-0.0758
smoking,-0.0514
sn,-0.019
social,-0.0028
social cognition,-0.0027
social cognitive,0.0213
social interaction,0.0078
social interactions,0.0225
socially,0.0436
software,-0.0056
solving,-0.0432
somatosensory,0.102
somatosensory cortex,0.0915
somatosensory cortices,0.0831
sought,-0.0384
sound,0.1173
sounds,0.1545
source,0.0062
sources,-0.0062
space,-0.0502
span,-0.0066
sparse,0.0871
spatial,-0.1253
spatial attention,-0.0928
spatial information,-0.0819
spatial temporal,-0.0043
spatially,0.0159
spatiotemporal,0.027
speaker,0.1569
speakers,0.1135
speaking,0.1139
special,0.0016
specialization,0.0389
specialized,-0.0107
species,-0.0133
specifically,-0.0035
specificity,-0.0059
specified,-0.0124
spectral,0.0772
spectrum,-0.0101
spectrum disorder,0.019
spectrum disorders,-0.0134
speech,0.2134
speech perception,0.1533
speech production,0.1706
speed,-0.0092
spin,-0.002
spin labeling,-0.0175
spinal,0.0386
spl,-0.0433
spoken,0.1671
spontaneous,-0.011
stable,0.0004
stage,-0.0474
stages,0.0081
standard,0.0162
standardized,0.0343
state,-0.0255
state connectivity,-0.0203
state functional,-0.0467
state networks,-0.0287
statement,-0.0501
states,0.0538
static,0.0036
statistics,0.0191
status,-0.0115
step,-0.0169
stg,0.1619
stimulated,0.0742
stimulation,0.0983
stimulation tms,0.0579
stimuli,0.0342
stimuli presented,-0.0001
stimulus,-0.0003
stimulus driven,-0.0802
stimulus response,-0.0473
stop,-0.0378
stop signal,-0.0395
storage,-0.021
stored,0.0262
strategic,-0.0354
strategies,-0.0017
strategy,-0.0281
stream,0.0246
streams,0.0212
strength,0.0154
stress,-0.0027
stress disorder,-0.0424
striatal,-0.0391
striatum,-0.046
striking,-0.009
stroke,0.0975
strong,0.029
strongest,0.0383
strongly,-0.0131
stroop,-0.0645
stroop task,-0.041
structural,0.0173
structural functional,-0.0019
structural magnetic,-0.0019
structure,0.0705
structure function,0.0134
structures,0.011
structures involved,0.0187
sts,0.13
students,0.0036
studied,-0.0082
studying,-0.0208
sub,-0.0451
subcortical,0.0394
subcortical structures,0.0392
subgenual,-0.0199
subject,0.0762
subjective,-0.0174
subregions,0.0126
subsequent,-0.0068
subsequent memory,-0.0248
subsequently,-0.0159
subserve,0.0006
subserved,-0.0324
subserving,-0.0617
subset,-0.032
substance,-0.0649
substantia,-0.0037
substantial,0.0118
substantially,0.0156
substrate,-0.0073
substrates,0.0199
subtle,-0.0285
subtraction,-0.0103
success,-0.0205
successful,-0.0217
successfully,-0.0045
successive,0.0539
suffering,-0.0104
sufficient,-0.0261
suggest,-0.0211
suggest functional,0.0127
suggested,0.0074
suggesting,-0.0089
suggests,0.0013
sulci,-0.0181
sulcus,0.0042
sulcus ips,-0.085
sulcus sts,0.1092
sum,0.0013
summary,-0.023
superior,0.1149
superior frontal,-0.1061
superior inferior,-0.0073
superior middle,0.0776
superior parietal,-0.0648
superior temporal,0.1806
supplementary,0.0555
supplementary motor,0.0648
supported,-0.0345
supporting,0.0103
supports,0.0077
suppressed,-0.0154
suppression,0.0013
supramarginal,0.025
supramarginal gyrus,0.009
