Feature,../../data/brains/braindiff_d_mni.nii.gz
individual,0.0299
individual variability,0.0105
individually,-0.0007
individuals,0.1094
induce,-0.0075
induced,0.0021
induces,-0.0277
inducing,-0.0141
induction,-0.002
infer,0.0638
inference,0.0557
inferences,0.0672
inferior,-0.0974
inferior frontal,-0.0727
inferior middle,-0.028
inferior occipital,-0.0299
inferior parietal,-0.0291
inferior prefrontal,-0.0279
inferior superior,-0.0498
inferior temporal,-0.071
influence,0.0035
influenced,0.0216
influences,-0.0153
inform,0.0457
information,-0.0254
inhibit,0.0471
inhibition,0.049
inhibitory,0.0254
inhibitory control,0.0506
initial,0.0068
initially,0.0184
initiation,0.0316
injury,-0.0049
input,-0.0714
inputs,-0.0612
insight,0.0466
insights,0.0423
instead,0.0224
instructed,-0.0038
instruction,-0.0105
instructions,0.0274
insula,-0.03
insula anterior,-0.0502
insula inferior,-0.0141
insular,-0.0634
insular cortex,-0.0689
intact,-0.0007
integrate,0.0027
integrated,0.0243
integrating,0.0051
integration,-0.0146
integrative,0.0086
integrity,0.0219
intelligence,0.0321
intense,-0.0315
intensity,-0.0398
intention,0.1066
intentional,0.0449
intentions,0.1255
inter,0.0451
inter individual,-0.0036
interact,-0.0366
interacting,0.0472
interaction,0.0423
interactions,0.0703
interactive,0.0438
interacts,-0.0048
interestingly,-0.0544
interference,-0.0734
interhemispheric,-0.0009
intermediate,0.0064
internal,0.0467
internally,0.0427
interoceptive,-0.0088
interpersonal,0.034
interplay,-0.0141
interpret,-0.0024
interpretation,-0.0087
interpreted,-0.0584
interval,-0.0391
intervals,0.0042
intervention,0.0029
interventions,0.0152
intra,0.047
intraparietal,-0.1117
intraparietal sulcus,-0.1156
intrinsic,0.101
intrinsic functional,0.074
introduced,-0.0268
introduction,0.0053
invariant,-0.0099
invasive,0.0122
inventory,0.0457
inverse,0.0182
inversely,0.0405
investigates,-0.0263
investigating,0.0459
investigation,0.0325
investigations,0.0058
involve,0.0088
involved,-0.0908
involved cognitive,0.0101
involvement,-0.0554
involves,-0.0442
involving,-0.0102
ipl,-0.0122
ips,-0.0946
ipsilateral,-0.0546
iq,0.033
irrelevant,-0.0525
irrespective,-0.0194
isolate,-0.0028
isolated,-0.0007
issue,0.0157
issues,0.0142
item,-0.0089
items,-0.0122
iv,-0.0187
joint,0.0081
judge,0.0169
judged,0.0315
judgment,0.0052
judgment task,-0.0076
judgments,0.0382
junction,0.1418
junction tpj,0.1278
just,0.0233
key,0.0474
key role,0.042
kinds,-0.0347
know,0.0378
knowledge,0.0236
known,0.0275
known involved,-0.0214
labeling,0.0347
laboratory,0.0515
lack,-0.0308
lacking,-0.0
language,-0.045
language comprehension,0.0016
language network,-0.0154
languages,-0.0742
large,0.0539
large sample,0.0565
large scale,0.0447
largely,0.0079
largely unknown,-0.0321
larger,-0.0064
late,0.0052
latencies,-0.0514
latency,-0.0326
later,-0.0151
lateral,-0.0216
lateral frontal,0.0024
lateral medial,-0.0068
lateral occipital,-0.0883
lateral orbitofrontal,0.0324
lateral parietal,0.0919
lateral prefrontal,-0.018
lateral temporal,0.0486
laterality,-0.0449
lateralization,-0.0479
lateralized,-0.0615
lead,0.003
leading,0.0099
leads,-0.018
learn,-0.005
learned,0.0152
learning,-0.0415
learning task,-0.0033
led,-0.0101
length,-0.0256
lesion,-0.0757
lesions,-0.0405
lesser,-0.0386
letter,-0.0641
letters,-0.0743
level,-0.02
level bold,-0.0007
level signal,-0.0252
levels,0.0475
lexical,-0.0401
lexical decision,-0.0417
life,0.0686
light,0.007
like,0.0121
likelihood,-0.0498
likely,0.0169
limb,-0.0274
limbic,0.0294
limitations,0.023
limited,-0.0013
line,-0.0225
linear,0.0423
linear model,0.0033
linearly,-0.0033
lingual,0.0243
lingual gyrus,0.0381
linguistic,-0.0247
link,0.0205
linked,0.0364
linking,-0.0259
links,0.0006
list,-0.0244
listened,0.0406
listening,0.0236
literature,0.0263
little,0.0341
little known,0.025
load,-0.0661
lobe,0.0071
lobe mtl,-0.009
lobes,-0.033
lobule,-0.0458
lobule ipl,-0.0303
lobules,-0.0248
local,0.0451
localization,-0.0485
localize,-0.033
localized,-0.0113
located,-0.0294
location,-0.0311
locations,-0.0263
locus,-0.0209
long,-0.0131
long term,-0.0061
longer,-0.0071
longitudinal,-0.0305
loop,-0.0133
loss,0.0443
losses,0.0058
low,0.0668
low frequency,0.0692
low high,-0.0052
low level,-0.0106
lower,0.021
m1,-0.014
machine,0.0113
magnetic,-0.0562
magnetic resonance,-0.0545
magnetic stimulation,-0.0464
magnetoencephalography,0.027
magnitude,-0.0099
main,-0.0148
main effect,-0.0216
mainly,0.0168
maintain,0.0097
maintained,-0.0011
maintaining,0.0126
maintenance,-0.013
major,0.0337
major depression,0.041
major depressive,0.0473
majority,-0.0185
make,0.0033
making,0.072
male,0.0263
male female,0.0411
males,0.0408
manifest,0.0631
manipulated,-0.0674
manipulating,-0.0275
manipulation,-0.0628
manipulations,-0.0409
manner,-0.0115
manual,-0.0407
map,-0.0078
mapp,0.01
mapped,0.0132
mapping,-0.0485
maps,-0.009
marked,-0.0048
marker,0.0615
markers,0.0339
masked,-0.0113
mass,-0.0049
match,-0.0037
matching,-0.1019
matching task,-0.0689
material,-0.0539
materials,-0.0352
matrix,-0.0547
matter,0.037
matter density,0.011
matter gm,0.0115
matter volume,0.0427
matter volumes,0.0227
maturation,0.0179
maximal,-0.0139
maximum,-0.0161
mci,0.0051
mdd,0.0282
mean,0.0523
mean age,0.0293
meaning,-0.0185
meaningful,0.0056
means,0.0135
measure,0.0465
measurement,0.0115
measurements,-0.0081
measures,0.0334
measuring,0.0345
mechanism,0.0343
mechanisms,-0.0304
mechanisms involved,-0.0029
mechanisms underlying,0.0197
medial,0.144
medial frontal,0.0318
medial lateral,0.0307
medial orbitofrontal,0.0475
medial pfc,0.0419
medial prefrontal,0.176
medial superior,0.0472
medial temporal,0.0008
median,-0.024
mediate,0.009
mediated,-0.0002
mediates,-0.0073
mediating,0.0093
medication,0.0442
meg,0.0194
memories,0.0773
memory,-0.0195
memory encoding,-0.0614
memory load,-0.0249
memory performance,-0.0109
memory processes,-0.0705
memory retrieval,0.0683
memory task,-0.027
memory tasks,-0.047
memory test,0.0195
memory wm,-0.0679
men,0.0136
men women,0.0235
mental,0.0728
mental imagery,-0.0342
mental state,0.1096
mental states,0.157
mentalizing,0.1278
mesial,0.0047
mesolimbic,-0.0147
met,0.03
metabolic,0.0374
metabolism,0.0333
method,0.0402
methodological,-0.0194
methodology,0.0405
methodology principal,0.0545
methods,0.0589
methods functional,0.0157
mfg,-0.0051
mg,-0.0184
mid,-0.0516
midbrain,0.0003
middle,0.0135
middle cingulate,0.0044
middle frontal,-0.007
middle inferior,-0.0326
middle occipital,-0.0197
middle superior,0.0135
middle temporal,0.0451
midline,0.1363
mild,0.0174
mild cognitive,0.0318
min,0.0289
mind,0.1632
mind tom,0.1585
minimal,0.0142
mirror,-0.0534
mirror neuron,-0.0492
mixed,0.0523
mm,-0.0038
mnemonic,-0.0009
modal,-0.0599
modalities,-0.043
modality,-0.0661
mode,0.1888
mode network,0.1936
model,-0.0144
modeling,-0.0783
models,0.0103
moderate,0.0324
modified,-0.0134
modulate,0.0062
modulated,-0.0211
modulates,-0.0053
modulating,0.0294
modulation,-0.0042
modulations,-0.0069
modulatory,-0.0283
monetary,0.0319
monetary incentive,0.0029
monetary reward,0.0012
money,0.0224
monitor,-0.0105
monitored,-0.0032
monitoring,0.0464
monkey,-0.0977
monkeys,-0.0517
months,0.0314
mood,0.057
moral,0.1317
morphological,0.0225
morphology,-0.0138
morphometry,0.0255
morphometry vbm,0.0267
motion,-0.0329
motivation,0.0259
motivational,0.0293
motor,-0.051
motor control,-0.0257
motor cortex,-0.0404
motor function,-0.0315
motor imagery,-0.0551
motor network,-0.0196
motor performance,-0.0284
motor pre,-0.0297
motor premotor,-0.0406
motor response,-0.0045
motor responses,-0.0398
motor sma,-0.0338
motor task,-0.0224
movement,-0.035
movements,-0.0556
moving,-0.047
mpfc,0.1334
mr,-0.0298
ms,-0.0084
mt,-0.0597
mtg,0.0423
mtl,-0.023
multi,0.0042
multimodal,0.07
multiple,0.0245
multiple comparisons,0.0337
multiple sclerosis,-0.0221
multisensory,-0.06
multivariate,0.0445
multivariate pattern,-0.0052
muscle,-0.044
music,-0.0008
musical,0.0044
musicians,-0.0356
naive,0.0122
names,-0.0025
naming,-0.082
native,-0.0895
natural,0.0177
naturalistic,0.0224
nature,0.0235
navigation,0.0047
near,-0.0244
necessary,-0.0149
need,0.0586
needed,0.0206
needs,-0.0326
negative,0.06
negative affect,0.0384
negative correlation,0.0358
negative correlations,0.0183
negative emotional,0.0222
negative emotions,0.0036
negative feedback,0.0076
negative neutral,0.0114
negative positive,0.0382
negatively,0.0692
negatively correlated,0.0527
negativity,0.0113
neocortical,0.0295
nerve,-0.0283
nervous,-0.0052
network,0.0842
network connectivity,0.1079
network dmn,0.1848
network involved,-0.0349
networks,0.1102
networks involved,-0.0075
neuro,0.0343
neuroanatomical,-0.0028
neuroanatomy,-0.0163
neurobiological,0.0694
neurobiology,0.0369
neurocognitive,0.0392
neurodegenerative,-0.0135
neurodevelopmental,0.0566
neurofunctional,-0.0302
neurological,0.0253
neuron,-0.0444
neuronal,-0.02
neurons,-0.0555
neurophysiological,0.0028
neuropsychiatric,0.0282
neuropsychological,-0.042
neuroscience,0.0481
neutral,-0.0001
neutral faces,-0.0379
neutral pictures,0.0134
neutral stimuli,0.005
new,0.0138
new insights,0.0278
newly,0.0058
nineteen,0.0147
nociceptive,-0.06
node,0.0661
nodes,0.0208
nogo,0.0426
noise,0.0015
non,0.0209
normal,-0.0249
normal controls,0.0288
normalized,0.0344
normally,-0.0623
notably,0.0672
noted,0.029
notion,-0.0138
nouns,-0.0087
novel,0.0013
novelty,-0.0238
noxious,-0.042
nuclei,0.0139
nucleus,0.0074
nucleus accumbens,0.0147
number,-0.0351
numbers,-0.0854
numerical,-0.0998
numerous,0.0139
object,-0.0959
object recognition,-0.0537
objective,0.0203
objectives,0.0402
objects,-0.1089
observation,-0.0522
observations,-0.0176
observer,-0.0194
observers,0.0237
observing,-0.0035
obsessive,0.0379
obsessive compulsive,0.0377
obtain,0.0608
obtained,0.0221
occipital,-0.0699
occipital cortex,-0.0723
occipital gyrus,-0.0155
occipital lobe,0.0244
occipital parietal,-0.0239
occipital temporal,-0.0182
occipito,-0.1033
occipito temporal,-0.1009
occipitotemporal,-0.0848
occipitotemporal cortex,-0.0609
occur,-0.0044
occurred,0.0172
occurrence,0.0381
occurring,-0.002
occurs,-0.0085
ocd,0.0315
oddball,-0.0015
ofc,0.0215
offer,0.0033
offers,0.0248
old,0.0622
older,0.0438
older adults,0.0341
olfactory,-0.012
ones,-0.0023
ongoing,0.0036
online,0.0348
onset,0.0173
open,0.012
operation,-0.055
operations,-0.0494
opercular,-0.0264
opercularis,-0.0516
operculum,-0.058
opportunity,0.0075
opposed,0.0256
opposite,0.0364
optimal,0.0051
optimized,-0.0084
options,0.0287
oral,-0.0538
orbital,0.0157
orbitofrontal,0.0347
orbitofrontal cortex,0.0285
order,-0.0305
organization,-0.0131
organized,-0.0067
orientation,-0.0543
oriented,-0.0041
orienting,0.0285
origin,0.0338
original,-0.0094
orthographic,-0.0912
oscillations,0.033
outcome,0.0392
outcomes,0.0917
output,-0.0473
outside,-0.0254
outside scanner,-0.0388
overall,0.0508
overcome,0.0016
overlap,0.0077
overlapped,-0.0225
overlapping,-0.0236
overt,-0.035
oxygen,0.0321
oxygen level,0.0271
oxygenation,-0.0109
oxygenation level,-0.0122
paced,-0.0388
pain,-0.0496
painful,-0.0812
pair,-0.0575
paired,0.0034
pairs,-0.0384
pallidus,0.0022
paper,0.0249
paradigm,0.0208
paradigms,0.0269
parahippocampal,0.0272
parahippocampal cortex,-0.0031
parahippocampal gyrus,0.041
parahippocampus,0.0223
paralimbic,0.0143
parallel,0.0039
parameter,-0.0231
parameters,0.0078
parametric,-0.0264
parametric mapping,-0.0296
parametrically,-0.0191
parietal,-0.049
parietal cortex,-0.071
parietal cortices,-0.0194
parietal frontal,-0.0388
parietal junction,0.1424
parietal lobe,0.0154
parietal lobes,-0.0188
parietal lobule,-0.0514
parietal lobules,-0.054
parietal network,-0.0341
parietal occipital,0.0009
parietal temporal,0.0275
parieto,-0.0561
parieto occipital,-0.026
parkinson,-0.0265
parkinson disease,-0.0255
pars,-0.0469
pars opercularis,-0.0518
partial,0.0245
partially,-0.0164
participant,0.0477
participate,0.0291
participated,-0.0289
particular,-0.0011
particularly,-0.0166
partly,0.0044
partner,0.0383
parts,-0.0552
passive,-0.004
passive viewing,-0.0117
passively,-0.0142
past,0.0826
pathological,0.0502
pathology,0.0274
pathophysiological,0.0223
pathophysiology,0.0271
pathway,-0.0532
pathways,-0.0501
patient,-0.0309
patient group,-0.0244
patient groups,0.0183
pattern,-0.0375
patterns,0.0053
pcc,0.1674
pd,-0.015
peak,-0.0366
people,0.1025
perceive,-0.036
perceived,-0.022
perceiving,0.0092
percept,-0.0533
perception,-0.0748
perceptual,-0.0892
perform,-0.0451
performance,-0.0327
performance task,-0.0163
performances,-0.0046
performing,-0.053
perfusion,0.0236
periaqueductal,0.0068
period,-0.0336
periodicals,0.0172
periods,0.0385
peripheral,-0.0138
persistent,0.0188
person,0.0958
personal,0.0913
personality,0.0586
personality traits,0.0431
persons,0.0276
perspective,0.0581
pet,-0.0014
pfc,-0.0008
pharmacological,-0.0127
phase,-0.0366
phases,-0.0269
phenomena,0.0441
phenomenon,-0.0136
phenotype,0.0299
phonological,-0.1032
photographs,-0.0071
physical,-0.0095
physiological,0.0184
picture,-0.0417
pictures,0.009
pitch,-0.0218
place,-0.0119
placebo,-0.0
placebo controlled,0.0186
planning,-0.0532
planum,0.0024
planum temporale,-0.0002
plasticity,-0.0565
play,-0.0126
play important,-0.0443
play role,-0.0139
played,0.0168
playing,-0.0078
plays,-0.0203
plays important,-0.0071
plays role,-0.0125
pleasant,-0.0377
point,0.0119
pointing,-0.0012
points,0.0162
pole,0.0376
polymorphism,0.0168
poor,0.0145
poorer,0.0221
poorly,0.0234
poorly understood,0.0278
population,0.0646
populations,0.0174
portion,-0.0028
portions,0.0339
position,-0.0326
positive,0.0825
positive correlation,0.0155
positive correlations,0.0215
positive negative,0.0388
positively,0.0426
positively correlated,0.0567
positron,0.0194
positron emission,0.0193
possibility,-0.0147
possible,-0.0037
possibly,-0.0299
post,0.0465
post hoc,0.0234
postcentral,0.0048
postcentral gyrus,0.0207
posterior,0.0894
posterior anterior,0.0177
posterior cingulate,0.1929
posterior inferior,-0.0596
posterior insula,-0.047
posterior middle,0.0237
posterior parietal,-0.0648
posterior superior,0.0226
posterior temporal,0.0074
posttraumatic,0.0332
potential,0.0651
potentially,0.0276
potentials,-0.0048
power,-0.0012
powerful,0.041
ppc,-0.0542
ppi,0.0024
practice,-0.0166
pre,-0.0257
pre post,-0.0005
pre sma,-0.0512
pre supplementary,-0.0299
preceded,-0.0032
preceding,0.0202
precentral,-0.0494
precentral gyrus,-0.0346
precise,0.012
precuneus,0.2058
precuneus posterior,0.1367
predict,0.0148
predicted,0.0356
predicting,0.018
prediction,0.007
prediction error,-0.0181
predictions,-0.0037
predictive,-0.0141
predictors,0.0341
predicts,-0.0035
predominantly,-0.0038
preference,-0.0055
preferences,0.0504
preferential,-0.0677
preferentially,-0.0149
prefrontal,0.078
prefrontal cortex,0.0906
prefrontal cortical,-0.0051
prefrontal cortices,0.0245
prefrontal parietal,-0.0271
preliminary,0.0434
premotor,-0.0732
premotor cortex,-0.0602
preparation,-0.0438
preparatory,-0.0106
presence,0.0067
presentation,-0.0189
presentations,-0.0093
presented,-0.0641
presenting,-0.0126
preserved,0.0275
press,-0.0479
pressure,-0.0007
presumably,-0.0217
previous,-0.015
previous functional,-0.0108
previous reports,-0.0192
previous research,0.0152
previous shown,-0.0173
previous work,0.0427
primarily,0.0085
primary,-0.043
primary auditory,0.0072
primary motor,-0.0361
primary secondary,-0.0607
primary sensorimotor,-0.0171
primary somatosensory,-0.0512
primary visual,-0.0365
primates,-0.0607
prime,-0.0429
priming,-0.0176
principal,0.03
principle,-0.0527
prior,0.0141
priori,0.0525
probabilistic,0.0424
probability,-0.0076
probably,-0.0502
probe,-0.0438
problem,0.0082
problems,0.0047
procedure,-0.027
procedures,-0.0283
process,0.0143
processed,-0.0296
processes,-0.0171
processes involved,0.0008
processes underlying,0.0227
produce,-0.0166
produced,-0.0629
producing,-0.0209
production,-0.0468
profile,-0.0122
profiles,0.0083
progression,0.0155
progressive,0.0184
prolonged,-0.0165
prominent,-0.029
promising,0.0579
pronounced,-0.0181
proper,-0.0576
properties,-0.0121
proportion,-0.017
propose,-0.0222
proposed,-0.0085
prospective,0.0801
protocol,-0.0248
provide,0.0149
provide evidence,0.0086
provide new,0.0169
provide novel,0.01
provided,0.0017
provides,-0.006
provides evidence,-0.0058
providing,0.0347
pseudowords,-0.1044
psts,0.061
psychiatric,0.0625
psychiatric disorders,0.018
psychological,0.0607
psychopathology,0.0492
psychophysical,-0.0397
psychophysiological,-0.0126
psychophysiological interaction,-0.0109
psychosis,0.08
psychotic,0.0785
ptsd,0.0403
published,-0.018
punishment,0.0296
pure,-0.0246
purpose,0.0156
putamen,-0.0439
putative,0.0021
quality,0.0105
quantified,0.0348
quantify,0.036
quantitative,-0.0208
question,0.0122
questionnaire,0.0307
questions,0.0662
random,-0.0259
random effects,-0.0154
randomized,0.0064
randomly,0.0115
range,-0.0076
ranging,0.0126
rapid,-0.0295
rapidly,-0.0176
rare,0.0138
rarely,0.0264
rate,-0.0015
rated,0.0208
rates,0.0109
rating,0.0431
ratings,0.0034
ratio,0.035
rationale,0.0017
reach,-0.0292
reaching,-0.0044
reaction,-0.0424
reaction time,-0.0266
reaction times,-0.0368
reactions,0.0184
reactivity,0.021
read,-0.0027
readers,-0.0604
reading,-0.089
real,0.0131
real time,0.0075
real world,0.0435
reality,0.0632
reappraisal,0.0639
reasoning,0.0615
recall,0.0595
receive,0.0475
received,0.011
receiving,-0.0165
recently,0.018
receptor,0.0121
recognition,-0.0388
recognition memory,-0.0021
recognition task,-0.0021
recognize,-0.0285
recognized,-0.0014
recognizing,0.0102
recollection,0.0518
recorded,0.0145
recording,0.0058
recordings,0.0089
recovery,-0.0053
recruit,-0.02
recruited,0.0002
recruitment,-0.0376
recruits,0.0062
reduce,-0.0053
reduces,0.0259
reducing,0.0449
reduction,0.0153
reductions,-0.0185
reference,0.0591
referential,0.1301
referred,0.0008
refers,0.0543
reflect,0.0085
reflected,0.0008
reflecting,0.0371
reflects,0.033
regard,-0.0104
regarding,0.0579
regardless,-0.0243
regional,0.0665
regional cerebral,0.0041
regional gray,0.0232
regional homogeneity,0.0896
regular,-0.032
regulate,0.0502
regulating,0.0461
regulation,0.0748
regulatory,0.0119
rehabilitation,-0.0098
rehearsal,-0.0492
reho,0.0892
reinforcement,0.0211
reinforcement learning,0.0106
relate,0.0511
relates,-0.0028
relation,-0.0245
relational,-0.03
relations,-0.0091
relationship,0.0366
relationships,0.0786
relatively,0.0375
relevance,0.0017
relevant,0.0182
relevant information,0.0115
reliability,-0.0038
reliable,-0.0047
reliably,0.0306
reliance,-0.0578
relied,-0.0026
relies,-0.022
rely,-0.027
remain,0.0295
remain unclear,0.0331
remained,0.0161
remaining,0.0189
remarkably,0.0107
remember,-0.0411
remembered,0.0149
remembering,0.06
remote,0.0062
reorganization,-0.0103
repeat,0.0221
repeated,-0.065
repeatedly,0.0191
repetition,-0.0403
repetition suppression,-0.0024
repetitive,0.0083
replicate,-0.0323
replicated,0.0124
report,0.0427
reported,0.0561
reports,0.0076
represent,0.0367
representation,-0.044
representational,-0.0113
representations,-0.072
represented,-0.0167
representing,-0.0012
represents,0.0227
require,0.0297
required,-0.0402
requirements,-0.0502
requires,-0.0094
requiring,-0.0048
research,0.0853
research suggests,-0.0281
researchers,0.0022
residual,-0.0179
resolution,0.0135
resolve,0.0036
resonance,-0.0541
resonance experiment,-0.0281
resonance healthy,-0.0319
resonance images,0.0322
resonance measure,-0.0124
resonance performing,-0.0037
resonance rs,0.0549
resonance scans,0.0349
resources,-0.0465
respect,-0.0152
respective,-0.0006
respectively,-0.0035
respond,0.0309
responded,-0.0101
responding,0.0114
responds,-0.0048
response,-0.0078
response inhibition,0.0321
response selection,-0.053
response time,-0.0412
response times,-0.0478
responses,0.009
responsible,-0.037
responsive,-0.019
responsiveness,0.0202
rest,0.0518
resting,0.1674
resting state,0.1667
restricted,-0.0073
result,-0.0254
resulted,-0.0586
resulting,-0.0065
retention,-0.0201
retrieval,0.0174
retrieved,0.0496
retrosplenial,0.0878
retrosplenial cortex,0.0813
reveal,-0.0207
revealing,0.0301
reveals,-0.0092
reversal,0.0173
reverse,0.009
reversed,0.0177
reward,0.0396
reward anticipation,0.0104
rewarding,0.0451
rewards,0.039
rhythm,-0.0167
rich,0.0327
rise,-0.0129
risk,0.0871
risk taking,0.0261
risky,0.0177
robust,0.084
roi,0.007
rois,-0.0098
role,-0.0401
roles,0.0142
rostral,0.0387
rostral anterior,0.0394
rotation,-0.0763
rs,0.0911
rsfc,0.0449
rt,-0.007
rule,-0.0317
rules,-0.0212
run,-0.0595
runs,-0.0299
s1,-0.0399
saccade,-0.0321
saccades,-0.0243
sad,0.0441
salience,0.0563
salience network,0.0687
salient,0.0021
sample,0.0497
samples,0.0222
sampling,0.0085
scale,0.089
scales,0.0374
scalp,0.0063
scan,0.0507
scanned,-0.0701
scanned using,0.0206
scanner,-0.0024
scanning,0.017
scans,0.0397
scene,-0.0102
scenes,-0.0089
schizophrenia,0.1165
schizophrenic,0.0751
sclerosis,-0.0175
score,0.0296
scores,0.072
sd,-0.0228
se,-0.0272
search,-0.0098
second,-0.0426
secondary,-0.0495
secondary somatosensory,-0.0581
sectional,0.0798
seed,0.0825
seeds,-0.0068
seeking,0.0036
seen,-0.0388
segregated,-0.0301
segregation,-0.0134
select,0.0268
selected,0.0323
selection,-0.024
selective,-0.0841
selective attention,-0.0489
selectively,-0.0423
selectivity,-0.0315
self,0.1466
self referential,0.1284
self report,0.0237
self reported,0.0281
semantic,-0.0241
semantic memory,0.0162
semantically,-0.0169
semantics,-0.0541
sensation,-0.0506
sensations,-0.0615
sense,0.0309
sensitive,-0.0377
sensitivity,0.0163
sensorimotor,-0.0207
sensorimotor cortex,-0.0037
sensorimotor network,-0.0093
sensory,-0.0474
sensory information,0.0002
sensory motor,-0.0091
sentence,0.0072
sentence comprehension,0.0004
sentences,0.0022
separable,-0.0031
separate,-0.0263
separated,-0.026
separately,0.0061
separation,0.0371
sequence,-0.0057
sequences,-0.0297
sequential,-0.0296
serial,-0.0432
series,0.0008
serotonin,0.0246
serve,0.009
served,-0.0071
serves,0.0234
session,-0.0103
sessions,-0.0003
set,0.0209
sets,-0.0385
setting,-0.0062
settings,0.012
seven,-0.0099
seventeen,0.0117
severe,0.0282
severity,0.0827
sex,0.0584
sexual,0.0272
sham,0.0482
shape,-0.1009
shaped,-0.014
shapes,-0.0462
share,-0.0106
shared,-0.0422
shed,0.0382
shed light,0.026
shift,-0.0501
shifted,0.0055
shifting,-0.0249
shifts,-0.0206
short,-0.0341
short term,-0.0695
shorter,0.016
showing,0.0121
shown,0.0253
shows,-0.0197
si,-0.0496
sided,-0.0401
sighted,-0.0459
sign,-0.0575
signal,0.0437
signal change,-0.0228
signal task,0.021
signaling,-0.0136
signals,-0.0034
signature,0.022
significance,0.0765
significance statement,0.0464
signs,-0.0189
sii,-0.0528
silent,-0.0598
similarities,0.0162
similarity,-0.0416
similarly,-0.0024
simple,-0.0347
simply,-0.0436
simulated,0.0254
simulation,0.0182
simultaneous,-0.0381
simultaneous eeg,0.0219
simultaneously,-0.0677
single,-0.0632
single subject,-0.0009
single trial,0.0214
site,-0.0483
sites,-0.0321
situation,0.0566
situations,0.0617
sixteen,-0.0213
size,-0.0248
sizes,0.007
skill,-0.023
skills,-0.0471
skin,-0.016
skin conductance,0.008
sleep,0.0276
slow,0.0305
slower,-0.0173
sma,-0.0527
small,0.0042
smaller,-0.0081
smokers,0.0679
smoking,0.065
sn,0.074
social,0.1496
social cognition,0.1276
social cognitive,0.0952
social interaction,0.1058
social interactions,0.0689
socially,0.0369
software,0.028
solving,0.0186
somatosensory,-0.0504
somatosensory cortex,-0.0449
somatosensory cortices,-0.0517
sought,0.0541
sound,-0.0159
sounds,0.0291
source,0.0359
sources,-0.0009
space,-0.0429
span,-0.0215
sparse,0.0334
spatial,-0.0302
spatial attention,-0.023
spatial information,-0.0131
spatial temporal,0.0219
spatially,0.013
spatiotemporal,0.0111
speaker,0.0224
speakers,-0.041
speaking,-0.0462
special,0.0009
specialization,-0.0809
specialized,-0.075
species,-0.0122
specifically,0.0206
specificity,-0.0041
specified,-0.0257
spectral,0.0466
spectrum,0.0656
spectrum disorder,0.0481
spectrum disorders,0.0434
speech,0.0022
speech perception,0.012
speech production,-0.031
speed,-0.0154
spin,0.0271
spin labeling,0.0361
spinal,-0.0099
spl,-0.0564
spoken,-0.0107
spontaneous,0.1081
stable,0.0401
stage,0.017
stages,-0.0101
standard,0.0225
standardized,0.0279
state,0.1775
state connectivity,0.0659
state functional,0.1353
state networks,0.1228
statement,0.0607
states,0.132
static,-0.0628
statistics,-0.0019
status,0.0147
step,-0.0268
stg,0.006
stimulated,-0.0686
stimulation,-0.0706
stimulation tms,-0.0488
stimuli,-0.0933
stimuli presented,-0.013
stimulus,-0.0939
stimulus driven,0.0361
stimulus response,-0.0456
stop,0.031
stop signal,0.0219
storage,-0.0589
stored,-0.0346
strategic,-0.0115
strategies,-0.0163
strategy,0.048
stream,-0.0792
streams,-0.0286
strength,0.0214
stress,0.038
stress disorder,0.0344
striatal,0.0087
striatum,0.02
striking,0.0058
stroke,-0.0194
strong,-0.0324
strongest,-0.0428
strongly,-0.0164
stroop,-0.0171
stroop task,-0.0169
structural,0.0086
structural functional,0.0116
structural magnetic,0.0079
structure,-0.0151
structure function,0.0339
structures,0.0285
structures involved,-0.0201
sts,0.0286
students,0.0037
studied,-0.0176
studying,0.0441
sub,0.0289
subcortical,0.0072
subcortical structures,0.0061
subgenual,0.0077
subject,-0.0119
subjective,0.0301
subregions,-0.0207
subsequent,-0.0199
subsequent memory,-0.0089
subsequently,0.0186
subserve,0.0145
subserved,0.0085
subserving,0.0096
subset,-0.0201
substance,0.027
substantia,0.0172
substantial,0.0234
substantially,-0.0253
substrate,-0.0291
substrates,-0.0134
subtle,0.0229
subtraction,-0.0883
success,0.0368
successful,0.0173
successfully,-0.0226
successive,-0.0327
suffering,-0.0408
sufficient,0.0069
suggest,0.0354
suggest functional,0.0084
suggested,-0.0043
suggesting,0.0137
suggests,0.0066
sulci,-0.0039
sulcus,-0.0504
sulcus ips,-0.0968
sulcus sts,0.0126
sum,0.0025
summary,0.0058
superior,0.0051
superior frontal,0.0974
superior inferior,-0.056
superior middle,0.0407
superior parietal,-0.0786
superior temporal,0.0274
supplementary,-0.0474
supplementary motor,-0.0451
supported,-0.0087
supporting,0.0237
supports,0.0311
suppressed,0.0078
suppression,0.026
supramarginal,0.0083
supramarginal gyrus,0.0103
surface,-0.0324
surprisingly,0.0143
surrounding,0.0143
susceptibility,0.0064
sustained,-0.0265
sustained attention,-0.0281
switch,0.0069
switching,-0.0095
symbolic,-0.071
symptom,0.0345
symptom severity,0.0424
symptoms,0.0688
synchronization,0.0119
syndrome,0.0067
syntactic,-0.0154
systematic,-0.0222
systematically,-0.0075
systems,-0.0059
systems involved,0.0008
t1,0.0044
t1 weighted,-0.0045
tactile,-0.0889
taken,0.0085
taken suggest,-0.0093
taking,0.0265
tapping,-0.0196
target,-0.0364
