Feature,../../data/brains/del_imm_mni.nii.gz
induce,-0.0275
induced,-0.0996
induces,-0.0733
inducing,-0.0221
induction,-0.0287
infer,0.0468
inference,0.0437
inferences,0.0858
inferior,-0.0383
inferior frontal,-0.0025
inferior middle,0.0132
inferior occipital,-0.0241
inferior parietal,-0.078
inferior prefrontal,0.04
inferior superior,-0.066
inferior temporal,-0.0133
influence,0.0374
influenced,-0.0123
influences,0.007
inform,0.056
information,0.0186
inhibit,0.03
inhibition,-0.0035
inhibitory,-0.0207
inhibitory control,0.0275
initial,0.0271
initially,0.0174
initiation,-0.0141
injury,-0.0402
input,-0.1417
inputs,-0.1174
insight,0.0257
insights,0.045
instead,0.005
instructed,-0.0144
instruction,0.0227
instructions,0.0347
insula,-0.0667
insula anterior,-0.075
insula inferior,-0.039
insular,-0.0888
insular cortex,-0.0823
intact,0.0604
integrate,-0.0183
integrated,0.0125
integrating,0.0207
integration,-0.0525
integrative,0.0033
integrity,0.0616
intelligence,0.0599
intense,-0.0449
intensity,-0.0517
intention,0.0938
intentional,0.044
intentions,0.1045
inter,-0.0072
inter individual,-0.0288
interact,-0.0168
interacting,0.0483
interaction,0.0404
interactions,0.0311
interactive,0.0675
interacts,-0.0151
interestingly,-0.0966
interference,-0.0827
interhemispheric,-0.0232
intermediate,0.0204
internal,0.0289
internally,0.0599
interoceptive,-0.0179
interpersonal,0.0125
interplay,-0.0449
interpret,-0.05
interpretation,-0.0044
interpreted,-0.0676
interval,-0.0407
intervals,-0.0292
intervention,-0.0045
interventions,0.0194
intra,0.0164
intraparietal,-0.199
intraparietal sulcus,-0.1976
intrinsic,0.0663
intrinsic functional,0.0572
introduced,-0.058
introduction,-0.0062
invariant,0.0029
invasive,-0.0196
inventory,0.0351
inverse,0.0252
inversely,0.0473
investigates,-0.0009
investigating,0.0542
investigation,0.0244
investigations,0.0275
involve,-0.0277
involved,-0.1178
involved cognitive,0.0538
involvement,-0.0514
involves,-0.035
involving,-0.0133
ipl,-0.0782
ips,-0.153
ipsilateral,-0.1804
iq,0.0714
irrelevant,-0.0399
irrespective,-0.0376
isolate,-0.0354
isolated,0.0175
issue,0.0363
issues,0.0292
item,0.0403
items,0.0807
iv,0.0198
joint,-0.0405
judge,0.0249
judged,0.0044
judgment,0.0819
judgment task,0.0362
judgments,0.1033
junction,0.1092
junction tpj,0.1086
just,-0.036
key,0.0851
key role,0.0143
kinds,0.0052
know,0.0221
knowledge,0.0709
known,0.0302
known involved,-0.0619
labeling,0.0276
laboratory,0.0767
lack,-0.0436
lacking,0.0101
language,0.0038
language comprehension,0.0402
language network,0.0145
languages,-0.0157
large,0.0347
large sample,0.0583
large scale,0.0461
largely,-0.0076
largely unknown,-0.0103
larger,-0.0483
late,0.0151
latencies,-0.0889
latency,-0.0432
later,0.0551
lateral,-0.0074
lateral frontal,0.026
lateral medial,-0.0191
lateral occipital,-0.1247
lateral orbitofrontal,0.0514
lateral parietal,0.1098
lateral prefrontal,0.03
lateral temporal,0.1213
laterality,-0.0681
lateralization,-0.0406
lateralized,-0.1026
lead,0.0014
leading,-0.0321
leads,-0.0093
learn,0.022
learned,0.0173
learning,0.0113
learning task,0.0585
led,-0.0506
length,-0.0473
lesion,-0.0505
lesions,-0.0427
lesser,-0.0799
letter,-0.0738
letters,-0.0834
level,-0.0043
level bold,-0.0278
level signal,0.0085
levels,0.0424
lexical,0.0071
lexical decision,-0.0237
life,0.1245
light,0.0062
like,0.0244
likelihood,-0.0317
likely,-0.0203
limb,-0.1589
limbic,0.0615
limitations,0.0305
limited,-0.006
line,-0.0236
linear,-0.0336
linear model,-0.0955
linearly,0.0147
lingual,0.0
lingual gyrus,0.0089
linguistic,0.0323
link,0.0483
linked,0.0731
linking,0.0139
links,-0.0025
list,-0.01
listened,0.0301
listening,0.018
literature,0.0199
little,0.0544
little known,0.0503
load,-0.0059
lobe,0.1136
lobe mtl,0.1234
lobes,0.0436
lobule,-0.1016
lobule ipl,-0.0508
lobules,-0.0354
local,-0.0113
localization,-0.0675
localize,-0.1046
localized,-0.0535
located,-0.0928
location,-0.0938
locations,-0.0234
locus,-0.0279
long,0.026
long term,0.0697
longer,-0.0323
longitudinal,0.0185
loop,-0.0194
loss,0.0486
losses,0.0492
low,0.0676
low frequency,0.0236
low high,-0.0007
low level,-0.0299
lower,0.0362
m1,-0.1524
machine,0.0161
magnetic,-0.1082
magnetic resonance,-0.0981
magnetic stimulation,-0.1302
magnetoencephalography,-0.0636
magnitude,0.0
main,-0.0181
main effect,-0.0366
mainly,-0.0388
maintain,0.0135
maintained,-0.0255
maintaining,0.002
maintenance,0.0028
major,0.0948
major depression,0.0689
major depressive,0.1041
majority,-0.0257
make,0.0541
making,0.0776
male,0.0447
male female,0.0308
males,0.0178
manifest,0.0647
manipulated,-0.0269
manipulating,0.0441
manipulation,-0.0663
manipulations,-0.045
manner,-0.0002
manual,-0.1235
map,-0.0497
mapp,-0.0227
mapped,0.0005
mapping,-0.0766
maps,-0.0413
marked,-0.0014
marker,0.0509
markers,0.0474
masked,0.0437
mass,-0.0079
match,-0.0007
matching,-0.0518
matching task,0.0048
material,0.0068
materials,0.0167
matrix,-0.0505
matter,0.0987
matter density,0.037
matter gm,0.0418
matter volume,0.0676
matter volumes,0.0471
maturation,0.0375
maximal,-0.033
maximum,-0.0319
mci,0.0832
mdd,0.0802
mean,0.066
mean age,0.065
meaning,0.0285
meaningful,-0.0098
means,-0.0179
measure,-0.0148
measurement,-0.0168
measurements,-0.0168
measures,0.0271
measuring,-0.0154
mechanism,0.0051
mechanisms,-0.0001
mechanisms involved,0.0127
mechanisms underlying,0.0122
medial,0.2222
medial frontal,0.0619
medial lateral,0.0729
medial orbitofrontal,0.055
medial pfc,0.0711
medial prefrontal,0.2033
medial superior,0.0292
medial temporal,0.1511
median,-0.0785
mediate,-0.014
mediated,0.0332
mediates,0.0166
mediating,0.0065
medication,0.036
meg,-0.0681
memories,0.1884
memory,0.1476
memory encoding,0.0517
memory load,-0.0064
memory performance,0.0757
memory processes,0.008
memory retrieval,0.1551
memory task,0.0458
memory tasks,0.0513
memory test,0.0746
memory wm,-0.0287
men,0.0372
men women,0.0278
mental,0.0627
mental imagery,-0.0276
mental state,0.107
mental states,0.1165
mentalizing,0.106
mesial,-0.0144
mesolimbic,0.0269
met,0.0928
metabolic,0.0742
metabolism,0.0489
method,0.0125
methodological,-0.0205
methodology,0.048
methodology principal,0.0628
methods,0.075
methods functional,0.0295
mfg,0.0386
mg,0.0297
mid,-0.0155
midbrain,0.0157
middle,0.0659
middle cingulate,0.0074
middle frontal,0.0339
middle inferior,0.0196
middle occipital,-0.0108
middle superior,0.0241
middle temporal,0.088
midline,0.1225
mild,0.071
mild cognitive,0.1091
min,0.0032
mind,0.1616
mind tom,0.1416
minimal,0.0221
mirror,-0.1533
mirror neuron,-0.1145
mixed,-0.0011
mm,0.0449
mnemonic,0.0235
modal,-0.095
modalities,-0.0684
modality,-0.0722
mode,0.181
mode network,0.1951
model,-0.046
modeling,-0.0858
models,-0.012
moderate,0.0038
modified,-0.0048
modulate,0.035
modulated,-0.0253
modulates,-0.0052
modulating,0.0228
modulation,0.0054
modulations,-0.0653
modulatory,-0.008
monetary,0.0521
monetary incentive,0.0152
monetary reward,0.0155
money,0.0597
monitor,-0.0441
monitored,0.0006
monitoring,-0.0121
monkey,-0.167
monkeys,-0.0893
months,0.0165
mood,0.123
moral,0.1127
morphological,0.0537
morphology,0.0133
morphometry,0.0625
morphometry vbm,0.0557
motion,-0.0988
motivation,0.0306
motivational,0.0381
motor,-0.222
motor control,-0.1299
motor cortex,-0.1846
motor function,-0.1094
motor imagery,-0.1899
motor network,-0.1142
motor performance,-0.1082
motor pre,-0.0627
motor premotor,-0.1168
motor response,-0.0559
motor responses,-0.1002
motor sma,-0.1475
motor task,-0.1449
movement,-0.1972
movements,-0.2276
moving,-0.1473
mpfc,0.1467
mr,-0.041
ms,-0.0445
mt,-0.1374
mtg,0.0637
mtl,0.1233
multi,-0.0379
multimodal,0.0326
multiple,0.0311
multiple comparisons,0.0319
multiple sclerosis,-0.0491
multisensory,-0.1083
multivariate,0.0342
multivariate pattern,0.0071
muscle,-0.0996
music,-0.014
musical,-0.0035
musicians,-0.0842
naive,0.0137
names,0.0549
naming,-0.1003
native,-0.0563
natural,0.02
naturalistic,0.0242
nature,0.0166
navigation,0.1014
near,-0.0751
necessary,-0.0324
need,0.0561
needed,0.0314
needs,-0.0072
negative,0.1543
negative affect,0.035
negative correlation,0.0653
negative correlations,0.0366
negative emotional,0.0819
negative emotions,0.0051
negative feedback,0.0745
negative neutral,0.0687
negative positive,0.0937
negatively,0.0963
negatively correlated,0.0548
negativity,0.0157
neocortical,0.0918
nerve,-0.0658
nervous,-0.1003
network,0.0305
network connectivity,0.0565
network dmn,0.1873
network involved,-0.0311
networks,0.0652
networks involved,-0.0056
neuro,-0.0228
neuroanatomical,0.0129
neuroanatomy,-0.0689
neurobiological,0.0664
neurobiology,0.0479
neurocognitive,0.0819
neurodegenerative,-0.0025
neurodevelopmental,0.0715
neurofunctional,0.002
neurological,-0.007
neuron,-0.0965
neuronal,-0.0453
neurons,-0.1247
neurophysiological,-0.0584
neuropsychiatric,0.0563
neuropsychological,0.0318
neuroscience,0.0584
neutral,0.0623
neutral faces,0.0267
neutral pictures,0.0397
neutral stimuli,0.0402
new,-0.0063
new insights,-0.0011
newly,0.007
nineteen,0.0404
nociceptive,-0.0842
node,0.0768
nodes,0.0054
nogo,0.0139
noise,0.0052
non,-0.0243
normal,-0.0284
normal controls,0.0802
normalized,0.0404
normally,-0.08
notably,0.0469
noted,0.0581
notion,-0.0143
nouns,0.0592
novel,0.057
novelty,0.0186
noxious,-0.0573
nuclei,0.0344
nucleus,0.0471
nucleus accumbens,0.0605
number,-0.0509
numbers,-0.0786
numerical,-0.0681
numerous,0.0567
object,-0.124
object recognition,-0.0699
objective,0.0068
objectives,0.0341
objects,-0.0899
observation,-0.1741
observations,-0.0171
observer,-0.0804
observers,-0.0432
observing,-0.0667
obsessive,0.0644
obsessive compulsive,0.0616
obtain,0.0284
obtained,-0.0015
occipital,-0.094
occipital cortex,-0.1147
occipital gyrus,-0.0148
occipital lobe,0.0103
occipital parietal,-0.0183
occipital temporal,0.0108
occipito,-0.1286
occipito temporal,-0.1214
occipitotemporal,-0.0834
occipitotemporal cortex,-0.0688
occur,0.023
occurred,0.0358
occurrence,0.0467
occurring,-0.0466
occurs,-0.0369
ocd,0.042
oddball,-0.034
ofc,0.0824
offer,0.0187
offers,-0.0114
old,0.0902
older,0.1237
older adults,0.1005
olfactory,0.0149
ones,-0.0235
ongoing,0.0009
online,0.0037
onset,-0.0298
open,-0.0026
operation,-0.0495
operations,-0.0486
opercular,-0.09
opercularis,-0.0431
operculum,-0.1119
opportunity,0.0184
opposed,-0.0012
opposite,0.0027
optimal,0.018
optimized,0.0115
options,0.0634
oral,-0.0862
orbital,0.0831
orbitofrontal,0.0904
orbitofrontal cortex,0.0854
order,-0.0569
organization,-0.063
organized,-0.0081
orientation,-0.0631
oriented,-0.0161
orienting,-0.0522
origin,-0.0472
original,0.0013
orthographic,-0.036
oscillations,-0.0006
outcome,0.0558
outcomes,0.1267
output,-0.1418
outside,-0.001
outside scanner,0.0131
overall,0.056
overcome,-0.0156
overlap,-0.0092
overlapped,-0.025
overlapping,-0.0515
overt,-0.1208
oxygen,-0.0019
oxygen level,-0.0092
oxygenation,-0.0061
oxygenation level,-0.0106
paced,-0.1381
pain,-0.1061
painful,-0.1334
pair,-0.0038
paired,0.0415
pairs,0.0515
pallidus,-0.0282
paper,-0.0067
paradigm,0.0177
paradigms,-0.0037
parahippocampal,0.1564
parahippocampal cortex,0.1032
parahippocampal gyrus,0.1415
parahippocampus,0.0824
paralimbic,0.013
parallel,-0.0587
parameter,0.0144
parameters,-0.0323
parametric,-0.0166
parametric mapping,-0.0365
parametrically,-0.0624
parietal,-0.1375
parietal cortex,-0.1336
parietal cortices,-0.0352
parietal frontal,-0.0533
parietal junction,0.1213
parietal lobe,-0.0463
parietal lobes,-0.0242
parietal lobule,-0.1162
parietal lobules,-0.1198
parietal network,-0.0239
parietal occipital,-0.0671
parietal temporal,0.0132
parieto,-0.1228
parieto occipital,-0.0877
parkinson,-0.0592
parkinson disease,-0.0592
pars,-0.0331
pars opercularis,-0.0435
partial,-0.0075
partially,-0.0387
participant,0.0123
participate,-0.0139
participated,0.0029
particular,-0.0325
particularly,-0.0026
partly,-0.0053
partner,0.0801
parts,-0.1139
passive,-0.0502
passive viewing,-0.0256
passively,-0.0542
past,0.1562
pathological,0.0583
pathology,0.0662
pathophysiological,0.0388
pathophysiology,0.076
pathway,-0.0816
pathways,-0.0231
patient,-0.0115
patient group,-0.0279
patient groups,0.0186
pattern,-0.0566
patterns,-0.0115
pcc,0.1586
pd,-0.0342
peak,-0.0752
people,0.138
perceive,-0.0151
perceived,-0.053
perceiving,-0.0178
percept,-0.066
perception,-0.1281
perceptual,-0.0768
perform,-0.0875
performance,-0.0095
performance task,0.0458
performances,0.033
performing,-0.0839
perfusion,0.0131
periaqueductal,0.0259
period,-0.0045
periodicals,-0.0174
periods,0.0092
peripheral,-0.0771
persistent,0.0649
person,0.0864
personal,0.1426
personality,0.0903
personality traits,0.0728
persons,0.0726
perspective,0.053
pet,-0.0006
pfc,0.0719
pharmacological,0.0119
phase,-0.0845
phases,-0.0235
phenomena,-0.0054
phenomenon,-0.0535
phenotype,0.041
phonological,-0.0547
photographs,0.0412
physical,-0.0761
physiological,-0.0078
picture,0.0105
pictures,0.0586
pitch,-0.0808
place,0.078
placebo,0.0358
placebo controlled,0.0319
planning,-0.147
planum,-0.0384
planum temporale,-0.0312
plasticity,-0.0712
play,-0.0131
play important,-0.0449
play role,-0.0579
played,-0.0308
playing,-0.0031
plays,0.004
plays important,0.0108
plays role,0.0038
pleasant,0.0008
point,-0.022
pointing,-0.0271
points,0.0398
pole,0.0415
polymorphism,0.0812
poor,0.0143
poorer,0.0666
poorly,0.0341
poorly understood,0.0275
population,0.0472
populations,0.0091
portion,-0.04
portions,0.0199
position,-0.0824
positive,0.1483
positive correlation,0.0475
positive correlations,0.0506
positive negative,0.109
positively,0.1156
positively correlated,0.0995
positron,0.0232
positron emission,0.0229
possibility,0.0096
possible,-0.0245
possibly,-0.0394
post,0.0523
post hoc,0.0252
postcentral,-0.1403
postcentral gyrus,-0.1122
posterior,0.0641
posterior anterior,0.0375
posterior cingulate,0.2232
posterior inferior,-0.0155
posterior insula,-0.0995
posterior middle,0.0572
posterior parietal,-0.1568
posterior superior,0.0134
posterior temporal,0.0057
posttraumatic,0.0447
potential,0.0441
potentially,0.037
potentials,-0.0328
power,-0.0269
powerful,0.012
ppc,-0.1202
ppi,0.0098
practice,-0.0942
pre,-0.0826
pre post,0.0003
pre sma,-0.0846
pre supplementary,-0.0471
preceded,0.0327
preceding,-0.0136
precentral,-0.13
precentral gyrus,-0.0871
precise,0.0056
precuneus,0.1787
precuneus posterior,0.162
predict,0.0096
predicted,0.0461
predicting,0.0805
prediction,0.0333
prediction error,0.0304
predictions,0.0046
predictive,-0.0067
predictors,0.0532
predicts,0.0422
predominantly,-0.0625
preference,0.0132
preferences,0.0645
preferential,-0.0116
preferentially,-0.0205
prefrontal,0.1751
prefrontal cortex,0.182
prefrontal cortical,0.0543
prefrontal cortices,0.0429
prefrontal parietal,0.0075
preliminary,0.0747
premotor,-0.2405
premotor cortex,-0.2183
preparation,-0.1472
preparatory,-0.1224
presence,-0.0086
presentation,0.0104
presentations,0.0237
presented,-0.0238
presenting,-0.0174
preserved,0.0405
press,-0.0682
pressure,-0.0325
presumably,-0.0467
previous,0.0053
previous functional,-0.0109
previous reports,-0.0677
previous research,0.0434
previous shown,0.0074
previous work,0.0359
primarily,0.0217
primary,-0.2153
primary auditory,-0.0187
primary motor,-0.1915
primary secondary,-0.1639
primary sensorimotor,-0.1384
primary somatosensory,-0.2145
primary visual,-0.05
primates,-0.0853
prime,-0.0116
priming,0.0473
principal,0.0104
principle,-0.0607
prior,0.0207
priori,0.059
probabilistic,0.076
probability,0.0375
probably,-0.0936
probe,-0.0004
problem,0.0399
problems,0.0544
procedure,-0.0521
procedures,-0.0095
process,0.0466
processed,-0.0036
processes,0.0474
processes involved,0.019
processes underlying,0.0161
produce,-0.0625
produced,-0.097
producing,-0.058
production,-0.0949
profile,0.0057
profiles,0.0304
progression,0.0457
progressive,0.0515
prolonged,-0.0414
prominent,-0.009
promising,0.0452
pronounced,0.0013
proper,-0.0696
properties,-0.0604
proportion,0.0173
propose,-0.0637
proposed,-0.0239
prospective,0.0621
protocol,0.0163
provide,0.0352
provide evidence,0.0216
provide new,0.0177
provide novel,0.0372
provided,-0.0035
provides,-0.0298
provides evidence,-0.0051
providing,0.0013
pseudowords,-0.0819
psts,0.0676
psychiatric,0.0936
psychiatric disorders,0.0807
psychological,0.0441
psychopathology,0.0608
psychophysical,-0.0765
psychophysiological,-0.0164
psychophysiological interaction,0.0207
psychosis,0.0873
psychotic,0.0464
ptsd,0.0535
published,-0.0071
punishment,0.0811
pure,-0.0427
purpose,-0.0025
putamen,-0.082
putative,-0.0202
quality,0.0184
quantified,0.0027
quantify,0.0151
quantitative,-0.0315
question,0.0505
questionnaire,0.0386
questions,0.0567
random,-0.0344
random effects,-0.0242
randomized,0.0105
randomly,-0.0406
range,-0.0111
ranging,-0.0073
rapid,-0.0417
rapidly,-0.005
rare,-0.0021
rarely,0.0196
rate,-0.0232
rated,0.0313
rates,0.0021
rating,0.074
ratings,0.017
ratio,0.0196
rationale,0.0044
reach,-0.1149
reaching,-0.1094
reaction,-0.0499
reaction time,-0.0138
reaction times,-0.0691
reactions,0.0051
reactivity,0.0631
read,0.026
readers,-0.0123
reading,-0.0515
real,0.0197
real time,-0.018
real world,0.0913
reality,0.0717
reappraisal,0.0495
reasoning,0.0723
recall,0.1549
receive,0.0323
received,0.0286
receiving,0.0204
recently,0.0207
receptor,0.0431
recognition,0.0565
recognition memory,0.0669
recognition task,0.0163
recognize,-0.005
recognized,0.0175
recognizing,0.0276
recollection,0.1143
recorded,-0.035
recording,-0.0266
recordings,-0.0081
recovery,-0.0566
recruit,-0.0218
recruited,-0.0344
recruitment,-0.0277
recruits,0.0433
reduce,-0.0039
reduces,0.0475
reducing,0.0745
reduction,0.0171
reductions,0.0432
reference,0.023
referential,0.1591
referred,0.0134
refers,0.0157
reflect,-0.0136
reflected,0.0359
reflecting,0.0452
reflects,0.0544
regard,-0.0221
regarding,0.0498
regardless,-0.0158
regional,0.0862
regional cerebral,-0.0061
regional gray,0.0412
regional homogeneity,0.0608
regular,-0.0255
regulate,0.07
regulating,0.0683
regulation,0.094
regulatory,0.0503
rehabilitation,-0.0642
rehearsal,-0.0599
reho,0.0569
reinforcement,0.066
reinforcement learning,0.061
relate,0.009
relates,0.0173
relation,-0.0436
relational,0.0711
relations,0.0289
relationship,0.0634
relationships,0.0899
relatively,0.0955
relevance,0.04
relevant,0.0363
relevant information,-0.0053
reliability,-0.0357
reliable,0.0078
reliably,0.0292
reliance,-0.0196
relied,-0.0032
relies,-0.0022
rely,-0.0275
remain,0.054
remain unclear,0.046
remained,0.01
remaining,0.0123
remarkably,0.004
remember,0.0133
remembered,0.0877
remembering,0.121
remote,0.0198
reorganization,-0.0846
repeat,-0.0106
repeated,-0.0391
repeatedly,0.0397
repetition,-0.0198
repetition suppression,-0.0188
repetitive,-0.0618
replicate,-0.0346
replicated,0.0157
report,0.059
reported,0.0726
reports,-0.0328
represent,0.0386
representation,-0.126
representational,0.0011
representations,-0.0937
represented,-0.0394
representing,0.0081
represents,0.0114
require,0.018
required,-0.0384
requirements,-0.0025
requires,-0.0517
requiring,-0.0072
research,0.1302
research suggests,0.0123
researchers,0.0531
residual,-0.0263
resolution,0.0184
resolve,-0.0121
resonance,-0.0977
resonance experiment,-0.0294
resonance healthy,-0.0501
resonance images,0.0068
resonance measure,-0.0463
resonance performing,0.0463
resonance rs,0.0297
resonance scans,0.0287
resources,-0.034
respect,-0.0021
respective,0.0045
respectively,0.0593
respond,-0.0164
responded,0.0313
responding,0.0228
responds,-0.0154
response,-0.0277
response inhibition,0.0098
response selection,-0.0872
response time,-0.0262
response times,-0.0274
responses,-0.0102
responsible,-0.0433
responsive,-0.0207
responsiveness,0.0176
rest,0.027
resting,0.1367
resting state,0.1413
restricted,-0.0553
result,-0.0725
resulted,-0.0707
resulting,-0.0116
retention,0.0076
retrieval,0.1385
retrieved,0.1201
retrosplenial,0.2209
retrosplenial cortex,0.1889
reveal,-0.0233
revealing,0.0209
reveals,-0.0302
reversal,0.0747
reverse,-0.041
reversed,0.0468
reward,0.0842
reward anticipation,0.009
rewarding,0.0454
rewards,0.0841
rhythm,-0.0794
rich,0.0619
rise,-0.0335
risk,0.1254
risk taking,0.0506
risky,0.0431
robust,0.0794
roi,-0.033
rois,-0.0126
role,-0.053
roles,0.0551
rostral,-0.0103
rostral anterior,0.0656
rotation,-0.1028
rs,0.0721
rsfc,0.061
rt,-0.021
rule,0.0107
rules,0.0133
run,-0.0583
runs,-0.0324
s1,-0.1996
saccade,-0.1129
saccades,-0.0911
sad,0.0816
salience,0.0708
salience network,0.0492
salient,0.0299
sample,0.1024
samples,0.0325
sampling,-0.0621
scale,0.0915
scales,0.0185
scalp,-0.0445
scan,0.0941
scanned,-0.0369
scanned using,0.0452
scanner,0.0271
scanning,0.0425
scans,0.0391
scene,0.0946
scenes,0.0942
schizophrenia,0.1447
schizophrenic,0.0425
sclerosis,-0.0197
score,0.0397
scores,0.096
sd,-0.002
se,-0.0082
search,-0.0211
second,-0.0283
secondary,-0.1656
secondary somatosensory,-0.1897
sectional,0.0923
seed,0.0958
seeds,0.0157
seeking,0.0199
seen,-0.0622
segregated,-0.0389
segregation,-0.0199
select,0.0425
selected,-0.0036
selection,-0.0746
selective,-0.0854
selective attention,-0.0966
selectively,-0.0018
selectivity,-0.0031
self,0.1417
self referential,0.1563
self report,0.0577
self reported,0.0619
semantic,0.1022
semantic memory,0.1194
semantically,0.0484
semantics,0.0125
sensation,-0.0986
sensations,-0.0572
sense,-0.0032
sensitive,-0.0218
sensitivity,0.0505
sensorimotor,-0.1968
sensorimotor cortex,-0.1446
sensorimotor network,-0.1101
sensory,-0.1924
sensory information,-0.0418
sensory motor,-0.1102
sentence,0.0809
sentence comprehension,0.045
sentences,0.0389
separable,-0.0067
separate,-0.0387
separated,-0.0638
separately,-0.0347
separation,0.0321
sequence,-0.1257
sequences,-0.0723
sequential,-0.1437
serial,-0.0393
series,0.0092
serotonin,0.0621
serve,-0.0108
served,-0.0274
serves,0.0002
session,-0.0171
sessions,-0.0336
set,0.0149
sets,0.0338
setting,-0.0119
settings,-0.0264
seven,-0.0193
seventeen,0.0415
severe,0.0357
severity,0.0898
sex,0.0503
sexual,0.0286
sham,0.0229
shape,-0.1261
shaped,-0.0037
shapes,-0.0784
share,-0.0136
shared,-0.0631
shed,0.052
shed light,0.0479
shift,-0.0364
shifted,-0.0571
shifting,-0.0234
shifts,-0.0666
short,-0.0659
short term,-0.0858
shorter,-0.0163
showing,0.0124
shown,0.0405
shows,-0.0117
si,-0.1643
sided,-0.0762
sighted,-0.0756
sign,-0.0308
signal,0.009
signal change,-0.035
signal task,0.0199
signaling,-0.0006
signals,-0.073
signature,0.0094
significance,0.0829
significance statement,0.0554
signs,-0.0223
sii,-0.1595
silent,-0.0675
similarities,0.0209
similarity,-0.0158
similarly,0.0015
simple,-0.1045
simply,-0.0451
simulated,-0.0269
simulation,-0.0352
simultaneous,-0.0881
simultaneous eeg,-0.0093
simultaneously,-0.0822
single,-0.1014
single subject,-0.0406
single trial,-0.0448
site,-0.0641
sites,-0.1043
situation,0.0812
situations,0.0841
sixteen,-0.021
size,-0.0018
sizes,0.0185
skill,-0.0529
skills,-0.0783
skin,-0.0724
skin conductance,-0.0016
sleep,0.0064
slow,-0.0117
slower,-0.0219
sma,-0.1686
small,0.0171
smaller,0.0091
smokers,0.062
smoking,0.0495
sn,0.0744
social,0.163
social cognition,0.1246
social cognitive,0.1206
social interaction,0.0968
social interactions,0.0749
socially,0.0285
software,0.0302
solving,0.0199
somatosensory,-0.2482
somatosensory cortex,-0.2173
somatosensory cortices,-0.1932
sought,0.0409
sound,-0.0471
sounds,0.0132
source,-0.0032
sources,-0.0424
space,-0.0663
span,-0.0147
sparse,-0.0529
spatial,-0.0771
spatial attention,-0.0965
spatial information,-0.0091
spatial temporal,0.0082
spatially,-0.0711
spatiotemporal,-0.0039
speaker,-0.0183
speakers,-0.0301
speaking,-0.0131
special,0.0418
specialization,-0.1041
specialized,-0.1019
species,0.0096
specifically,0.0326
specificity,0.0086
specified,-0.0553
spectral,0.0106
spectrum,0.0564
spectrum disorder,0.0409
spectrum disorders,0.038
speech,-0.0318
speech perception,-0.0165
speech production,-0.0996
speed,-0.0672
spin,0.0135
spin labeling,0.0126
spinal,-0.0465
spl,-0.1297
spoken,0.0088
spontaneous,0.066
stable,0.0194
stage,0.0076
stages,-0.0738
standard,0.0198
standardized,0.0359
state,0.1496
state connectivity,0.0827
state functional,0.1315
state networks,0.0596
statement,0.0677
states,0.0847
static,-0.1032
statistics,0.0068
status,0.0217
step,-0.0011
stg,-0.0005
stimulated,-0.1595
stimulation,-0.2077
stimulation tms,-0.109
stimuli,-0.0925
stimuli presented,-0.0256
stimulus,-0.1391
stimulus driven,0.0129
stimulus response,-0.0426
stop,0.0179
stop signal,0.0215
storage,-0.0468
stored,-0.0009
strategic,0.0319
strategies,0.0232
strategy,0.0585
stream,-0.1303
streams,-0.0763
strength,0.0108
stress,0.0578
stress disorder,0.0534
striatal,0.0351
striatum,0.0564
striking,0.0362
stroke,-0.0855
strong,-0.0325
strongest,-0.0151
strongly,-0.023
stroop,0.0111
stroop task,0.0033
structural,0.0357
structural functional,0.024
structural magnetic,0.0318
structure,0.0038
structure function,0.0534
structures,0.0494
structures involved,-0.0323
sts,0.0363
students,0.0019
studied,0.0018
studying,0.0183
sub,0.043
subcortical,-0.0415
subcortical structures,0.0026
subgenual,0.0554
subject,-0.0503
subjective,0.0314
subregions,-0.0026
subsequent,0.0198
subsequent memory,0.0786
subsequently,0.0429
subserve,0.0353
subserved,-0.0175
subserving,0.0217
subset,-0.0149
substance,0.0349
substantia,0.0454
substantial,0.0116
substantially,-0.0479
substrate,-0.0561
substrates,-0.0192
subtle,0.0397
subtraction,-0.0786
success,0.0673
successful,0.0815
successfully,-0.0034
successive,-0.0768
suffering,-0.0491
sufficient,0.0133
suggest,0.0784
suggest functional,0.0037
suggested,-0.0194
suggesting,0.0604
suggests,0.0461
sulci,-0.04
sulcus,-0.1343
sulcus ips,-0.1508
sulcus sts,0.0233
sum,0.0423
summary,-0.0183
superior,-0.0515
superior frontal,0.0738
superior inferior,-0.1519
superior middle,0.0035
superior parietal,-0.188
superior temporal,0.0267
supplementary,-0.186
supplementary motor,-0.1761
supported,0.0324
supporting,0.0625
supports,0.0512
suppressed,-0.0163
suppression,-0.0359
supramarginal,-0.0702
supramarginal gyrus,-0.0743
surface,-0.1101
surprisingly,0.0322
surrounding,-0.0226
susceptibility,0.0455
sustained,-0.025
sustained attention,-0.019
switch,-0.0278
switching,0.0089
symbolic,-0.0529
symptom,0.0522
symptom severity,0.0674
symptoms,0.105
synchronization,-0.0208
syndrome,0.011
syntactic,0.056
systematic,0.0192
systematically,-0.0285
systems,0.0215
systems involved,0.0293
t1,0.0288
t1 weighted,0.0205
tactile,-0.2484
taken,0.0481
taken suggest,-0.0013
taking,0.0384
tapping,-0.1203
target,-0.1324
target detection,-0.0162
targeted,0.031
targets,-0.0743
task,-0.0404
task conditions,-0.0315
task demands,-0.0139
