Feature,../../data/brains/braindiff_i_mni.nii.gz
individual,0.0307
individual variability,0.0106
individually,0.0001
individuals,0.1142
induce,-0.0068
induced,0.0051
induces,-0.028
inducing,-0.0147
induction,-0.001
infer,0.0671
inference,0.0603
inferences,0.0702
inferior,-0.1004
inferior frontal,-0.0734
inferior middle,-0.0296
inferior occipital,-0.0339
inferior parietal,-0.033
inferior prefrontal,-0.0304
inferior superior,-0.0518
inferior temporal,-0.0732
influence,0.002
influenced,0.0216
influences,-0.016
inform,0.0474
information,-0.0285
inhibit,0.0446
inhibition,0.0466
inhibitory,0.0244
inhibitory control,0.0486
initial,0.0099
initially,0.0194
initiation,0.0324
injury,-0.005
input,-0.0713
inputs,-0.0624
insight,0.0478
insights,0.0435
instead,0.0219
instructed,-0.0048
instruction,-0.0127
instructions,0.026
insula,-0.0274
insula anterior,-0.0492
insula inferior,-0.0153
insular,-0.0608
insular cortex,-0.0676
intact,-0.0015
integrate,0.0019
integrated,0.0255
integrating,0.0066
integration,-0.0112
integrative,0.0089
integrity,0.0259
intelligence,0.0322
intense,-0.031
intensity,-0.0366
intention,0.1081
intentional,0.046
intentions,0.1279
inter,0.0471
inter individual,-0.0049
interact,-0.0399
interacting,0.0488
interaction,0.0438
interactions,0.0719
interactive,0.0428
interacts,-0.0033
interestingly,-0.057
interference,-0.0796
interhemispheric,0.0012
intermediate,0.005
internal,0.0476
internally,0.0429
interoceptive,-0.0082
interpersonal,0.0353
interplay,-0.0141
interpret,-0.0015
interpretation,-0.0094
interpreted,-0.0599
interval,-0.0398
intervals,0.006
intervention,0.0055
interventions,0.0165
intra,0.0459
intraparietal,-0.1213
intraparietal sulcus,-0.1254
intrinsic,0.1044
intrinsic functional,0.0764
introduced,-0.027
introduction,0.0072
invariant,-0.0126
invasive,0.0137
inventory,0.0482
inverse,0.0193
inversely,0.0431
investigates,-0.0284
investigating,0.0471
investigation,0.0349
investigations,0.0067
involve,0.0078
involved,-0.0939
involved cognitive,0.0104
involvement,-0.059
involves,-0.0447
involving,-0.009
ipl,-0.0146
ips,-0.1035
ipsilateral,-0.0525
iq,0.0349
irrelevant,-0.0578
irrespective,-0.0211
isolate,-0.0048
isolated,-0.0008
issue,0.0154
issues,0.0146
item,-0.0113
items,-0.0146
iv,-0.0179
joint,0.0082
judge,0.0175
judged,0.0308
judgment,0.0036
judgment task,-0.0087
judgments,0.039
junction,0.1439
junction tpj,0.1282
just,0.0219
key,0.0503
key role,0.0441
kinds,-0.0368
know,0.0404
knowledge,0.0248
known,0.0295
known involved,-0.021
labeling,0.0363
laboratory,0.0518
lack,-0.0322
lacking,0.0012
language,-0.0417
language comprehension,0.0061
language network,-0.0136
languages,-0.0746
large,0.0533
large sample,0.0563
large scale,0.0453
largely,0.0071
largely unknown,-0.0325
larger,-0.007
late,0.0037
latencies,-0.0518
latency,-0.0345
later,-0.0148
lateral,-0.0261
lateral frontal,-0.0004
lateral medial,-0.0079
lateral occipital,-0.095
lateral orbitofrontal,0.0341
lateral parietal,0.0932
lateral prefrontal,-0.0216
lateral temporal,0.0523
laterality,-0.0442
lateralization,-0.0479
lateralized,-0.0617
lead,0.004
leading,0.0096
leads,-0.0177
learn,-0.0044
learned,0.0152
learning,-0.0425
learning task,-0.0041
led,-0.0109
length,-0.0257
lesion,-0.0748
lesions,-0.0401
lesser,-0.0406
letter,-0.0676
letters,-0.0782
level,-0.0179
level bold,0.0016
level signal,-0.0241
levels,0.0471
lexical,-0.0394
lexical decision,-0.0412
life,0.0701
light,0.0079
like,0.0109
likelihood,-0.052
likely,0.0174
limb,-0.0262
limbic,0.0327
limitations,0.0239
limited,-0.0006
line,-0.025
linear,0.0426
linear model,0.003
linearly,-0.0053
lingual,0.0227
lingual gyrus,0.0373
linguistic,-0.0217
link,0.0212
linked,0.0371
linking,-0.025
links,-0.0006
list,-0.0257
listened,0.046
listening,0.03
literature,0.0254
little,0.0352
little known,0.0256
load,-0.0718
lobe,0.009
lobe mtl,-0.0088
lobes,-0.0331
lobule,-0.0495
lobule ipl,-0.0338
lobules,-0.0259
local,0.0467
localization,-0.0495
localize,-0.0325
localized,-0.0099
located,-0.0316
location,-0.0364
locations,-0.032
locus,-0.0205
long,-0.0137
long term,-0.008
longer,-0.0077
longitudinal,-0.0271
loop,-0.0125
loss,0.0481
losses,0.0062
low,0.0683
low frequency,0.0724
low high,-0.0068
low level,-0.0125
lower,0.0214
m1,-0.0125
machine,0.0103
magnetic,-0.0573
magnetic resonance,-0.0557
magnetic stimulation,-0.047
magnetoencephalography,0.0301
magnitude,-0.0108
main,-0.0128
main effect,-0.0202
mainly,0.018
maintain,0.0075
maintained,-0.0056
maintaining,0.0082
maintenance,-0.0179
major,0.0367
major depression,0.0422
major depressive,0.0492
majority,-0.0171
make,0.0001
making,0.0709
male,0.0294
male female,0.0435
males,0.043
manifest,0.0643
manipulated,-0.0694
manipulating,-0.0282
manipulation,-0.0679
manipulations,-0.0424
manner,-0.0124
manual,-0.0413
map,-0.0072
mapp,0.0104
mapped,0.0138
mapping,-0.0477
maps,-0.0052
marked,-0.0031
marker,0.0641
markers,0.0354
masked,-0.0118
mass,-0.0045
match,-0.0058
matching,-0.1068
matching task,-0.0725
material,-0.0566
materials,-0.0357
matrix,-0.054
matter,0.0413
matter density,0.0136
matter gm,0.0138
matter volume,0.0458
matter volumes,0.0249
maturation,0.0179
maximal,-0.0126
maximum,-0.0156
mci,0.0069
mdd,0.0299
mean,0.0553
mean age,0.0309
meaning,-0.0166
meaningful,0.0061
means,0.0137
measure,0.0478
measurement,0.012
measurements,-0.0077
measures,0.0358
measuring,0.0359
mechanism,0.0349
mechanisms,-0.0326
mechanisms involved,-0.0026
mechanisms underlying,0.0202
medial,0.1484
medial frontal,0.0305
medial lateral,0.0319
medial orbitofrontal,0.0489
medial pfc,0.0442
medial prefrontal,0.1823
medial superior,0.0464
medial temporal,0.0011
median,-0.0227
mediate,0.0084
mediated,-0.0018
mediates,-0.0068
mediating,0.0105
medication,0.0466
meg,0.0215
memories,0.0815
memory,-0.0234
memory encoding,-0.0635
memory load,-0.03
memory performance,-0.0117
memory processes,-0.0744
memory retrieval,0.0699
memory task,-0.0298
memory tasks,-0.0498
memory test,0.0199
memory wm,-0.0745
men,0.0148
men women,0.0249
mental,0.0746
mental imagery,-0.0381
mental state,0.1159
mental states,0.1657
mentalizing,0.133
mesial,0.0058
mesolimbic,-0.015
met,0.0316
metabolic,0.0386
metabolism,0.0341
method,0.0438
methodological,-0.0196
methodology,0.0397
methodology principal,0.053
methods,0.0634
methods functional,0.0157
mfg,-0.0045
mg,-0.0187
mid,-0.0518
midbrain,0.002
middle,0.0148
middle cingulate,0.0055
middle frontal,-0.0106
middle inferior,-0.0339
middle occipital,-0.0226
middle superior,0.0142
middle temporal,0.0501
midline,0.1414
mild,0.0189
mild cognitive,0.0336
min,0.0301
mind,0.1714
mind tom,0.1654
minimal,0.0125
mirror,-0.0546
mirror neuron,-0.0508
mixed,0.053
mm,-0.0037
mnemonic,-0.0014
modal,-0.063
modalities,-0.046
modality,-0.0678
mode,0.1954
mode network,0.2009
model,-0.0133
modeling,-0.0801
models,0.0118
moderate,0.0336
modified,-0.0156
modulate,0.0065
modulated,-0.0221
modulates,-0.0054
modulating,0.0305
modulation,-0.0032
modulations,-0.0059
modulatory,-0.0276
monetary,0.0317
monetary incentive,0.0027
monetary reward,-0.0001
money,0.0213
monitor,-0.0103
monitored,-0.004
monitoring,0.0445
monkey,-0.1004
monkeys,-0.0549
months,0.0344
mood,0.0593
moral,0.137
morphological,0.0247
morphology,-0.0112
morphometry,0.0294
morphometry vbm,0.0297
motion,-0.0381
motivation,0.0258
motivational,0.0289
motor,-0.051
motor control,-0.0248
motor cortex,-0.038
motor function,-0.0302
motor imagery,-0.0571
motor network,-0.0177
motor performance,-0.0275
motor pre,-0.0331
motor premotor,-0.0396
motor response,-0.0058
motor responses,-0.0401
motor sma,-0.0333
motor task,-0.0217
movement,-0.0341
movements,-0.0572
moving,-0.0514
mpfc,0.1381
mr,-0.0294
ms,-0.0081
mt,-0.0635
mtg,0.0479
mtl,-0.0229
multi,0.0048
multimodal,0.0713
multiple,0.024
multiple comparisons,0.035
multiple sclerosis,-0.0221
multisensory,-0.0623
multivariate,0.0444
multivariate pattern,-0.0058
muscle,-0.0414
music,0.0035
musical,0.008
musicians,-0.0339
naive,0.0131
names,-0.0018
naming,-0.0826
native,-0.0905
natural,0.0181
naturalistic,0.0245
nature,0.0221
navigation,-0.0009
near,-0.0276
necessary,-0.0166
need,0.0582
needed,0.0214
needs,-0.0338
negative,0.0643
negative affect,0.0413
negative correlation,0.0377
negative correlations,0.0202
negative emotional,0.0248
negative emotions,0.0045
negative feedback,0.0058
negative neutral,0.0135
negative positive,0.0403
negatively,0.0721
negatively correlated,0.0543
negativity,0.0109
neocortical,0.031
nerve,-0.0245
nervous,-0.0028
network,0.0843
network connectivity,0.11
network dmn,0.1917
network involved,-0.0371
networks,0.1121
networks involved,-0.0074
neuro,0.0346
neuroanatomical,-0.0009
neuroanatomy,-0.0161
neurobiological,0.071
neurobiology,0.0369
neurocognitive,0.0401
neurodegenerative,-0.0108
neurodevelopmental,0.0565
neurofunctional,-0.0311
neurological,0.0266
neuron,-0.0462
neuronal,-0.0218
neurons,-0.057
neurophysiological,0.0029
neuropsychiatric,0.0311
neuropsychological,-0.0441
neuroscience,0.0492
neutral,0.0014
neutral faces,-0.0379
neutral pictures,0.014
neutral stimuli,0.006
new,0.0147
new insights,0.0263
newly,0.0059
nineteen,0.0159
nociceptive,-0.0582
node,0.0694
nodes,0.022
nogo,0.0406
noise,0.0065
non,0.0227
normal,-0.0222
normal controls,0.0291
normalized,0.035
normally,-0.0635
notably,0.0715
noted,0.0288
notion,-0.0148
nouns,-0.0067
novel,-0.0003
novelty,-0.0243
noxious,-0.04
nuclei,0.0165
nucleus,0.0078
nucleus accumbens,0.0149
number,-0.0391
numbers,-0.0918
numerical,-0.1066
numerous,0.0144
object,-0.1046
object recognition,-0.0595
objective,0.0231
objectives,0.0433
objects,-0.117
observation,-0.0562
observations,-0.0183
observer,-0.0225
observers,0.0217
observing,-0.0057
obsessive,0.0373
obsessive compulsive,0.0369
obtain,0.064
obtained,0.0238
occipital,-0.0775
occipital cortex,-0.0782
occipital gyrus,-0.0191
occipital lobe,0.0225
occipital parietal,-0.027
occipital temporal,-0.022
occipito,-0.1108
occipito temporal,-0.1085
occipitotemporal,-0.0915
occipitotemporal cortex,-0.0667
occur,-0.0056
occurred,0.0163
occurrence,0.039
occurring,-0.0019
occurs,-0.0077
ocd,0.0307
oddball,-0.0024
ofc,0.0224
offer,0.0055
offers,0.0253
old,0.061
older,0.0441
older adults,0.0344
olfactory,-0.0113
ones,-0.0051
ongoing,0.0039
online,0.0348
onset,0.019
open,0.0101
operation,-0.0584
operations,-0.053
opercular,-0.0244
opercularis,-0.0509
operculum,-0.0561
opportunity,0.0072
opposed,0.0256
opposite,0.0361
optimal,0.0044
optimized,-0.005
options,0.0289
oral,-0.0512
orbital,0.0176
orbitofrontal,0.0363
orbitofrontal cortex,0.0297
order,-0.0307
organization,-0.0129
organized,-0.0068
orientation,-0.0589
oriented,-0.0058
orienting,0.0234
origin,0.0325
original,-0.0114
orthographic,-0.0948
oscillations,0.0351
outcome,0.0418
outcomes,0.0935
output,-0.0455
outside,-0.0287
outside scanner,-0.0422
overall,0.0517
overcome,0.0016
overlap,0.0062
overlapped,-0.0248
overlapping,-0.0261
overt,-0.0348
oxygen,0.0356
oxygen level,0.0304
oxygenation,-0.0102
oxygenation level,-0.0119
paced,-0.0383
pain,-0.047
painful,-0.0807
pair,-0.0588
paired,0.0044
pairs,-0.0398
pallidus,0.004
paper,0.0255
paradigm,0.018
paradigms,0.0268
parahippocampal,0.0273
parahippocampal cortex,-0.0039
parahippocampal gyrus,0.0417
parahippocampus,0.025
paralimbic,0.0172
parallel,0.0022
parameter,-0.0239
parameters,0.0102
parametric,-0.0277
parametric mapping,-0.0295
parametrically,-0.021
parietal,-0.0575
parietal cortex,-0.0792
parietal cortices,-0.0233
parietal frontal,-0.0456
parietal junction,0.1463
parietal lobe,0.0136
parietal lobes,-0.0215
parietal lobule,-0.0569
parietal lobules,-0.0592
parietal network,-0.0415
parietal occipital,-0.0012
parietal temporal,0.0265
parieto,-0.06
parieto occipital,-0.0296
parkinson,-0.0269
parkinson disease,-0.0257
pars,-0.0444
pars opercularis,-0.0511
partial,0.0265
partially,-0.0161
participant,0.049
participate,0.0286
participated,-0.029
particular,-0.0011
particularly,-0.0186
partly,0.0023
partner,0.0391
parts,-0.0585
passive,-0.0006
passive viewing,-0.0132
passively,-0.0152
past,0.0865
pathological,0.053
pathology,0.0312
pathophysiological,0.0248
pathophysiology,0.0299
pathway,-0.0551
pathways,-0.05
patient,-0.0286
patient group,-0.0226
patient groups,0.021
pattern,-0.041
patterns,0.0041
pcc,0.1731
pd,-0.0148
peak,-0.0348
people,0.1053
perceive,-0.0363
perceived,-0.0219
perceiving,0.0075
percept,-0.0563
perception,-0.0772
perceptual,-0.0944
perform,-0.0497
performance,-0.0376
performance task,-0.0182
performances,-0.0037
performing,-0.0548
perfusion,0.0237
periaqueductal,0.0089
period,-0.0338
periodicals,0.0176
periods,0.0392
peripheral,-0.0148
persistent,0.0193
person,0.099
personal,0.0963
personality,0.0622
personality traits,0.0471
persons,0.0289
perspective,0.0593
pet,0.0009
pfc,-0.0021
pharmacological,-0.012
phase,-0.0369
phases,-0.0277
phenomena,0.0456
phenomenon,-0.0119
phenotype,0.0302
phonological,-0.1042
photographs,-0.0089
physical,-0.0082
physiological,0.0216
picture,-0.0429
pictures,0.0082
pitch,-0.0186
place,-0.014
placebo,0.0004
placebo controlled,0.0189
planning,-0.0583
planum,0.0056
planum temporale,0.0028
plasticity,-0.0558
play,-0.0123
play important,-0.0433
play role,-0.0132
played,0.0166
playing,-0.0073
plays,-0.0201
plays important,-0.0072
plays role,-0.0136
pleasant,-0.0347
point,0.0106
pointing,-0.0049
points,0.0156
pole,0.0432
polymorphism,0.0171
poor,0.0135
poorer,0.0236
poorly,0.0232
poorly understood,0.0273
population,0.067
populations,0.0181
portion,-0.0027
portions,0.0329
position,-0.0351
positive,0.0883
positive correlation,0.0181
positive correlations,0.0243
positive negative,0.0435
positively,0.0438
positively correlated,0.0571
positron,0.0208
positron emission,0.0206
possibility,-0.0135
possible,-0.0024
possibly,-0.0331
post,0.0495
post hoc,0.0252
postcentral,0.0072
postcentral gyrus,0.0236
posterior,0.0904
posterior anterior,0.0179
posterior cingulate,0.1989
posterior inferior,-0.0621
posterior insula,-0.044
posterior middle,0.0256
posterior parietal,-0.0728
posterior superior,0.0235
posterior temporal,0.0081
posttraumatic,0.0345
potential,0.0676
potentially,0.0282
potentials,-0.0046
power,-0.0016
powerful,0.0416
ppc,-0.0609
ppi,0.0031
practice,-0.0161
pre,-0.028
pre post,0.0006
pre sma,-0.0558
pre supplementary,-0.0334
preceded,-0.0048
preceding,0.0212
precentral,-0.0487
precentral gyrus,-0.0328
precise,0.0135
precuneus,0.2064
precuneus posterior,0.1383
predict,0.0161
predicted,0.0383
predicting,0.0171
prediction,0.0058
prediction error,-0.0196
predictions,-0.0056
predictive,-0.0141
predictors,0.0366
predicts,-0.0027
predominantly,-0.0044
preference,-0.0063
preferences,0.0508
preferential,-0.0698
preferentially,-0.0147
prefrontal,0.0767
prefrontal cortex,0.0905
prefrontal cortical,-0.0044
prefrontal cortices,0.0214
prefrontal parietal,-0.0311
preliminary,0.0449
premotor,-0.0754
premotor cortex,-0.0623
preparation,-0.0484
preparatory,-0.0151
presence,0.0082
presentation,-0.0214
presentations,-0.0104
presented,-0.0691
presenting,-0.0141
preserved,0.0271
press,-0.0497
pressure,0.0015
presumably,-0.0223
previous,-0.0175
previous functional,-0.0123
previous reports,-0.0191
previous research,0.014
previous shown,-0.0177
previous work,0.0424
primarily,0.0078
primary,-0.0396
primary auditory,0.0123
primary motor,-0.0336
primary secondary,-0.0584
primary sensorimotor,-0.0155
primary somatosensory,-0.0501
primary visual,-0.0392
primates,-0.06
prime,-0.0432
priming,-0.0183
principal,0.0301
principle,-0.0541
prior,0.0144
priori,0.0529
probabilistic,0.0439
probability,-0.0076
probably,-0.051
probe,-0.0477
problem,0.0096
problems,0.0055
procedure,-0.0255
procedures,-0.0317
process,0.0126
processed,-0.0292
processes,-0.0198
processes involved,-0.0002
processes underlying,0.0227
produce,-0.0154
produced,-0.0625
producing,-0.0198
production,-0.0435
profile,-0.0127
profiles,0.0086
progression,0.0168
progressive,0.0207
prolonged,-0.0171
prominent,-0.0282
promising,0.0587
pronounced,-0.0176
proper,-0.0566
properties,-0.0112
proportion,-0.0185
propose,-0.0254
proposed,-0.0086
prospective,0.079
protocol,-0.024
provide,0.0138
provide evidence,0.0081
provide new,0.0162
provide novel,0.0093
provided,0.0017
provides,-0.0048
provides evidence,-0.0047
providing,0.0354
pseudowords,-0.1044
psts,0.0623
psychiatric,0.0636
psychiatric disorders,0.0186
psychological,0.0641
psychopathology,0.0508
psychophysical,-0.0399
psychophysiological,-0.012
psychophysiological interaction,-0.011
psychosis,0.0842
psychotic,0.0812
ptsd,0.0412
published,-0.0186
punishment,0.0298
pure,-0.0246
purpose,0.016
putamen,-0.0414
putative,-0.0002
quality,0.0135
quantified,0.0366
quantify,0.0386
quantitative,-0.0197
question,0.0132
questionnaire,0.0329
questions,0.0685
random,-0.0281
random effects,-0.0167
randomized,0.0087
randomly,0.0102
range,-0.0073
ranging,0.0141
rapid,-0.0313
rapidly,-0.0178
rare,0.0141
rarely,0.027
rate,0.0007
rated,0.0237
rates,0.0114
rating,0.0471
ratings,0.0069
ratio,0.038
rationale,0.0033
reach,-0.0313
reaching,-0.0067
reaction,-0.0458
reaction time,-0.0294
reaction times,-0.0405
reactions,0.0201
reactivity,0.0224
read,-0.0004
readers,-0.0614
reading,-0.0905
real,0.0113
real time,0.009
real world,0.0431
reality,0.0612
reappraisal,0.0674
reasoning,0.0619
recall,0.0614
receive,0.0511
received,0.0109
receiving,-0.016
recently,0.0192
receptor,0.0134
recognition,-0.0424
recognition memory,-0.002
recognition task,-0.0036
recognize,-0.0305
recognized,-0.0011
recognizing,0.0106
recollection,0.0547
recorded,0.015
recording,0.0057
recordings,0.0092
recovery,-0.0024
recruit,-0.0208
recruited,-0.0034
recruitment,-0.0394
recruits,0.0076
reduce,-0.0037
reduces,0.0257
reducing,0.0465
reduction,0.0171
reductions,-0.0187
reference,0.0594
referential,0.1346
referred,0.0001
refers,0.0567
reflect,0.0085
reflected,-0.0
reflecting,0.0375
reflects,0.0328
regard,-0.011
regarding,0.059
regardless,-0.0246
regional,0.0689
regional cerebral,0.005
regional gray,0.0258
regional homogeneity,0.0919
regular,-0.0305
regulate,0.0531
regulating,0.0481
regulation,0.0786
regulatory,0.0128
rehabilitation,-0.0082
rehearsal,-0.0499
reho,0.0915
reinforcement,0.0203
reinforcement learning,0.0091
relate,0.0526
relates,-0.0031
relation,-0.0247
relational,-0.0339
relations,-0.0108
relationship,0.0386
relationships,0.0827
relatively,0.0371
relevance,0.0022
relevant,0.0188
relevant information,0.0087
reliability,-0.0022
reliable,-0.0033
reliably,0.0329
reliance,-0.0589
relied,-0.0037
relies,-0.023
rely,-0.0302
remain,0.0314
remain unclear,0.034
remained,0.0147
remaining,0.0207
remarkably,0.0108
remember,-0.0427
remembered,0.0159
remembering,0.0623
remote,0.0076
reorganization,-0.0094
repeat,0.0205
repeated,-0.0672
repeatedly,0.0185
repetition,-0.041
repetition suppression,-0.0042
repetitive,0.0084
replicate,-0.0333
replicated,0.0125
report,0.0419
reported,0.0594
reports,0.01
represent,0.0382
representation,-0.0458
representational,-0.0139
representations,-0.0757
represented,-0.0172
representing,-0.0009
represents,0.0208
require,0.0307
required,-0.0466
requirements,-0.0552
requires,-0.0124
requiring,-0.0095
research,0.0887
research suggests,-0.0284
researchers,0.0023
residual,-0.019
resolution,0.015
resolve,0.0031
resonance,-0.0553
resonance experiment,-0.0284
resonance healthy,-0.0332
resonance images,0.0318
resonance measure,-0.0135
resonance performing,-0.0052
resonance rs,0.0573
resonance scans,0.0377
resources,-0.0505
respect,-0.0169
respective,-0.001
respectively,-0.0049
respond,0.0292
responded,-0.0118
responding,0.0116
responds,-0.0039
response,-0.0098
response inhibition,0.0292
response selection,-0.0569
response time,-0.0436
response times,-0.053
responses,0.0104
responsible,-0.0375
responsive,-0.0208
responsiveness,0.0204
rest,0.0559
resting,0.1749
resting state,0.174
restricted,-0.0071
result,-0.0277
resulted,-0.0592
resulting,-0.0056
retention,-0.0218
retrieval,0.0173
retrieved,0.051
retrosplenial,0.0875
retrosplenial cortex,0.0825
reveal,-0.0209
revealing,0.0333
reveals,-0.0086
reversal,0.0164
reverse,0.0087
reversed,0.0182
reward,0.0401
reward anticipation,0.0096
rewarding,0.0463
rewards,0.039
rhythm,-0.0138
rich,0.0365
rise,-0.0143
risk,0.0895
risk taking,0.0256
risky,0.0174
robust,0.0846
roi,0.0088
rois,-0.0093
role,-0.0395
roles,0.0151
rostral,0.0383
rostral anterior,0.0393
rotation,-0.0817
rs,0.0944
rsfc,0.048
rt,-0.0102
rule,-0.0372
rules,-0.0257
run,-0.0611
runs,-0.0316
s1,-0.0383
saccade,-0.036
saccades,-0.0281
sad,0.0461
salience,0.0575
salience network,0.0705
salient,0.0001
sample,0.0509
samples,0.0221
sampling,0.0124
scale,0.0934
scales,0.0406
scalp,0.0051
scan,0.0539
scanned,-0.0709
scanned using,0.0216
scanner,-0.001
scanning,0.0193
scans,0.0437
scene,-0.0117
scenes,-0.0112
schizophrenia,0.1203
schizophrenic,0.0777
sclerosis,-0.0166
score,0.0323
scores,0.0758
sd,-0.0204
se,-0.03
search,-0.0102
second,-0.0422
secondary,-0.0468
secondary somatosensory,-0.056
sectional,0.0822
seed,0.0869
seeds,-0.0036
seeking,0.0036
seen,-0.0393
segregated,-0.033
segregation,-0.0137
select,0.0251
selected,0.0326
selection,-0.0288
selective,-0.0893
selective attention,-0.0532
selectively,-0.0462
selectivity,-0.0344
self,0.1524
self referential,0.1329
self report,0.0245
self reported,0.0309
semantic,-0.021
semantic memory,0.0189
semantically,-0.0163
semantics,-0.0543
sensation,-0.0497
sensations,-0.0605
sense,0.0312
sensitive,-0.0397
sensitivity,0.0168
sensorimotor,-0.018
sensorimotor cortex,-0.0012
sensorimotor network,-0.0088
sensory,-0.0468
sensory information,0.0004
sensory motor,-0.008
sentence,0.0118
sentence comprehension,0.002
sentences,0.0078
separable,-0.0043
separate,-0.0297
separated,-0.0302
separately,0.0065
separation,0.039
sequence,-0.0047
sequences,-0.0312
sequential,-0.0308
serial,-0.0445
series,0.0024
serotonin,0.0262
serve,0.0089
served,-0.006
serves,0.0229
session,-0.0082
sessions,-0.0002
set,0.0178
sets,-0.0404
setting,-0.0079
settings,0.0107
seven,-0.0106
seventeen,0.0137
severe,0.0284
severity,0.0863
sex,0.062
sexual,0.0279
sham,0.049
shape,-0.109
shaped,-0.0146
shapes,-0.0506
share,-0.0126
shared,-0.0448
shed,0.0402
shed light,0.0275
shift,-0.0542
shifted,0.0054
shifting,-0.0301
shifts,-0.0255
short,-0.0336
short term,-0.0716
shorter,0.0156
showing,0.0121
shown,0.0255
shows,-0.0171
si,-0.0488
sided,-0.0399
sighted,-0.049
sign,-0.0596
signal,0.0451
signal change,-0.0206
signal task,0.0192
signaling,-0.0142
signals,-0.0038
signature,0.0237
significance,0.0783
significance statement,0.0463
signs,-0.0194
sii,-0.0503
silent,-0.0581
similarities,0.0167
similarity,-0.0443
similarly,-0.0041
simple,-0.037
simply,-0.0464
simulated,0.0251
simulation,0.0198
simultaneous,-0.0372
simultaneous eeg,0.0225
simultaneously,-0.0686
single,-0.0658
single subject,-0.0006
single trial,0.0199
site,-0.0473
sites,-0.0334
situation,0.0569
situations,0.0614
sixteen,-0.0223
size,-0.0273
sizes,0.0063
skill,-0.0252
skills,-0.0452
skin,-0.015
skin conductance,0.0093
sleep,0.0296
slow,0.0332
slower,-0.0189
sma,-0.0543
small,0.0041
smaller,-0.0064
smokers,0.0679
smoking,0.0664
sn,0.0777
social,0.1544
social cognition,0.1314
social cognitive,0.0998
social interaction,0.1089
social interactions,0.0721
socially,0.0401
software,0.0295
solving,0.0182
somatosensory,-0.0479
somatosensory cortex,-0.0422
somatosensory cortices,-0.0497
sought,0.0549
sound,-0.0143
sounds,0.0339
source,0.0374
sources,-0.0022
space,-0.047
span,-0.023
sparse,0.0373
spatial,-0.0379
spatial attention,-0.0298
spatial information,-0.0177
spatial temporal,0.0223
spatially,0.0122
spatiotemporal,0.0135
speaker,0.0277
speakers,-0.0392
speaking,-0.044
special,0.0004
specialization,-0.0841
specialized,-0.0792
species,-0.0126
specifically,0.0206
specificity,-0.0047
specified,-0.0273
spectral,0.0501
spectrum,0.0681
spectrum disorder,0.0504
spectrum disorders,0.0451
speech,0.0087
speech perception,0.0165
speech production,-0.026
speed,-0.0158
spin,0.0285
spin labeling,0.037
spinal,-0.0074
spl,-0.0607
spoken,-0.0071
spontaneous,0.1135
stable,0.0414
stage,0.0151
stages,-0.0111
standard,0.0237
standardized,0.0305
state,0.186
state connectivity,0.0689
state functional,0.1413
state networks,0.127
statement,0.0611
states,0.14
static,-0.0658
statistics,-0.0001
status,0.0158
step,-0.0286
stg,0.0109
stimulated,-0.0683
stimulation,-0.0687
stimulation tms,-0.0484
stimuli,-0.0968
stimuli presented,-0.0156
stimulus,-0.0996
stimulus driven,0.0311
stimulus response,-0.0503
stop,0.0292
stop signal,0.0198
storage,-0.063
stored,-0.0342
strategic,-0.0134
strategies,-0.0166
strategy,0.0489
stream,-0.0832
streams,-0.0311
strength,0.0238
stress,0.0422
stress disorder,0.0358
striatal,0.009
striatum,0.0212
striking,0.0061
stroke,-0.0159
strong,-0.0335
strongest,-0.0429
strongly,-0.0184
stroop,-0.0218
stroop task,-0.0204
structural,0.0122
structural functional,0.0127
structural magnetic,0.0103
structure,-0.012
structure function,0.037
structures,0.032
structures involved,-0.0201
sts,0.0317
students,0.0046
studied,-0.0178
studying,0.0457
sub,0.0283
subcortical,0.0099
subcortical structures,0.0077
subgenual,0.0094
subject,-0.0095
subjective,0.0321
subregions,-0.0199
subsequent,-0.0198
subsequent memory,-0.0094
subsequently,0.0191
subserve,0.0159
subserved,0.0077
subserving,0.0065
subset,-0.0222
substance,0.0269
substantia,0.0195
substantial,0.0253
substantially,-0.0252
substrate,-0.0323
substrates,-0.0138
subtle,0.0229
subtraction,-0.0923
success,0.0369
successful,0.0176
successfully,-0.0238
successive,-0.0328
suffering,-0.0419
sufficient,0.0068
suggest,0.0349
suggest functional,0.0089
suggested,-0.0038
suggesting,0.0124
suggests,0.0078
sulci,-0.006
sulcus,-0.0564
sulcus ips,-0.1055
sulcus sts,0.0149
sum,0.0026
summary,0.0049
superior,0.006
superior frontal,0.0963
superior inferior,-0.0588
superior middle,0.0437
superior parietal,-0.0861
superior temporal,0.0323
supplementary,-0.0483
supplementary motor,-0.0455
supported,-0.0105
supporting,0.0245
supports,0.0324
suppressed,0.0076
suppression,0.0259
supramarginal,0.0071
supramarginal gyrus,0.0088
surface,-0.033
surprisingly,0.012
surrounding,0.0146
susceptibility,0.0077
sustained,-0.0291
sustained attention,-0.028
switch,0.0015
switching,-0.0147
symbolic,-0.0767
symptom,0.0367
symptom severity,0.0432
symptoms,0.0715
synchronization,0.0143
syndrome,0.01
syntactic,-0.0121
systematic,-0.0221
systematically,-0.0094
systems,-0.0053
systems involved,0.0011
t1,0.0079
t1 weighted,-0.0008
tactile,-0.0904
taken,0.0093
taken suggest,-0.0094
taking,0.0279
tapping,-0.0196
target,-0.0417
