Feature,../../data/brains/braindiff_ad_mni.nii.gz
individuals,0.0965
induce,-0.0021
induced,0.0571
induces,-0.022
inducing,-0.015
induction,0.0128
infer,0.0759
inference,0.0818
inferences,0.0686
inferior,-0.1431
inferior frontal,-0.125
inferior middle,-0.0591
inferior occipital,-0.0586
inferior parietal,-0.0031
inferior prefrontal,-0.0704
inferior superior,-0.0408
inferior temporal,-0.1088
influence,-0.0083
influenced,0.0223
influences,-0.0221
inform,0.0549
information,-0.0465
inhibit,0.0244
inhibition,0.0296
inhibitory,0.02
inhibitory control,0.0352
initial,0.0098
initially,0.0355
initiation,0.0347
injury,-0.0231
input,-0.0488
inputs,-0.0556
insight,0.0513
insights,0.034
instead,0.0252
instructed,-0.0015
instruction,-0.0231
instructions,0.0282
insula,0.0071
insula anterior,0.0039
insula inferior,-0.0152
insular,-0.0216
insular cortex,-0.0368
intact,-0.0253
integrate,0.0164
integrated,0.012
integrating,0.0122
integration,0.0099
integrative,0.036
integrity,-0.0024
intelligence,0.0091
intense,-0.0016
intensity,-0.0013
intention,0.1091
intentional,0.045
intentions,0.1207
inter,0.072
inter individual,-0.0133
interact,-0.0292
interacting,0.0492
interaction,0.0406
interactions,0.0812
interactive,0.0135
interacts,-0.0028
interestingly,-0.0235
interference,-0.076
interhemispheric,0.0057
intermediate,-0.028
internal,0.0501
internally,0.0704
interoceptive,0.0068
interpersonal,0.0412
interplay,0.0052
interpret,0.0046
interpretation,-0.0243
interpreted,-0.0371
interval,-0.0433
intervals,0.0195
intervention,0.0218
interventions,0.0034
intra,0.0548
intraparietal,-0.0596
intraparietal sulcus,-0.0666
intrinsic,0.1278
intrinsic functional,0.1027
introduced,-0.0003
introduction,0.0233
invariant,-0.0312
invasive,0.0153
inventory,0.0382
inverse,0.0217
inversely,0.0279
investigates,-0.044
investigating,0.0356
investigation,0.0353
investigations,0.0056
involve,0.016
involved,-0.0735
involved cognitive,0.0124
involvement,-0.0683
involves,-0.0224
involving,0.0043
ipl,0.0086
ips,-0.0559
ipsilateral,-0.0058
iq,0.0085
irrelevant,-0.0423
irrespective,-0.0234
isolate,-0.0131
isolated,-0.0309
issue,0.0076
issues,-0.0016
item,-0.0062
items,-0.0337
iv,-0.0523
joint,0.0343
judge,0.0338
judged,0.0317
judgment,-0.0279
judgment task,-0.0429
judgments,0.0379
junction,0.1325
junction tpj,0.1058
just,0.0209
key,0.0423
key role,0.0597
kinds,-0.035
know,0.0654
knowledge,0.0159
known,0.0295
known involved,-0.0191
labeling,0.0209
laboratory,0.029
lack,-0.0208
lacking,-0.0157
language,-0.0884
language comprehension,-0.0337
language network,-0.0395
languages,-0.1141
large,0.062
large sample,0.0278
large scale,0.0615
largely,0.0186
largely unknown,-0.0324
larger,0.0029
late,-0.0022
latencies,-0.0385
latency,-0.0261
later,-0.0247
lateral,-0.0006
lateral frontal,-0.023
lateral medial,0.0132
lateral occipital,-0.0687
lateral orbitofrontal,0.0354
lateral parietal,0.1056
lateral prefrontal,-0.0122
lateral temporal,0.0354
laterality,-0.0364
lateralization,-0.0631
lateralized,-0.0587
lead,0.0124
leading,0.007
leads,-0.0111
learn,-0.0131
learned,0.0255
learning,-0.0595
learning task,-0.0155
led,0.0155
length,-0.0063
lesion,-0.0568
lesions,-0.0431
lesser,-0.0137
letter,-0.0535
letters,-0.0632
level,-0.0223
level bold,0.0354
level signal,-0.0222
levels,0.0228
lexical,-0.0798
lexical decision,-0.0416
life,0.0555
light,-0.0027
like,-0.0049
likelihood,-0.0484
likely,0.0018
limb,0.0158
limbic,0.0306
limitations,0.0342
limited,0.0054
line,-0.0159
linear,0.0851
linear model,0.0468
linearly,0.007
lingual,0.0183
lingual gyrus,0.0311
linguistic,-0.0604
link,0.0324
linked,0.0214
linking,-0.041
links,-0.0055
list,-0.0403
listened,0.0096
listening,-0.0044
literature,0.0235
little,0.0271
little known,0.0268
load,-0.0606
lobe,-0.0326
lobe mtl,-0.0569
lobes,-0.0472
lobule,-0.0448
lobule ipl,-0.034
lobules,-0.0477
local,0.0413
localization,-0.0336
localize,-0.0025
localized,-0.0056
located,-0.0109
location,-0.0168
locations,-0.0274
locus,-0.0206
long,-0.0161
long term,-0.0402
longer,0.0049
longitudinal,-0.0474
loop,-0.0217
loss,0.0252
losses,0.0004
low,0.0488
low frequency,0.0832
low high,-0.0192
low level,-0.0257
lower,-0.0119
m1,0.0396
machine,-0.0084
magnetic,-0.0392
magnetic resonance,-0.0413
magnetic stimulation,-0.0167
magnetoencephalography,0.057
magnitude,-0.0025
main,0.0062
main effect,0.0012
mainly,0.0383
maintain,-0.0089
maintained,0.0052
maintaining,-0.0013
maintenance,-0.0139
major,0.0231
major depression,0.0278
major depressive,0.0316
majority,-0.0017
make,-0.0065
making,0.0751
male,0.0173
male female,0.0357
males,0.0257
manifest,0.0482
manipulated,-0.0656
manipulating,-0.0398
manipulation,-0.0579
manipulations,-0.0422
manner,-0.0078
manual,-0.013
map,0.026
mapp,0.0348
mapped,0.0076
mapping,-0.0234
maps,0.0157
marked,-0.0217
marker,0.0584
markers,0.0214
masked,-0.0315
mass,0.003
match,-0.0047
matching,-0.0928
matching task,-0.0632
material,-0.0596
materials,-0.0382
matrix,-0.0206
matter,-0.0138
matter density,0.0016
matter gm,-0.0158
matter volume,0.0053
matter volumes,0.0081
maturation,0.0322
maximal,0.0087
maximum,-0.0031
mci,-0.0042
mdd,0.0151
mean,0.0235
mean age,0.0085
meaning,-0.0561
meaningful,0.0001
means,0.0247
measure,0.0576
measurement,0.0219
measurements,0.0022
measures,0.0241
measuring,0.0359
mechanism,0.0429
mechanisms,-0.0412
mechanisms involved,-0.0153
mechanisms underlying,0.0189
medial,0.1508
medial frontal,0.0367
medial lateral,0.0611
medial orbitofrontal,0.0542
medial pfc,0.0711
medial prefrontal,0.1874
medial superior,0.0521
medial temporal,-0.0392
median,-0.0023
mediate,0.0248
mediated,-0.0239
mediates,-0.0112
mediating,0.0122
medication,0.0371
meg,0.0357
memories,0.0632
memory,-0.0489
memory encoding,-0.0868
memory load,-0.024
memory performance,-0.0239
memory processes,-0.0783
memory retrieval,0.0815
memory task,-0.021
memory tasks,-0.0877
memory test,0.016
memory wm,-0.0689
men,0.0025
men women,0.0239
mental,0.1148
mental imagery,-0.0433
mental state,0.1257
mental states,0.1819
mentalizing,0.1513
mesial,0.0248
mesolimbic,-0.0333
met,0.0081
metabolic,0.0208
metabolism,0.0191
method,0.0497
methodological,-0.0301
methodology,0.0488
methodology principal,0.0434
methods,0.0542
methods functional,0.0013
mfg,-0.0113
mg,-0.0354
mid,-0.056
midbrain,-0.0214
middle,-0.0285
middle cingulate,0.0067
middle frontal,-0.0298
middle inferior,-0.0599
middle occipital,-0.022
middle superior,-0.0174
middle temporal,0.0057
midline,0.1525
mild,0.0243
mild cognitive,0.0346
min,0.0386
mind,0.1857
mind tom,0.1675
minimal,-0.0037
mirror,-0.0045
mirror neuron,-0.0166
mixed,0.0658
mm,-0.025
mnemonic,0.0181
modal,-0.0647
modalities,-0.0367
modality,-0.0842
mode,0.2413
mode network,0.2381
model,-0.0091
modeling,-0.0611
models,0.0342
moderate,0.0344
modified,-0.0003
modulate,-0.0063
modulated,-0.0031
modulates,-0.0008
modulating,0.0362
modulation,-0.0124
modulations,0.0233
modulatory,-0.0423
monetary,0.012
monetary incentive,-0.0131
monetary reward,-0.0149
money,0.0107
monitor,0.0056
monitored,-0.004
monitoring,0.0727
monkey,-0.0464
monkeys,-0.0231
months,0.0283
mood,0.0161
moral,0.1531
morphological,-0.0271
morphology,-0.0378
morphometry,-0.0042
morphometry vbm,-0.0042
motion,-0.0245
motivation,0.0079
motivational,0.0209
motor,0.0096
motor control,0.0122
motor cortex,0.0161
motor function,-0.0072
motor imagery,-0.007
motor network,0.0194
motor performance,-0.0015
motor pre,-0.0335
motor premotor,-0.0159
motor response,0.0006
motor responses,-0.0073
motor sma,-0.0025
motor task,0.0228
movement,0.0183
movements,-0.0004
moving,-0.0095
mpfc,0.1498
mr,-0.0493
ms,0.0189
mt,-0.0151
mtg,0.0316
mtl,-0.0702
multi,0.0161
multimodal,0.0619
multiple,0.0196
multiple comparisons,0.0216
multiple sclerosis,0.0065
multisensory,-0.0462
multivariate,0.0323
multivariate pattern,-0.0313
muscle,-0.0274
music,-0.0105
musical,-0.0017
musicians,-0.0178
naive,0.01
names,-0.0204
naming,-0.0787
native,-0.1027
natural,-0.0079
naturalistic,0.031
nature,0.0095
navigation,-0.0517
near,0.0035
necessary,-0.0048
need,0.0383
needed,0.0113
needs,-0.045
negative,0.0448
negative affect,0.0439
negative correlation,0.028
negative correlations,0.0158
negative emotional,0.0183
negative emotions,0.0094
negative feedback,-0.0043
negative neutral,0.0071
negative positive,0.0143
negatively,0.0642
negatively correlated,0.0442
negativity,0.0172
neocortical,0.0123
nerve,-0.0096
nervous,0.0526
network,0.1374
network connectivity,0.1395
network dmn,0.2233
network involved,-0.016
networks,0.1701
networks involved,0.0148
neuro,0.0625
neuroanatomical,-0.0171
neuroanatomy,-0.0116
neurobiological,0.0578
neurobiology,0.0285
neurocognitive,0.0067
neurodegenerative,-0.0155
neurodevelopmental,0.0294
neurofunctional,-0.0331
neurological,0.0278
neuron,-0.0187
neuronal,-0.0159
neurons,-0.0374
neurophysiological,0.0108
neuropsychiatric,0.037
neuropsychological,-0.0465
neuroscience,0.0393
neutral,-0.0126
neutral faces,-0.0465
neutral pictures,-0.0109
neutral stimuli,0.0056
new,0.0429
new insights,0.0233
newly,0.0232
nineteen,0.02
nociceptive,-0.0308
node,0.0769
nodes,0.0689
nogo,0.0342
noise,-0.0189
non,0.0349
normal,-0.0085
normal controls,0.0141
normalized,0.0188
normally,-0.0351
notably,0.0704
noted,-0.0056
notion,-0.0265
nouns,-0.052
novel,-0.0229
novelty,-0.0148
noxious,-0.0034
nuclei,-0.0243
nucleus,-0.0423
nucleus accumbens,-0.0274
number,-0.014
numbers,-0.067
numerical,-0.0934
numerous,-0.0056
object,-0.0956
object recognition,-0.0671
objective,0.0277
objectives,0.0401
objects,-0.1144
observation,-0.0122
observations,-0.0252
observer,0.0002
observers,0.0237
observing,0.0054
obsessive,-0.0093
obsessive compulsive,-0.0089
obtain,0.0748
obtained,0.0345
occipital,-0.0622
occipital cortex,-0.0493
occipital gyrus,-0.0279
occipital lobe,0.0165
occipital parietal,-0.027
occipital temporal,-0.0511
occipito,-0.1042
occipito temporal,-0.103
occipitotemporal,-0.1081
occipitotemporal cortex,-0.0775
occur,-0.0073
occurred,-0.0144
occurrence,0.0181
occurring,0.0021
occurs,-0.0096
ocd,-0.0021
oddball,-0.0086
ofc,0.0121
offer,-0.0129
offers,0.0279
old,0.0393
older,0.0202
older adults,0.0183
olfactory,-0.0267
ones,-0.0026
ongoing,0.0242
online,0.0403
onset,0.0238
open,0.0178
operation,-0.0553
operations,-0.0366
opercular,0.0074
opercularis,-0.0671
operculum,-0.0114
opportunity,-0.0075
opposed,0.0394
opposite,0.0417
optimal,0.0195
optimized,-0.0117
options,0.0232
oral,-0.0281
orbital,-0.0004
orbitofrontal,0.0281
orbitofrontal cortex,0.0185
order,0.0017
organization,0.0172
organized,0.0157
orientation,-0.0439
oriented,0.0147
orienting,0.0304
origin,0.0571
original,-0.0336
orthographic,-0.1315
oscillations,0.0629
outcome,0.0492
outcomes,0.0733
output,-0.0149
outside,-0.04
outside scanner,-0.0723
overall,0.0441
overcome,0.0173
overlap,0.0144
overlapped,-0.0206
overlapping,-0.0223
overt,-0.0007
oxygen,0.047
oxygen level,0.0423
oxygenation,0.0143
oxygenation level,0.0151
paced,-0.0025
pain,0.0086
painful,-0.0199
pair,-0.0812
paired,-0.0039
pairs,-0.0807
pallidus,0.0091
paper,0.0337
paradigm,0.0039
paradigms,0.0616
parahippocampal,-0.0198
parahippocampal cortex,-0.0364
parahippocampal gyrus,0.0005
parahippocampus,0.021
paralimbic,0.0242
parallel,0.0351
parameter,-0.0379
parameters,0.0297
parametric,-0.0258
parametric mapping,-0.018
parametrically,0.012
parietal,-0.0002
parietal cortex,-0.0164
parietal cortices,0.0011
parietal frontal,-0.0522
parietal junction,0.1378
parietal lobe,0.0352
parietal lobes,-0.0072
parietal lobule,-0.0347
parietal lobules,-0.0332
parietal network,-0.0379
parietal occipital,0.0295
parietal temporal,0.0129
parieto,-0.0197
parieto occipital,0.0048
parkinson,-0.0128
parkinson disease,-0.0108
pars,-0.0595
pars opercularis,-0.067
partial,0.0543
partially,-0.0075
participant,0.0623
participate,0.022
participated,-0.0433
particular,0.0238
particularly,-0.0326
partly,-0.0043
partner,0.0344
parts,-0.0377
passive,0.0038
passive viewing,-0.0191
passively,-0.0063
past,0.0834
pathological,0.0356
pathology,0.0091
pathophysiological,0.0183
pathophysiology,0.0071
pathway,-0.0642
pathways,-0.0654
patient,-0.0216
patient group,0.0021
patient groups,0.0278
pattern,-0.0281
patterns,0.0145
pcc,0.1864
pd,-0.0073
peak,-0.0031
people,0.0839
perceive,-0.0585
perceived,-0.0128
perceiving,-0.0108
percept,-0.0534
perception,-0.0844
perceptual,-0.0935
perform,-0.0272
performance,-0.0415
performance task,-0.021
performances,-0.0283
performing,-0.0359
perfusion,0.0094
periaqueductal,-0.0027
period,-0.0206
periodicals,0.0403
periods,0.0607
peripheral,0.0118
persistent,-0.0081
person,0.1109
personal,0.0993
personality,0.0616
personality traits,0.0387
persons,0.0013
perspective,0.0812
pet,-0.0114
pfc,0.0134
pharmacological,-0.0048
phase,0.0038
phases,-0.0208
phenomena,0.0621
phenomenon,0.0069
phenotype,0.0164
phonological,-0.1441
photographs,-0.019
physical,0.0242
physiological,0.0338
picture,-0.054
pictures,-0.0051
pitch,-0.0055
place,-0.06
placebo,-0.01
placebo controlled,0.0038
planning,-0.0187
planum,-0.0175
planum temporale,-0.0248
plasticity,-0.0487
play,0.003
play important,-0.0202
play role,0.0183
played,0.0325
playing,0.0073
plays,-0.0209
plays important,-0.0118
plays role,-0.0311
pleasant,-0.0255
point,0.0134
pointing,-0.0079
points,-0.003
pole,0.0612
polymorphism,-0.02
poor,-0.004
poorer,0.0093
poorly,0.0136
poorly understood,0.0119
population,0.0546
populations,0.0256
portion,0.0102
portions,0.0401
position,-0.021
positive,0.0778
positive correlation,0.0098
positive correlations,0.0259
positive negative,0.0543
positively,0.0099
positively correlated,0.0202
positron,0.0093
positron emission,0.0093
possibility,-0.0186
possible,0.0175
possibly,-0.0333
post,0.0375
post hoc,0.0173
postcentral,0.0628
postcentral gyrus,0.0708
posterior,0.0955
posterior anterior,0.0065
posterior cingulate,0.2044
posterior inferior,-0.0782
posterior insula,0.0049
posterior middle,-0.0362
posterior parietal,-0.0134
posterior superior,-0.0293
posterior temporal,-0.0284
posttraumatic,0.0263
potential,0.0825
potentially,0.0188
potentials,-0.0039
power,0.0424
powerful,0.0496
ppc,-0.0205
ppi,0.004
practice,0.0194
pre,-0.0219
pre post,-0.0048
pre sma,-0.0527
pre supplementary,-0.0381
preceded,-0.0281
preceding,0.0247
precentral,-0.0202
precentral gyrus,-0.0172
precise,0.0179
precuneus,0.1922
precuneus posterior,0.1254
predict,0.0235
predicted,0.0348
predicting,-0.0253
prediction,-0.0185
prediction error,-0.0467
predictions,-0.0206
predictive,-0.0288
predictors,0.018
predicts,-0.0173
predominantly,0.0129
preference,0.005
preferences,0.0484
preferential,-0.0701
preferentially,0.0111
prefrontal,0.0809
prefrontal cortex,0.093
prefrontal cortical,0.0008
prefrontal cortices,0.0203
prefrontal parietal,-0.0192
preliminary,0.0151
premotor,-0.0108
premotor cortex,-0.0131
preparation,-0.0006
preparatory,0.031
presence,0.0202
presentation,-0.0529
presentations,-0.0264
presented,-0.0891
presenting,-0.0182
preserved,0.0126
press,-0.0261
pressure,-0.0008
presumably,-0.0068
previous,-0.0284
previous functional,0.0011
previous reports,0.0019
previous research,-0.0107
previous shown,0.0011
previous work,0.0498
primarily,-0.0043
primary,0.033
primary auditory,-0.0075
primary motor,0.033
primary secondary,0.0102
primary sensorimotor,0.0317
primary somatosensory,0.0328
primary visual,-0.0228
primates,-0.0246
prime,-0.034
priming,-0.0459
principal,0.0539
principle,-0.0509
prior,0.0109
priori,0.0284
probabilistic,0.0065
probability,-0.008
probably,-0.0186
probe,-0.0669
problem,0.0138
problems,-0.007
procedure,0.0061
procedures,-0.0437
process,-0.0042
processed,-0.0386
processes,-0.0174
processes involved,-0.0028
processes underlying,0.0077
produce,0.0102
produced,-0.0454
producing,0.0106
production,-0.0311
profile,-0.0194
profiles,-0.0045
progression,0.0204
progressive,-0.0083
prolonged,-0.0168
prominent,-0.0412
promising,0.0456
pronounced,-0.0065
proper,-0.02
properties,0.0055
proportion,-0.0238
propose,-0.0135
proposed,0.0198
prospective,0.0701
protocol,-0.0371
provide,0.0199
provide evidence,0.0101
provide new,0.0183
provide novel,-0.0029
provided,0.0088
provides,0.0065
provides evidence,0.0075
providing,0.0373
pseudowords,-0.1085
psts,0.0007
psychiatric,0.0593
psychiatric disorders,0.0088
psychological,0.0719
psychopathology,0.0397
psychophysical,-0.0091
psychophysiological,0.0029
psychophysiological interaction,-0.0202
psychosis,0.0752
psychotic,0.0944
ptsd,0.0299
published,-0.0204
punishment,0.005
pure,-0.0442
purpose,0.0089
putamen,-0.026
putative,-0.0101
quality,0.0171
quantified,0.0457
quantify,0.0339
quantitative,-0.0177
question,-0.0149
questionnaire,0.0364
questions,0.0668
random,-0.0079
random effects,-0.0248
randomized,-0.0069
randomly,0.0355
range,-0.0023
ranging,0.0242
rapid,-0.0314
rapidly,-0.0313
rare,-0.0198
rarely,0.0492
rate,0.0174
rated,0.0367
rates,0.02
rating,0.0519
ratings,0.0224
ratio,0.0132
rationale,0.0149
reach,0.0069
reaching,0.0465
reaction,-0.0149
reaction time,-0.0227
reaction times,-0.0097
reactions,0.0191
reactivity,-0.0058
read,-0.0084
readers,-0.0771
reading,-0.1194
real,0.0188
real time,0.0281
real world,0.0356
reality,0.0321
reappraisal,0.0576
reasoning,0.0733
recall,0.0214
receive,0.0686
received,-0.0187
receiving,-0.0163
recently,0.0208
receptor,-0.0035
recognition,-0.0769
recognition memory,0.0066
recognition task,0.0096
recognize,-0.0583
recognized,0.0002
recognizing,-0.0138
recollection,0.0675
recorded,0.0198
recording,0.0133
recordings,-0.012
recovery,0.0208
recruit,-0.0181
recruited,0.0097
recruitment,-0.0311
recruits,-0.0004
reduce,0.0104
reduces,-0.0028
reducing,0.05
reduction,0.0282
reductions,-0.0401
reference,0.0648
referential,0.1424
referred,-0.0106
refers,0.0688
reflect,0.0148
reflected,0.0006
reflecting,0.0144
reflects,0.0067
regard,0.0015
regarding,0.0559
regardless,-0.0128
regional,0.0453
regional cerebral,-0.0059
regional gray,0.0163
regional homogeneity,0.0848
regular,-0.0279
regulate,0.0417
regulating,0.0224
regulation,0.0595
regulatory,0.0076
rehabilitation,0.0156
rehearsal,-0.0497
reho,0.0859
reinforcement,0.002
reinforcement learning,-0.0181
relate,0.0578
relates,-0.0249
relation,0.0029
relational,-0.0594
relations,-0.0089
relationship,0.0469
relationships,0.0707
relatively,-0.0003
relevance,0.0147
relevant,0.0026
relevant information,0.0058
reliability,0.0194
reliable,-0.0068
reliably,0.0303
reliance,-0.0716
relied,0.0017
relies,-0.0273
rely,-0.0278
remain,0.0184
remain unclear,0.0049
remained,0.0022
remaining,0.0153
remarkably,0.0028
remember,-0.0315
remembered,-0.0005
remembering,0.0716
remote,-0.0015
reorganization,0.0189
repeat,0.013
repeated,-0.0789
repeatedly,0.0053
repetition,-0.0545
repetition suppression,-0.0129
repetitive,0.0059
replicate,-0.0323
replicated,0.005
report,0.0075
reported,0.0654
reports,0.0163
represent,0.0498
representation,-0.0103
representational,-0.0109
representations,-0.053
represented,0.008
representing,0.0116
represents,0.006
require,0.0358
required,-0.052
requirements,-0.0823
requires,0.0006
requiring,-0.0117
research,0.0622
research suggests,-0.0365
researchers,-0.0247
residual,-0.0169
resolution,-0.0053
resolve,0.002
resonance,-0.0403
resonance experiment,-0.0387
resonance healthy,-0.0005
resonance images,0.0158
resonance measure,0.0084
resonance performing,-0.0145
resonance rs,0.0725
resonance scans,0.03
resources,-0.0463
respect,-0.0321
respective,0.0018
respectively,-0.0188
respond,0.0147
responded,-0.031
responding,0.0092
responds,-0.0206
response,-0.0186
response inhibition,0.0121
response selection,-0.0403
response time,-0.0206
response times,-0.0543
responses,0.006
responsible,-0.0479
responsive,-0.0286
responsiveness,0.0013
rest,0.1091
resting,0.2079
resting state,0.2041
restricted,0.0167
result,-0.0117
resulted,-0.0259
resulting,-0.0061
retention,-0.0188
retrieval,0.0132
retrieved,0.042
retrosplenial,0.0462
retrosplenial cortex,0.0524
reveal,-0.0061
revealing,0.0275
reveals,0.0095
reversal,0.0105
reverse,0.034
reversed,-0.0015
reward,0.015
reward anticipation,-0.0103
rewarding,0.0304
rewards,0.0226
rhythm,0.0069
rich,0.0239
rise,-0.0087
risk,0.0689
risk taking,0.0283
risky,0.0236
robust,0.0636
roi,0.0153
rois,0.0034
role,-0.0265
roles,0.0199
rostral,0.0453
rostral anterior,0.0226
rotation,-0.057
rs,0.1042
rsfc,0.0384
rt,0.0038
rule,-0.0319
rules,-0.015
run,-0.0541
runs,-0.0206
s1,0.0533
saccade,0.021
saccades,0.005
sad,0.0162
salience,0.071
salience network,0.0986
salient,-0.0034
sample,0.0268
samples,0.0143
sampling,0.0515
scale,0.1019
scales,0.0601
scalp,0.0263
scan,0.0432
scanned,-0.0681
scanned using,0.0306
scanner,-0.0316
scanning,-0.0063
scans,0.0299
scene,-0.033
scenes,-0.0365
schizophrenia,0.0865
schizophrenic,0.0752
sclerosis,-0.0039
score,0.0178
scores,0.0569
sd,-0.0081
se,-0.0475
search,0.0143
second,-0.0301
secondary,0.0255
secondary somatosensory,0.0245
sectional,0.0498
seed,0.1122
seeds,0.0184
seeking,0.0045
seen,-0.0336
segregated,-0.038
segregation,0.0031
select,0.008
selected,0.0276
selection,-0.0081
selective,-0.0935
selective attention,-0.0204
selectively,-0.0652
selectivity,-0.0567
self,0.1839
self referential,0.145
self report,0.0053
self reported,0.0335
semantic,-0.0676
semantic memory,0.0054
semantically,-0.0476
semantics,-0.0877
sensation,-0.0232
sensations,-0.0355
sense,0.0339
sensitive,-0.0505
sensitivity,-0.0163
sensorimotor,0.0436
sensorimotor cortex,0.0518
sensorimotor network,0.0335
sensory,0.0241
sensory information,0.0267
sensory motor,0.0402
sentence,-0.0372
sentence comprehension,-0.0314
sentences,-0.0293
separable,-0.0021
separate,-0.0398
separated,-0.0053
separately,0.0206
separation,0.0344
sequence,0.0281
sequences,-0.0505
sequential,0.0133
serial,-0.0564
series,0.009
serotonin,0.0099
serve,-0.0023
served,-0.0016
serves,0.0186
session,0.0136
sessions,0.0102
set,0.0285
sets,-0.0456
setting,-0.0157
settings,0.0268
seven,-0.0085
seventeen,0.0071
severe,-0.0099
severity,0.0528
sex,0.0494
sexual,0.0091
sham,0.0506
shape,-0.0801
shaped,-0.0065
shapes,-0.0298
share,-0.0153
shared,-0.0314
shed,0.0114
shed light,0.0052
shift,-0.0425
shifted,0.0191
shifting,-0.0135
shifts,-0.0143
short,-0.0286
short term,-0.0557
shorter,0.0208
showing,-0.0018
shown,0.0072
shows,0.002
si,0.0114
sided,-0.0243
sighted,-0.0278
sign,-0.0852
signal,0.0441
signal change,0.0044
signal task,0.0076
signaling,-0.0266
signals,0.0191
signature,0.0404
significance,0.0616
significance statement,0.0388
signs,-0.0336
sii,0.013
silent,-0.0537
similarities,0.0334
similarity,-0.0364
similarly,-0.0023
simple,-0.0124
simply,-0.0502
simulated,0.0347
simulation,0.0288
simultaneous,-0.0294
simultaneous eeg,0.0268
simultaneously,-0.0265
single,-0.0454
single subject,0.0109
single trial,0.0267
site,-0.0461
sites,-0.0277
situation,0.0322
situations,0.0462
sixteen,-0.0276
size,-0.0247
sizes,-0.0008
skill,-0.0158
skills,-0.0314
skin,0.0178
skin conductance,0.0203
sleep,0.013
slow,0.0646
slower,-0.0098
sma,-0.0231
small,-0.0062
smaller,-0.0105
smokers,0.0586
smoking,0.061
sn,0.0893
social,0.1326
social cognition,0.1233
social cognitive,0.0955
social interaction,0.0824
social interactions,0.0671
socially,0.0308
software,0.0166
solving,0.0414
somatosensory,0.0493
somatosensory cortex,0.0472
somatosensory cortices,0.0339
sought,0.0661
sound,-0.0331
sounds,-0.0074
source,0.0398
sources,-0.0013
space,-0.0361
span,-0.028
sparse,0.0731
spatial,-0.0085
spatial attention,-0.0076
spatial information,-0.0183
spatial temporal,0.0269
spatially,0.0355
spatiotemporal,0.0344
speaker,0.0185
speakers,-0.0515
speaking,-0.0652
special,-0.0308
specialization,-0.0712
specialized,-0.0632
species,-0.0287
specifically,0.0103
specificity,0.0026
specified,-0.0213
spectral,0.0411
spectrum,0.064
spectrum disorder,0.0551
spectrum disorders,0.035
speech,-0.0162
speech perception,-0.0132
speech production,0.0003
speed,0.0088
spin,0.0164
spin labeling,0.0257
spinal,-0.0087
spl,-0.0144
spoken,-0.0574
spontaneous,0.1358
stable,0.0742
stage,0.0044
stages,0.0174
standard,0.0206
standardized,0.0168
state,0.2128
state connectivity,0.072
state functional,0.1519
state networks,0.154
statement,0.0499
states,0.1754
static,-0.0431
statistics,-0.0182
status,0.026
step,-0.0258
stg,-0.0222
stimulated,-0.0303
stimulation,-0.0062
stimulation tms,-0.0131
stimuli,-0.088
stimuli presented,-0.0252
stimulus,-0.0696
stimulus driven,0.0116
stimulus response,-0.0466
stop,0.0078
stop signal,-0.0001
storage,-0.0701
stored,-0.0324
strategic,-0.0177
strategies,-0.0216
strategy,0.0437
stream,-0.0673
streams,-0.0308
strength,0.0418
stress,0.0376
stress disorder,0.0233
striatal,-0.0171
striatum,0.0039
striking,0.017
stroke,0.0009
strong,-0.0242
strongest,-0.0413
strongly,-0.0131
stroop,-0.0479
stroop task,-0.0464
structural,-0.0206
structural functional,-0.0055
structural magnetic,-0.0126
structure,-0.0341
structure function,0.022
structures,0.0156
structures involved,-0.0166
sts,-0.0223
students,0.0194
studied,0.0025
studying,0.0829
sub,0.0183
subcortical,-0.0005
subcortical structures,-0.0227
subgenual,-0.0049
subject,-0.0026
subjective,0.0445
subregions,0.0075
subsequent,-0.0243
subsequent memory,-0.0415
subsequently,0.0103
subserve,0.0335
subserved,0.0347
subserving,-0.0034
subset,-0.008
substance,0.0177
substantia,-0.0003
substantial,0.026
substantially,-0.0116
substrate,-0.0381
substrates,-0.0095
subtle,0.0149
subtraction,-0.0765
success,0.0251
successful,-0.0086
successfully,-0.0319
successive,-0.0111
suffering,-0.0334
sufficient,-0.0033
suggest,0.0023
suggest functional,0.009
suggested,0.0305
suggesting,-0.0189
suggests,0.0061
sulci,0.0075
sulcus,-0.0483
sulcus ips,-0.0634
sulcus sts,-0.028
sum,-0.0202
summary,0.0204
superior,-0.0279
superior frontal,0.0907
superior inferior,-0.0109
superior middle,0.0396
superior parietal,-0.0313
superior temporal,-0.0297
supplementary,-0.0012
supplementary motor,-0.0046
supported,-0.0186
supporting,0.0117
supports,0.0344
suppressed,0.0346
suppression,0.0391
supramarginal,0.01
supramarginal gyrus,0.0151
surface,-0.0
surprisingly,-0.0075
surrounding,0.0224
susceptibility,-0.0063
sustained,-0.0369
sustained attention,-0.0193
switch,-0.0035
switching,-0.0292
symbolic,-0.0697
symptom,0.0075
symptom severity,0.0076
symptoms,0.0383
synchronization,0.0167
syndrome,0.0051
syntactic,-0.0735
systematic,-0.0276
systematically,0.0011
systems,-0.0129
systems involved,-0.0388
t1,-0.0213
t1 weighted,-0.0228
tactile,0.0005
taken,0.0013
taken suggest,-0.0191
taking,0.0464
tapping,-0.0006
target,0.0068
target detection,-0.0076
