Feature,../../data/brains/braindiff_a2_mni.nii.gz
indirect,0.0198
individual,0.0058
individual variability,0.0095
individually,-0.0053
individuals,0.0445
induce,-0.0221
induced,-0.0069
induces,-0.0193
inducing,-0.0117
induction,-0.0019
infer,0.0426
inference,0.0318
inferences,0.0494
inferior,-0.0316
inferior frontal,-0.0233
inferior middle,-0.0033
inferior occipital,-0.0241
inferior parietal,0.0542
inferior prefrontal,-0.0093
inferior superior,-0.0311
inferior temporal,-0.0818
influence,0.0077
influenced,0.0188
influences,-0.0266
inform,0.0305
information,0.0089
inhibit,0.0799
inhibition,0.0984
inhibitory,0.0672
inhibitory control,0.0886
initial,-0.0306
initially,0.0144
initiation,0.0206
injury,0.0084
input,-0.0442
inputs,-0.0493
insight,0.0262
insights,0.0172
instead,0.0382
instructed,0.0277
instruction,0.0144
instructions,0.0423
insula,-0.0163
insula anterior,-0.0223
insula inferior,0.0228
insular,-0.0528
insular cortex,-0.0458
intact,-0.0246
integrate,0.0172
integrated,0.0228
integrating,-0.0077
integration,-0.0142
integrative,0.025
integrity,-0.0443
intelligence,0.0237
intense,-0.0244
intensity,-0.049
intention,0.096
intentional,0.0502
intentions,0.1101
inter,0.051
inter individual,0.0143
interact,0.0069
interacting,0.017
interaction,0.0287
interactions,0.0631
interactive,0.0414
interacts,-0.0229
interestingly,-0.023
interference,-0.0022
interhemispheric,-0.0214
intermediate,0.0131
internal,0.0339
internally,0.0499
interoceptive,-0.0101
interpersonal,0.0264
interplay,0.0058
interpret,0.0066
interpretation,-0.0032
interpreted,-0.0278
interval,-0.0339
intervals,0.0028
intervention,-0.0246
interventions,-0.0078
intra,0.0732
intraparietal,-0.0057
intraparietal sulcus,-0.0085
intrinsic,0.0708
intrinsic functional,0.0582
introduced,-0.006
introduction,-0.0069
invariant,-0.0003
invasive,-0.0038
inventory,0.0111
inverse,-0.0097
inversely,0.0104
investigates,-0.0078
investigating,0.0299
investigation,0.0072
investigations,-0.0098
involve,0.039
involved,-0.0303
involved cognitive,0.0161
involvement,-0.0178
involves,-0.0218
involving,0.0054
ipl,0.0439
ips,-0.004
ipsilateral,-0.0448
iq,0.0024
irrelevant,0.0005
irrespective,-0.0067
isolate,0.0139
isolated,-0.0033
issue,0.0178
issues,0.0021
item,0.0128
items,-0.0069
iv,-0.0436
joint,0.0286
judge,0.0175
judged,0.0355
judgment,0.0211
judgment task,0.001
judgments,0.033
junction,0.1338
junction tpj,0.13
just,0.0545
key,0.0036
key role,0.0303
kinds,-0.0255
know,0.016
knowledge,0.0218
known,0.0002
known involved,-0.0214
labeling,0.0168
laboratory,0.0256
lack,-0.0071
lacking,-0.0191
language,-0.0358
language comprehension,-0.0077
language network,-0.0109
languages,-0.0517
large,0.0634
large sample,0.0411
large scale,0.0519
largely,0.0219
largely unknown,-0.0414
larger,-0.0097
late,0.0151
latencies,-0.0364
latency,-0.0177
later,-0.0418
lateral,0.0223
lateral frontal,0.0393
lateral medial,0.0335
lateral occipital,-0.0526
lateral orbitofrontal,0.0115
lateral parietal,0.0814
lateral prefrontal,0.0404
lateral temporal,-0.0019
laterality,-0.045
lateralization,-0.0495
lateralized,-0.0248
lead,-0.0105
leading,0.0069
leads,-0.0202
learn,-0.0086
learned,0.0168
learning,-0.0545
learning task,-0.0186
led,0.0206
length,-0.0064
lesion,-0.08
lesions,-0.0522
lesser,-0.0068
letter,-0.0211
letters,-0.0419
level,-0.033
level bold,-0.0195
level signal,-0.0422
levels,0.0389
lexical,-0.0186
lexical decision,-0.0291
life,0.0382
light,-0.0247
like,0.0118
likelihood,-0.0275
likely,0.0061
limb,-0.0131
limbic,-0.0256
limitations,-0.0036
limited,-0.013
line,0.0003
linear,0.0499
linear model,0.0283
linearly,0.0181
lingual,0.0107
lingual gyrus,0.0291
linguistic,-0.0178
link,-0.0019
linked,0.0079
linking,-0.045
links,0.0018
list,-0.0047
listened,0.0333
listening,0.0056
literature,0.0299
little,0.0144
little known,0.0107
load,-0.0109
lobe,-0.052
lobe mtl,-0.0619
lobes,-0.0502
lobule,-0.0058
lobule ipl,0.0211
lobules,-0.0372
local,0.0179
localization,-0.0223
localize,-0.0087
localized,-0.0142
located,-0.0054
location,0.0041
locations,-0.0051
locus,-0.0263
long,-0.0171
long term,-0.0131
longer,0.0129
longitudinal,-0.0881
loop,-0.0134
loss,-0.0163
losses,-0.0069
low,0.0391
low frequency,0.024
low high,-0.0091
low level,0.0101
lower,0.0068
m1,0.0108
machine,0.0088
magnetic,-0.0351
magnetic resonance,-0.0346
magnetic stimulation,-0.0073
magnetoencephalography,0.0178
magnitude,-0.0069
main,-0.0243
main effect,-0.0263
mainly,0.0206
maintain,0.0263
maintained,0.0408
maintaining,0.0503
maintenance,0.0393
major,-0.0118
major depression,0.0113
major depressive,-0.0001
majority,-0.0246
make,0.0371
making,0.0751
male,-0.0178
male female,0.0021
males,0.0114
manifest,0.0434
manipulated,-0.0334
manipulating,-0.0178
manipulation,-0.0078
manipulations,-0.0176
manner,-0.003
manual,-0.012
map,-0.0088
mapp,-0.0009
mapped,-0.0083
mapping,-0.0291
maps,-0.032
marked,-0.0352
marker,0.0169
markers,0.0097
masked,-0.0211
mass,-0.0194
match,0.02
matching,-0.0507
matching task,-0.0428
material,-0.0248
materials,-0.03
matrix,-0.0356
matter,-0.0501
matter density,-0.0335
matter gm,-0.0372
matter volume,-0.0219
matter volumes,-0.0177
maturation,0.0186
maximal,-0.0106
maximum,-0.0106
mci,-0.0502
mdd,-0.0139
mean,0.0003
mean age,-0.0031
meaning,-0.0083
meaningful,0.0112
means,0.0249
measure,0.0341
measurement,0.0009
measurements,-0.0161
measures,-0.0157
measuring,0.0373
mechanism,0.0196
mechanisms,-0.0134
mechanisms involved,-0.0097
mechanisms underlying,0.0158
medial,0.0725
medial frontal,0.0607
medial lateral,0.0257
medial orbitofrontal,0.0041
medial pfc,0.0273
medial prefrontal,0.1028
medial superior,0.0515
medial temporal,-0.0535
median,-0.0233
mediate,0.0204
mediated,0.0069
mediates,-0.004
mediating,0.0043
medication,0.0183
meg,0.0115
memories,0.0053
memory,-0.0061
memory encoding,-0.057
memory load,0.0361
memory performance,-0.0127
memory processes,-0.0409
memory retrieval,0.0491
memory task,-0.0038
memory tasks,-0.0197
memory test,0.0065
memory wm,0.0008
men,-0.0066
men women,0.0042
mental,0.0687
mental imagery,-0.0072
mental state,0.0578
mental states,0.0964
mentalizing,0.0903
mesial,-0.003
mesolimbic,-0.0315
met,-0.0109
metabolic,-0.009
metabolism,0.0055
method,0.0024
methodological,-0.0124
methodology,0.049
methodology principal,0.0571
methods,-0.0141
methods functional,0.0057
mfg,-0.0015
mg,-0.0355
mid,-0.0419
midbrain,-0.0362
middle,0.02
middle cingulate,-0.0048
middle frontal,0.0559
middle inferior,-0.0177
middle occipital,-0.0147
middle superior,0.026
middle temporal,-0.0004
midline,0.0767
mild,-0.0126
mild cognitive,-0.0105
min,0.0296
mind,0.1005
mind tom,0.1069
minimal,0.0307
mirror,-0.0227
mirror neuron,-0.0219
mixed,0.055
mm,-0.0264
mnemonic,0.0154
modal,-0.0192
modalities,-0.0037
modality,-0.0287
mode,0.122
mode network,0.1123
model,-0.0072
modeling,-0.0411
models,0.0084
moderate,0.028
modified,0.0224
modulate,-0.0089
modulated,-0.0096
modulates,0.008
modulating,0.0215
modulation,-0.0245
modulations,0.0076
modulatory,-0.0435
monetary,0.0042
monetary incentive,-0.0238
monetary reward,-0.0057
money,0.0037
monitor,0.0112
monitored,-0.0055
monitoring,0.11
monkey,-0.0523
monkeys,-0.0293
months,-0.0037
mood,0.0064
moral,0.084
morphological,-0.0175
morphology,-0.0428
morphometry,-0.0518
morphometry vbm,-0.0351
motion,-0.0061
motivation,0.0051
motivational,0.0184
motor,-0.0036
motor control,-0.009
motor cortex,-0.0162
motor function,-0.0352
motor imagery,-0.0066
motor network,-0.0112
motor performance,-0.0226
motor pre,0.0144
motor premotor,-0.0307
motor response,0.0207
motor responses,-0.0177
motor sma,-0.0004
motor task,-0.0001
movement,-0.0051
movements,-0.0109
moving,-0.0075
mpfc,0.0838
mr,-0.051
ms,-0.0118
mt,-0.0217
mtg,0.0013
mtl,-0.0727
multi,-0.0031
multimodal,0.055
multiple,0.0128
multiple comparisons,-0.0011
multiple sclerosis,-0.0065
multisensory,-0.031
multivariate,0.0342
multivariate pattern,-0.0194
muscle,-0.0587
music,-0.0076
musical,-0.004
musicians,-0.0146
naive,-0.0169
names,-0.0267
naming,-0.0553
native,-0.0553
natural,0.0172
naturalistic,0.0058
nature,0.0262
navigation,-0.0008
near,0.0152
necessary,-0.0015
need,0.0575
needed,-0.0051
needs,-0.0398
negative,-0.0029
negative affect,0.0262
negative correlation,0.0017
negative correlations,-0.0001
negative emotional,-0.0182
negative emotions,0.0146
negative feedback,0.0172
negative neutral,-0.016
negative positive,-0.0042
negatively,0.0178
negatively correlated,0.0123
negativity,0.0187
neocortical,-0.0117
nerve,-0.0503
nervous,-0.0031
network,0.1173
network connectivity,0.105
network dmn,0.1107
network involved,0.0075
networks,0.1277
networks involved,0.0163
neuro,0.0398
neuroanatomical,-0.0195
neuroanatomy,0.0048
neurobiological,0.0428
neurobiology,0.0247
neurocognitive,0.0185
neurodegenerative,-0.0561
neurodevelopmental,0.041
neurofunctional,-0.021
neurological,0.0015
neuron,-0.0212
neuronal,-0.0095
neurons,-0.0429
neurophysiological,0.0196
neuropsychiatric,-0.0018
neuropsychological,-0.0472
neuroscience,0.0286
neutral,-0.0334
neutral faces,-0.0642
neutral pictures,-0.003
neutral stimuli,0.0066
new,0.0128
new insights,0.0411
newly,-0.0011
nineteen,-0.0042
nociceptive,-0.0439
node,0.0337
nodes,0.0213
nogo,0.0881
noise,-0.0397
non,0.009
normal,-0.0477
normal controls,0.0087
normalized,0.005
normally,-0.0427
notably,0.0339
noted,0.0158
notion,-0.002
nouns,-0.0296
novel,0.0099
novelty,-0.0138
noxious,-0.0255
nuclei,-0.0408
nucleus,-0.0349
nucleus accumbens,-0.0211
number,0.0055
numbers,-0.0122
numerical,-0.0372
numerous,-0.0021
object,-0.0426
object recognition,-0.0352
objective,-0.0028
objectives,0.0037
objects,-0.0659
observation,0.0007
observations,-0.0253
observer,-0.0048
observers,0.0282
observing,0.0314
obsessive,0.0188
obsessive compulsive,0.02
obtain,0.0212
obtained,0.0051
occipital,-0.0436
occipital cortex,-0.0408
occipital gyrus,-0.0091
occipital lobe,0.0157
occipital parietal,-0.0184
occipital temporal,-0.0194
occipito,-0.0607
occipito temporal,-0.0595
occipitotemporal,-0.0493
occipitotemporal cortex,-0.0322
occur,-0.0117
occurred,0.0172
occurrence,0.0295
occurring,0.003
occurs,-0.0007
ocd,0.0209
oddball,0.0262
ofc,-0.0055
offer,-0.0306
offers,0.0179
old,0.0496
older,0.0288
older adults,0.0239
olfactory,-0.0294
ones,0.0216
ongoing,0.018
online,0.0415
onset,-0.0018
open,0.02
operation,-0.019
operations,-0.0038
opercular,-0.0052
opercularis,-0.0357
operculum,-0.0349
opportunity,0.0022
opposed,0.0305
opposite,0.0159
optimal,0.0208
optimized,-0.0544
options,0.0256
oral,-0.0603
orbital,-0.0172
orbitofrontal,-0.0023
orbitofrontal cortex,-0.0028
order,0.0013
organization,0.0068
organized,0.0113
orientation,-0.0521
oriented,0.0032
orienting,0.0769
origin,0.0418
original,-0.0009
orthographic,-0.068
oscillations,0.0114
outcome,0.0147
outcomes,0.0562
output,-0.0316
outside,-0.0034
outside scanner,-0.026
overall,0.0416
overcome,0.0049
overlap,0.0194
overlapped,0.0045
overlapping,0.0098
overt,0.003
oxygen,-0.0078
oxygen level,-0.0099
oxygenation,-0.0065
oxygenation level,-0.0044
paced,-0.0083
pain,-0.0331
painful,-0.0359
pair,-0.0511
paired,-0.0055
pairs,-0.0332
pallidus,-0.0123
paper,0.0187
paradigm,0.0488
paradigms,0.049
parahippocampal,-0.0368
parahippocampal cortex,-0.0435
parahippocampal gyrus,-0.0189
parahippocampus,-0.0243
paralimbic,-0.0124
parallel,0.0309
parameter,-0.0295
parameters,-0.0042
parametric,-0.0086
parametric mapping,-0.0192
parametrically,0.0198
parietal,0.0685
parietal cortex,0.0387
parietal cortices,0.029
parietal frontal,0.0276
parietal junction,0.1116
parietal lobe,0.0429
parietal lobes,0.0062
parietal lobule,0.0226
parietal lobules,0.0161
parietal network,0.0395
parietal occipital,0.0112
parietal temporal,0.043
parieto,-0.0166
parieto occipital,-0.0036
parkinson,-0.019
parkinson disease,-0.0201
pars,-0.037
pars opercularis,-0.0355
partial,0.0031
partially,-0.0057
participant,0.0393
participate,0.0378
participated,-0.0412
particular,0.0156
particularly,-0.0147
partly,0.0111
partner,0.0186
parts,-0.0245
passive,-0.0202
passive viewing,-0.0144
passively,0.0027
past,0.0232
pathological,0.0103
pathology,-0.0404
pathophysiological,-0.0095
pathophysiology,-0.0226
pathway,-0.0377
pathways,-0.0664
patient,-0.0606
patient group,-0.031
patient groups,-0.0103
pattern,-0.0046
patterns,0.0218
pcc,0.0911
pd,-0.0176
peak,-0.0295
people,0.0602
perceive,-0.044
perceived,-0.0156
perceiving,0.0131
percept,-0.0305
perception,-0.0567
perceptual,-0.0504
perform,0.0118
performance,0.0152
performance task,0.0099
performances,-0.0209
performing,-0.018
perfusion,0.0166
periaqueductal,-0.0317
period,-0.0247
periodicals,0.0061
periods,0.0451
peripheral,-0.0012
persistent,0.0047
person,0.0594
personal,0.0303
personality,0.0205
personality traits,-0.0043
persons,0.015
perspective,0.0512
pet,-0.0437
pfc,0.041
pharmacological,-0.0259
phase,-0.0133
phases,-0.024
phenomena,0.0356
phenomenon,-0.0077
phenotype,0.0131
phonological,-0.0652
photographs,-0.019
physical,-0.0038
physiological,-0.0108
picture,-0.0418
pictures,-0.0084
pitch,-0.0004
place,-0.0369
placebo,-0.0198
placebo controlled,0.0059
planning,0.0215
planum,0.0019
planum temporale,0.0009
plasticity,-0.0557
play,-0.021
play important,-0.0564
play role,-0.0041
played,0.0392
playing,-0.0081
plays,-0.0319
plays important,-0.0118
plays role,-0.0092
pleasant,-0.0581
point,0.0038
pointing,0.0311
points,0.0021
pole,-0.0069
polymorphism,-0.0207
poor,0.0078
poorer,0.009
poorly,0.0154
poorly understood,0.0207
population,0.03
populations,0.0021
portion,0.0194
portions,0.0579
position,-0.0094
positive,0.0001
positive correlation,-0.019
positive correlations,-0.0121
positive negative,-0.0165
positively,-0.0079
positively correlated,0.0211
positron,-0.0135
positron emission,-0.0133
possibility,-0.0377
possible,-0.0085
possibly,0.0094
post,0.0002
post hoc,-0.0053
postcentral,0.0224
postcentral gyrus,0.0226
posterior,0.0742
posterior anterior,0.0033
posterior cingulate,0.1063
posterior inferior,-0.0268
posterior insula,-0.0443
posterior middle,0.0035
posterior parietal,0.0347
posterior superior,0.0205
posterior temporal,0.0095
posttraumatic,0.008
potential,0.0387
potentially,0.0148
potentials,-0.0053
power,0.0083
powerful,0.0388
ppc,0.0244
ppi,0.0118
practice,-0.0082
pre,0.0114
pre post,-0.0211
pre sma,0.0124
pre supplementary,0.017
preceded,-0.0082
preceding,0.0282
precentral,-0.0148
precentral gyrus,-0.027
precise,-0.009
precuneus,0.1579
precuneus posterior,0.0965
predict,-0.0066
predicted,-0.0053
predicting,-0.006
prediction,-0.0034
prediction error,-0.0177
predictions,0.0184
predictive,-0.023
predictors,-0.0039
predicts,-0.0219
predominantly,0.0317
preference,-0.0107
preferences,0.0357
preferential,-0.0487
preferentially,-0.0054
prefrontal,0.1026
prefrontal cortex,0.1
prefrontal cortical,-0.0109
prefrontal cortices,0.0656
prefrontal parietal,0.0358
preliminary,0.002
premotor,-0.0053
premotor cortex,0.0002
preparation,0.0276
preparatory,0.0593
presence,-0.0153
presentation,-0.0057
presentations,-0.0114
presented,-0.0233
presenting,-0.0114
preserved,0.0266
press,-0.0166
pressure,-0.012
presumably,0.0112
previous,0.0069
previous functional,0.0033
previous reports,-0.0195
previous research,0.0094
previous shown,-0.0089
previous work,0.0519
primarily,0.0031
primary,-0.0186
primary auditory,-0.0115
primary motor,-0.0086
primary secondary,-0.0339
primary sensorimotor,-0.003
primary somatosensory,-0.0071
primary visual,-0.025
primates,-0.049
prime,-0.0459
priming,-0.0252
principal,0.0353
principle,-0.0281
prior,0.0013
priori,0.0368
probabilistic,0.0012
probability,0.0003
probably,-0.0363
probe,-0.0237
problem,-0.0011
problems,-0.0011
procedure,-0.0269
procedures,-0.0033
process,0.0278
processed,-0.0348
processes,0.0387
processes involved,0.0156
processes underlying,0.0163
produce,0.0012
produced,-0.0412
producing,-0.0092
production,-0.0397
profile,-0.01
profiles,0.0079
progression,-0.0181
progressive,-0.0287
prolonged,-0.0086
prominent,-0.0417
promising,0.0446
pronounced,-0.024
proper,-0.0478
properties,-0.0115
proportion,-0.0034
propose,0.017
proposed,0.0082
prospective,0.0776
protocol,-0.0447
provide,0.0139
provide evidence,-0.0031
provide new,0.0224
provide novel,0.011
provided,-0.0103
provides,-0.0055
provides evidence,-0.0106
providing,0.0227
pseudowords,-0.0852
psts,0.031
psychiatric,0.0323
psychiatric disorders,-0.0006
psychological,0.0269
psychopathology,0.0221
psychophysical,-0.0332
psychophysiological,-0.0119
psychophysiological interaction,-0.0105
psychosis,0.0347
psychotic,0.0484
ptsd,0.0138
published,-0.0084
punishment,0.0112
pure,-0.014
purpose,-0.0015
putamen,-0.0626
putative,0.0089
quality,-0.0241
quantified,0.0187
quantify,0.0002
quantitative,-0.0288
question,-0.0033
questionnaire,0.0131
questions,0.0437
random,0.0006
random effects,0.0062
randomized,-0.0235
randomly,0.0266
range,-0.009
ranging,0.0031
rapid,-0.0146
rapidly,-0.0133
rare,0.0067
rarely,0.0311
rate,-0.0254
rated,-0.0077
rates,0.0083
rating,0.0015
ratings,-0.0204
ratio,-0.0127
rationale,-0.019
reach,-0.0055
reaching,0.0337
reaction,0.0037
reaction time,0.0011
reaction times,0.0148
reactions,-0.0004
reactivity,-0.0183
read,-0.0008
readers,-0.0448
reading,-0.0626
real,0.0286
real time,0.0053
real world,0.0291
reality,0.0623
reappraisal,0.0618
reasoning,0.0735
recall,0.0306
receive,0.0289
received,-0.0038
receiving,-0.0056
recently,-0.0062
receptor,-0.014
recognition,-0.0288
recognition memory,-0.0027
recognition task,0.0171
recognize,-0.0417
recognized,-0.0089
recognizing,0.0065
recollection,0.0169
recorded,0.0039
recording,0.0139
recordings,-0.0111
recovery,-0.0086
recruit,0.0127
recruited,0.0701
recruitment,0.003
recruits,0.0074
reduce,-0.0207
reduces,0.022
reducing,0.0301
reduction,-0.0044
reductions,-0.0334
reference,0.0562
referential,0.078
referred,-0.0003
refers,0.0367
reflect,0.0195
reflected,0.001
reflecting,0.0278
reflects,0.0381
regard,-0.0002
regarding,0.0603
regardless,-0.0161
regional,0.0171
regional cerebral,-0.0193
regional gray,-0.0218
regional homogeneity,0.0453
regular,-0.037
regulate,0.0353
regulating,0.0252
regulation,0.0363
regulatory,0.0043
rehabilitation,-0.0082
rehearsal,-0.0288
reho,0.0478
reinforcement,0.0015
reinforcement learning,-0.0048
relate,0.0454
relates,0.0016
relation,-0.0106
relational,0.0032
relations,-0.0034
relationship,0.0042
relationships,0.0386
relatively,0.0135
relevance,-0.0163
relevant,0.0143
relevant information,0.034
reliability,-0.0058
reliable,-0.0197
reliably,0.0202
reliance,-0.0428
relied,0.0172
relies,0.0046
rely,0.0076
remain,0.001
remain unclear,0.0229
remained,0.0187
remaining,0.0072
remarkably,0.0032
remember,-0.0213
remembered,-0.0169
remembering,0.0272
remote,-0.014
reorganization,0.0069
repeat,0.0241
repeated,-0.0668
repeatedly,0.0172
repetition,-0.0321
repetition suppression,0.0033
repetitive,0.0233
replicate,-0.0263
replicated,0.0082
report,0.0133
reported,0.0213
reports,-0.013
represent,0.0079
representation,-0.0143
representational,-0.0043
representations,-0.028
represented,0.0032
representing,-0.0091
represents,0.0223
require,0.0344
required,0.0328
requirements,-0.0208
requires,0.0355
requiring,0.0309
research,0.0274
research suggests,-0.0376
researchers,-0.022
residual,-0.0298
resolution,-0.0226
resolve,0.0145
resonance,-0.0328
resonance experiment,-0.0216
resonance healthy,-0.0014
resonance images,0.0188
resonance measure,-0.0013
resonance performing,0.0139
resonance rs,0.0302
resonance scans,0.0058
resources,0.0105
respect,-0.0072
respective,0.012
respectively,0.0066
respond,0.0532
responded,-0.0024
responding,0.0188
responds,-0.0126
response,0.0157
response inhibition,0.0885
response selection,0.0109
response time,0.0004
response times,-0.0029
responses,-0.0045
responsible,-0.029
responsive,-0.0244
responsiveness,-0.0027
rest,0.0214
resting,0.0865
resting state,0.084
restricted,-0.0131
result,0.0077
resulted,-0.0232
resulting,-0.0178
retention,-0.0157
retrieval,0.0122
retrieved,0.031
retrosplenial,0.0217
retrosplenial cortex,0.0141
reveal,-0.0144
revealing,0.0007
reveals,0.0017
reversal,0.016
reverse,0.0148
reversed,-0.0089
reward,0.0037
reward anticipation,-0.0064
rewarding,0.0125
rewards,0.0176
rhythm,-0.0215
rich,-0.0145
rise,-0.0055
risk,0.0328
risk taking,0.0303
risky,0.0204
robust,0.0608
roi,-0.0105
rois,-0.0208
role,-0.0521
roles,0.0102
rostral,0.0575
rostral anterior,0.0297
rotation,-0.0309
rs,0.047
rsfc,-0.0013
rt,0.0307
rule,0.0262
rules,0.0404
run,-0.0423
runs,-0.0132
s1,0.0112
saccade,0.0209
saccades,0.0142
sad,0.0005
salience,0.0436
salience network,0.0627
salient,0.0081
sample,-0.004
samples,0.0131
sampling,-0.0018
scale,0.0402
scales,0.0115
scalp,0.0225
scan,-0.0051
scanned,-0.0691
scanned using,0.0018
scanner,-0.0281
scanning,-0.0176
scans,-0.0205
scene,-0.0445
scenes,-0.03
schizophrenia,0.0607
schizophrenic,0.056
sclerosis,-0.0208
score,-0.0189
scores,0.0155
sd,-0.0484
se,-0.0067
search,-0.0038
second,-0.0194
secondary,-0.0259
secondary somatosensory,-0.0228
sectional,0.0429
seed,0.0387
seeds,-0.0366
seeking,-0.0045
seen,-0.0343
segregated,-0.0079
segregation,-0.0018
select,0.0368
selected,0.0301
selection,0.0496
selective,-0.0635
selective attention,-0.0017
selectively,-0.0112
selectivity,-0.0329
self,0.0919
self referential,0.0783
self report,0.0015
self reported,-0.0113
semantic,-0.0443
semantic memory,-0.0259
semantically,-0.0133
semantics,-0.0505
sensation,-0.0312
sensations,-0.0445
sense,0.0342
sensitive,-0.0368
sensitivity,-0.0158
sensorimotor,-0.0055
sensorimotor cortex,0.0078
sensorimotor network,0.0039
sensory,0.0007
sensory information,0.0128
sensory motor,0.0238
sentence,-0.0073
sentence comprehension,0.011
sentences,-0.0059
separable,0.0338
separate,0.0052
separated,0.0245
separately,0.0027
separation,0.0278
sequence,0.014
sequences,0.0007
sequential,0.0121
serial,-0.0372
series,-0.0062
serotonin,-0.0035
serve,0.0102
served,-0.011
serves,0.0359
session,-0.0277
sessions,-0.0042
set,0.0586
sets,-0.0262
setting,0.0095
settings,0.0223
seven,0.0041
seventeen,-0.0105
severe,-0.0028
severity,0.0199
sex,0.0038
sexual,0.001
sham,0.0425
shape,-0.0403
shaped,-0.0123
shapes,-0.0104
share,0.0147
shared,0.0052
shed,-0.0088
shed light,-0.0158
shift,-0.0097
shifted,0.0273
shifting,0.029
shifts,0.031
short,-0.0126
short term,-0.034
shorter,0.0204
showing,0.0132
shown,0.0086
shows,-0.0468
si,-0.0152
sided,-0.0076
sighted,-0.0171
sign,-0.0414
signal,0.0333
signal change,-0.0232
signal task,0.0646
signaling,-0.0102
signals,0.0058
signature,0.0218
significance,0.0433
significance statement,0.0374
signs,-0.0166
sii,-0.0287
silent,-0.0549
similarities,0.0164
similarity,-0.0104
similarly,0.0276
simple,0.0044
simply,-0.0084
simulated,0.0188
simulation,0.0018
simultaneous,-0.0273
simultaneous eeg,0.0191
simultaneously,-0.0399
single,-0.0209
single subject,0.008
single trial,0.0487
site,-0.0466
sites,-0.0291
situation,0.0616
situations,0.0708
sixteen,-0.0151
size,-0.0225
sizes,0.0106
skill,0.0158
skills,-0.0499
skin,0.0015
skin conductance,-0.0007
sleep,-0.0099
slow,0.0223
slower,0.0075
sma,0.0053
small,-0.0251
smaller,-0.0331
smokers,0.0544
smoking,0.0396
sn,0.0483
social,0.0895
social cognition,0.0838
social cognitive,0.0469
social interaction,0.0677
social interactions,0.0387
socially,0.004
software,-0.0024
solving,0.027
somatosensory,-0.0112
somatosensory cortex,-0.0145
somatosensory cortices,-0.0051
sought,0.0469
sound,0.0004
sounds,0.0156
source,0.0231
sources,0.0091
space,-0.0334
span,-0.002
sparse,0.0263
spatial,0.0198
spatial attention,0.0345
spatial information,0.0126
spatial temporal,0.0321
spatially,0.0289
spatiotemporal,-0.0039
speaker,0.0213
speakers,-0.0251
speaking,-0.0446
special,-0.0212
specialization,-0.039
specialized,-0.0399
species,-0.024
specifically,0.0079
specificity,-0.0122
specified,-0.0131
spectral,0.0377
spectrum,0.0337
spectrum disorder,0.023
spectrum disorders,0.0206
speech,-0.0117
speech perception,0.0044
speech production,-0.0347
speed,-0.0123
spin,0.0127
spin labeling,0.0285
spinal,-0.0291
spl,-0.0149
spoken,-0.0096
spontaneous,0.052
stable,0.0434
stage,0.029
stages,0.0229
standard,0.009
standardized,-0.0038
state,0.09
state connectivity,0.0322
state functional,0.0558
state networks,0.0943
statement,0.0454
states,0.0822
static,-0.0359
statistics,-0.0462
status,-0.0052
step,-0.0229
stg,-0.0034
stimulated,-0.031
stimulation,-0.0402
stimulation tms,-0.0216
stimuli,-0.0526
stimuli presented,0.0207
stimulus,-0.0101
stimulus driven,0.0803
stimulus response,0.0129
stop,0.0683
stop signal,0.0656
storage,-0.016
stored,-0.0251
strategic,0.0141
strategies,-0.0084
strategy,0.0465
stream,-0.0319
streams,0.0089
strength,0.0037
stress,-0.0215
stress disorder,0.0058
striatal,-0.0207
striatum,-0.0134
striking,0.0092
stroke,-0.0357
strong,-0.0074
strongest,-0.0457
strongly,0.0026
stroop,0.0242
stroop task,0.0159
structural,-0.0552
structural functional,-0.0178
structural magnetic,-0.0435
structure,-0.0499
structure function,-0.0082
structures,-0.0251
structures involved,-0.0161
sts,0.0071
students,-0.0035
studied,-0.0066
studying,0.0362
sub,0.0285
subcortical,-0.0214
subcortical structures,-0.0121
subgenual,-0.0323
subject,-0.0215
subjective,-0.0045
subregions,-0.0192
subsequent,-0.0314
subsequent memory,-0.0275
subsequently,0.0029
subserve,0.0114
subserved,0.0324
subserving,0.0477
subset,0.0084
substance,0.0167
substantia,-0.0253
substantial,0.0117
substantially,-0.0219
substrate,-0.0038
substrates,0.0066
subtle,0.015
subtraction,-0.0359
success,0.0429
successful,0.0135
successfully,-0.0225
successive,-0.0069
suffering,-0.0335
sufficient,-0.0144
suggest,0.02
suggest functional,0.0028
suggested,0.0173
suggesting,0.0253
suggests,-0.0187
sulci,0.0251
sulcus,0.0212
sulcus ips,-0.0066
sulcus sts,-0.0041
sum,-0.0156
summary,0.0182
superior,0.0223
superior frontal,0.1127
superior inferior,-0.0005
superior middle,0.0435
superior parietal,0.0036
superior temporal,0.0041
supplementary,0.0052
supplementary motor,0.0029
supported,-0.0013
supporting,0.0208
supports,0.019
suppressed,0.0237
suppression,0.0424
supramarginal,0.0673
supramarginal gyrus,0.0694
surface,-0.0114
surprisingly,0.0222
surrounding,0.0161
susceptibility,-0.0245
sustained,-0.0013
sustained attention,-0.0159
switch,0.0587
switching,0.0392
symbolic,-0.0267
symptom,-0.0058
symptom severity,0.008
symptoms,0.0008
synchronization,0.0026
syndrome,-0.047
syntactic,-0.0138
systematic,-0.038
systematically,0.0351
systems,0.0048
systems involved,-0.0106
t1,-0.0531
t1 weighted,-0.0597
tactile,-0.0223
