Feature,/Users/paxtonfitzpatrick/Desktop/a1_mni.nii.gz
indices,-0.0364
indirect,-0.0413
individual,-0.003
individual variability,-0.0082
individually,-0.0282
individuals,-0.0197
induce,-0.0053
induced,-0.0305
induces,-0.019
inducing,-0.0099
induction,-0.0183
infer,-0.0658
inference,-0.0737
inferences,-0.0463
inferior,-0.0234
inferior frontal,-0.0817
inferior middle,0.0106
inferior occipital,0.0071
inferior parietal,0.0847
inferior prefrontal,0.0308
inferior superior,0.0412
inferior temporal,-0.0075
influence,0.0368
influenced,0.0245
influences,0.0204
inform,-0.004
information,-0.0157
inhibit,0.0658
inhibition,0.0738
inhibitory,0.0337
inhibitory control,0.0592
initial,-0.0526
initially,-0.003
initiation,0.0067
injury,0.0112
input,-0.0669
inputs,-0.0392
insight,0.0139
insights,0.0277
instead,0.009
instructed,-0.0223
instruction,0.0147
instructions,0.0235
insula,-0.0418
insula anterior,-0.0147
insula inferior,-0.0072
insular,-0.0509
insular cortex,-0.0248
intact,0.0194
integrate,-0.02
integrated,-0.0163
integrating,-0.0455
integration,-0.1086
integrative,-0.0253
integrity,-0.0127
intelligence,0.0352
intense,-0.0024
intensity,-0.0653
intention,-0.0106
intentional,-0.0147
intentions,-0.0454
inter,-0.0204
inter individual,0.0098
interact,0.0215
interacting,-0.02
interaction,-0.0296
interactions,-0.0253
interactive,0.0275
interacts,-0.0161
interestingly,0.0027
interference,0.0923
interhemispheric,-0.0009
intermediate,0.0152
internal,0.0089
internally,0.0495
interoceptive,0.0004
interpersonal,-0.0191
interplay,-0.0242
interpret,-0.0146
interpretation,0.0058
interpreted,-0.0116
interval,0.0179
intervals,-0.0115
intervention,-0.02
interventions,-0.0022
intra,0.0477
intraparietal,0.1251
intraparietal sulcus,0.1273
intrinsic,0.0043
intrinsic functional,0.0082
introduced,0.011
introduction,-0.0333
invariant,0.0244
invasive,0.0094
inventory,-0.0524
inverse,0.0186
inversely,-0.0216
investigates,0.0114
investigating,-0.0011
investigation,-0.0172
investigations,0.0196
involve,0.0025
involved,-0.0094
involved cognitive,0.0144
involvement,0.0428
involves,-0.0046
involving,-0.0158
ipl,0.0572
ips,0.1159
ipsilateral,-0.042
iq,-0.0064
irrelevant,0.0554
irrespective,-0.0161
isolate,0.034
isolated,-0.0068
issue,-0.0041
issues,0.0071
item,0.0514
items,0.0394
iv,0.0068
joint,-0.0147
judge,-0.0076
judged,0.0138
judgment,-0.0069
judgment task,-0.0134
judgments,-0.0022
junction,-0.0833
junction tpj,-0.0162
just,-0.0067
key,-0.0151
key role,-0.0186
kinds,0.0024
know,-0.0243
knowledge,-0.033
known,-0.0276
known involved,-0.0246
labeling,-0.0099
laboratory,0.0005
lack,0.0157
lacking,-0.0178
language,-0.1418
language comprehension,-0.122
language network,-0.0903
languages,-0.0849
large,0.0116
large sample,0.0287
large scale,-0.0184
largely,-0.0081
largely unknown,-0.0164
larger,0.011
late,0.0164
latencies,-0.0231
latency,0.0087
later,0.0006
lateral,0.0831
lateral frontal,0.0656
lateral medial,0.0314
lateral occipital,0.0395
lateral orbitofrontal,0.0218
lateral parietal,0.0235
lateral prefrontal,0.1027
lateral temporal,-0.071
laterality,-0.037
lateralization,-0.0501
lateralized,-0.0597
lead,0.0108
leading,0.0114
leads,-0.008
learn,-0.0077
learned,0.0069
learning,0.0465
learning task,0.0462
led,0.0246
length,-0.0003
lesion,-0.0196
lesions,-0.0124
lesser,-0.0127
letter,0.019
letters,0.0239
level,-0.0372
level bold,-0.0137
level signal,-0.0207
levels,0.0353
lexical,-0.0828
lexical decision,-0.0537
life,-0.006
light,-0.0321
like,0.0024
likelihood,0.0203
likely,-0.001
limb,-0.0494
limbic,-0.0136
limitations,0.03
limited,-0.0003
line,0.0353
linear,0.0255
linear model,-0.0046
linearly,0.0649
lingual,0.0018
lingual gyrus,0.0004
linguistic,-0.1305
link,0.013
linked,0.0353
linking,-0.0219
links,0.0101
list,-0.001
listened,-0.1495
listening,-0.166
literature,0.0037
little,-0.005
little known,-0.0073
load,0.0964
lobe,-0.0118
lobe mtl,0.0101
lobes,-0.0055
lobule,0.0655
lobule ipl,0.0749
lobules,0.0286
local,0.0084
localization,-0.0298
localize,-0.0374
localized,-0.0446
located,0.0145
location,0.0302
locations,0.0793
locus,0.0036
long,0.0233
long term,0.0362
longer,0.0074
longitudinal,-0.0189
loop,-0.0129
loss,-0.0066
losses,0.0455
low,0.0114
low frequency,-0.0034
low high,0.012
low level,-0.026
lower,0.0318
m1,-0.0151
machine,0.0547
magnetic,0.0236
magnetic resonance,0.0223
magnetic stimulation,0.0077
magnetoencephalography,-0.0521
magnitude,0.0456
main,-0.0456
main effect,-0.0314
mainly,-0.0031
maintain,0.0374
maintained,0.0737
maintaining,0.093
maintenance,0.1026
major,0.0209
major depression,0.032
major depressive,0.0398
majority,-0.0041
make,0.0819
making,0.1013
male,-0.0314
male female,-0.0202
males,-0.016
manifest,0.0153
manipulated,0.0017
manipulating,-0.0071
manipulation,0.0413
manipulations,0.0106
manner,-0.0119
manual,-0.0081
map,-0.0167
mapp,0.008
mapped,0.0075
mapping,-0.0158
maps,-0.0598
marked,-0.0423
marker,0.0163
markers,0.0022
masked,0.0077
mass,-0.0071
match,0.03
matching,0.0222
matching task,0.0377
material,0.0117
materials,-0.0097
matrix,-0.0219
matter,0.0134
matter density,-0.0088
matter gm,0.0073
matter volume,0.0165
matter volumes,0.0225
maturation,0.0339
maximal,-0.0098
maximum,-0.0082
mci,-0.0004
mdd,0.0309
mean,-0.005
mean age,-0.0219
meaning,-0.1014
meaningful,-0.0469
means,-0.0023
measure,0.003
measurement,0.0059
measurements,0.0118
measures,0.0154
measuring,-0.017
mechanism,0.0021
mechanisms,0.0435
mechanisms involved,0.0126
mechanisms underlying,0.0045
medial,0.0084
medial frontal,0.0621
medial lateral,0.0374
medial orbitofrontal,0.054
medial pfc,-0.0092
medial prefrontal,-0.0306
medial superior,0.0058
medial temporal,0.0049
median,-0.0288
mediate,0.0218
mediated,0.0579
mediates,0.006
mediating,0.0133
medication,0.0112
meg,-0.0418
memories,-0.0358
memory,0.0904
memory encoding,0.016
memory load,0.0968
memory performance,0.0324
memory processes,0.0546
memory retrieval,0.0176
memory task,0.0715
memory tasks,0.0285
memory test,0.018
memory wm,0.0987
men,-0.0213
men women,-0.017
mental,-0.0386
mental imagery,0.0183
mental state,-0.1046
mental states,-0.1594
mentalizing,-0.1068
mesial,0.006
mesolimbic,0.0307
met,0.0186
metabolic,0.0198
metabolism,0.0183
method,-0.0047
methodological,0.0133
methodology,0.062
methodology principal,0.0825
methods,0.0264
methods functional,0.0056
mfg,0.0054
mg,0.0368
mid,-0.0128
midbrain,-0.0057
middle,-0.0729
middle cingulate,-0.0261
middle frontal,0.0683
middle inferior,-0.0234
middle occipital,0.0162
middle superior,-0.0454
middle temporal,-0.1383
midline,-0.0311
mild,0.0082
mild cognitive,0.0096
min,0.0029
mind,-0.1211
mind tom,-0.1259
minimal,0.0041
mirror,-0.0285
mirror neuron,-0.0229
mixed,0.0063
mm,0.0374
mnemonic,0.0004
modal,-0.0061
modalities,0.016
modality,-0.0533
mode,-0.015
mode network,-0.0218
model,-0.0211
modeling,0.0038
models,-0.038
moderate,0.0082
modified,0.0347
modulate,-0.0053
modulated,-0.0004
modulates,0.0053
modulating,0.0003
modulation,0.0059
modulations,-0.0309
modulatory,-0.0069
monetary,0.0507
monetary incentive,0.0237
monetary reward,0.0582
money,0.0562
monitor,-0.0083
monitored,0.0122
monitoring,0.0701
monkey,-0.0053
monkeys,0.0309
months,-0.0084
mood,0.0096
moral,-0.0685
morphological,-0.027
morphology,-0.032
morphometry,0.0129
morphometry vbm,0.014
motion,-0.0089
motivation,0.0462
motivational,0.0615
motor,-0.0273
motor control,-0.0163
motor cortex,-0.054
motor function,-0.0285
motor imagery,-0.0078
motor network,-0.0479
motor performance,-0.0194
motor pre,0.0421
motor premotor,-0.0139
motor response,0.0089
motor responses,-0.0099
motor sma,-0.0426
motor task,-0.0009
movement,-0.0473
movements,-0.019
moving,0.0038
mpfc,-0.0092
mr,-0.0044
ms,-0.0076
mt,-0.0033
mtg,-0.125
mtl,0.0118
multi,0.0028
multimodal,-0.0421
multiple,0.0369
multiple comparisons,0.0203
multiple sclerosis,0.0152
multisensory,-0.0392
multivariate,0.0143
multivariate pattern,0.0026
muscle,-0.0688
music,-0.0914
musical,-0.062
musicians,-0.0275
naive,0.0408
names,-0.0135
naming,-0.0577
native,-0.0815
natural,-0.0458
naturalistic,-0.0764
nature,0.0096
navigation,0.0589
near,0.0217
necessary,0.021
need,0.0188
needed,0.0016
needs,-0.0028
negative,-0.0011
negative affect,-0.0281
negative correlation,0.0124
negative correlations,0.0011
negative emotional,-0.033
negative emotions,-0.002
negative feedback,0.0688
negative neutral,-0.0531
negative positive,0.0139
negatively,0.0182
negatively correlated,0.0148
negativity,0.0489
neocortical,0.0056
nerve,-0.0565
nervous,-0.0395
network,-0.0018
network connectivity,0.0049
network dmn,-0.0211
network involved,0.0332
networks,0.023
networks involved,-0.0264
neuro,0.0158
neuroanatomical,-0.0148
neuroanatomy,-0.0309
neurobiological,0.0272
neurobiology,0.0254
neurocognitive,0.0038
neurodegenerative,-0.0112
neurodevelopmental,0.0436
neurofunctional,0.0109
neurological,-0.0018
neuron,-0.0102
neuronal,0.0602
neurons,0.006
neurophysiological,-0.0301
neuropsychiatric,0.0016
neuropsychological,0.0683
neuroscience,-0.0047
neutral,-0.024
neutral faces,0.0014
neutral pictures,-0.0252
neutral stimuli,0.0043
new,0.006
new insights,0.0329
newly,0.0081
nineteen,0.0137
nociceptive,-0.0396
node,-0.0215
nodes,0.0011
nogo,0.0491
noise,-0.1084
non,-0.0014
normal,-0.0285
normal controls,0.0363
normalized,0.0294
normally,-0.0075
notably,-0.0632
noted,0.0303
notion,0.0099
nouns,-0.0669
novel,0.0362
novelty,0.0039
noxious,-0.0223
nuclei,-0.0172
nucleus,0.0304
nucleus accumbens,0.0393
number,0.104
numbers,0.1169
numerical,0.1133
numerous,0.0064
object,0.0528
object recognition,0.0465
objective,-0.0132
objectives,-0.0121
objects,0.0509
observation,-0.0064
observations,0.004
observer,0.0079
observers,-0.0047
observing,-0.008
obsessive,0.062
obsessive compulsive,0.063
obtain,-0.0213
obtained,-0.0004
occipital,0.0483
occipital cortex,0.0445
occipital gyrus,0.0093
occipital lobe,0.0333
occipital parietal,0.0273
occipital temporal,0.0193
occipito,0.0258
occipito temporal,0.0433
occipitotemporal,0.0132
occipitotemporal cortex,0.0179
occur,0.0377
occurred,0.0183
occurrence,0.0189
occurring,0.0021
occurs,-0.0256
ocd,0.06
oddball,-0.004
ofc,0.0544
offer,-0.03
offers,0.028
old,0.0278
older,0.027
older adults,0.0228
olfactory,0.0353
ones,0.0569
ongoing,-0.003
online,-0.0048
onset,-0.0245
open,0.024
operation,0.0365
operations,0.0298
opercular,-0.0813
opercularis,-0.0727
operculum,-0.0628
opportunity,0.0261
opposed,-0.025
opposite,0.002
optimal,0.0328
optimized,-0.0187
options,0.0307
oral,-0.0753
orbital,0.0149
orbitofrontal,0.0726
orbitofrontal cortex,0.0759
order,-0.0005
organization,-0.0263
organized,-0.021
orientation,0.0621
oriented,0.0169
orienting,0.0494
origin,0.0549
original,0.0332
orthographic,-0.003
oscillations,-0.0115
outcome,0.0189
outcomes,0.0525
output,-0.052
outside,0.0429
outside scanner,0.041
overall,-0.0242
overcome,0.0076
overlap,0.0065
overlapped,-0.0131
overlapping,0.0047
overt,-0.0555
oxygen,-0.0145
oxygen level,-0.0165
oxygenation,-0.0123
oxygenation level,-0.005
paced,-0.0207
pain,-0.0538
painful,-0.029
pair,-0.0064
paired,0.0059
pairs,-0.0056
pallidus,0.0058
paper,-0.0073
paradigm,0.0474
paradigms,-0.0047
parahippocampal,0.0037
parahippocampal cortex,0.013
parahippocampal gyrus,0.003
parahippocampus,-0.0222
paralimbic,-0.028
parallel,0.0296
parameter,0.0123
parameters,-0.0004
parametric,0.0654
parametric mapping,0.0243
parametrically,0.013
parietal,0.1202
parietal cortex,0.1344
parietal cortices,0.0917
parietal frontal,0.0916
parietal junction,-0.1053
parietal lobe,0.0329
parietal lobes,0.055
parietal lobule,0.0816
parietal lobules,0.0684
parietal network,0.1133
parietal occipital,0.0346
parietal temporal,0.019
parieto,0.0139
parieto occipital,0.0345
parkinson,0.0213
parkinson disease,0.0182
pars,-0.1153
pars opercularis,-0.0727
partial,-0.0093
partially,-0.0395
participant,-0.0085
participate,0.013
participated,0.0273
particular,-0.0203
particularly,0.0448
partly,0.0343
partner,0.0309
parts,0.0142
passive,-0.1128
passive viewing,-0.0195
passively,-0.0309
past,-0.0215
pathological,0.0034
pathology,-0.0187
pathophysiological,0.0185
pathophysiology,0.0099
pathway,-0.0195
pathways,-0.0179
patient,-0.0292
patient group,-0.0135
patient groups,-0.013
pattern,0.0247
patterns,0.0034
pcc,-0.0114
pd,0.0222
peak,-0.0836
people,-0.0389
perceive,-0.012
perceived,-0.0403
perceiving,-0.0135
percept,0.0239
perception,-0.0823
perceptual,0.0012
perform,0.0453
performance,0.1185
performance task,0.0523
performances,-0.0267
performing,0.0102
perfusion,0.0219
periaqueductal,-0.0127
period,0.0205
periodicals,0.0099
periods,0.0003
peripheral,-0.0038
persistent,0.0052
person,-0.0704
personal,-0.0414
personality,-0.0088
personality traits,-0.0293
persons,-0.0255
perspective,-0.0175
pet,-0.0243
pfc,0.0574
pharmacological,0.0232
phase,-0.0146
phases,0.0051
phenomena,-0.0137
phenomenon,-0.044
phenotype,0.0279
phonological,-0.0732
photographs,0.0231
physical,-0.0599
physiological,-0.0267
picture,-0.0178
pictures,0.005
pitch,-0.0776
place,-0.0126
placebo,0.0405
placebo controlled,0.0303
planning,0.0424
planum,-0.118
planum temporale,-0.1139
plasticity,-0.0205
play,-0.0032
play important,-0.0136
play role,-0.0236
played,0.0196
playing,0.011
plays,-0.0165
plays important,-0.0057
plays role,0.0128
pleasant,-0.0544
point,0.0229
pointing,0.0668
points,0.0234
pole,-0.0432
polymorphism,0.0285
poor,0.0371
poorer,0.0171
poorly,0.0517
poorly understood,0.048
population,0.0033
populations,-0.0019
portion,-0.0374
portions,0.0285
position,0.0042
positive,-0.0235
positive correlation,-0.0086
positive correlations,-0.0276
positive negative,-0.0164
positively,0.0412
positively correlated,0.04
positron,0.0139
positron emission,0.0138
possibility,-0.0393
possible,-0.0079
possibly,0.0427
post,0.0044
post hoc,-0.0598
postcentral,-0.0166
postcentral gyrus,-0.014
posterior,-0.0485
posterior anterior,-0.0079
posterior cingulate,-0.0076
posterior inferior,-0.0062
posterior insula,-0.059
posterior middle,-0.088
posterior parietal,0.1197
posterior superior,-0.1084
posterior temporal,-0.0699
posttraumatic,0.0096
potential,0.023
potentially,0.0165
potentials,0.0169
power,0.007
powerful,0.0043
ppc,0.0889
ppi,-0.0329
practice,-0.023
pre,0.0558
pre post,0.0065
pre sma,0.0685
pre supplementary,0.0634
preceded,0.0226
preceding,0.0004
precentral,-0.0394
precentral gyrus,-0.0409
precise,0.0046
precuneus,0.0233
precuneus posterior,-0.0078
predict,0.0038
predicted,-0.0235
predicting,0.01
prediction,0.0462
prediction error,0.0654
predictions,0.0175
predictive,-0.0017
predictors,-0.047
predicts,-0.0374
predominantly,-0.0067
preference,-0.0131
preferences,0.0234
preferential,0.0022
preferentially,-0.0321
prefrontal,0.1167
prefrontal cortex,0.1032
prefrontal cortical,0.0089
prefrontal cortices,0.0962
prefrontal parietal,0.0946
preliminary,-0.0003
premotor,-0.0047
premotor cortex,-0.0069
preparation,0.0472
preparatory,0.059
presence,-0.0658
presentation,0.0123
presentations,0.0133
presented,0.0007
presenting,0.0091
preserved,-0.0133
press,0.0101
pressure,-0.031
presumably,-0.022
previous,0.0283
previous functional,0.0082
previous reports,-0.0226
previous research,0.0195
previous shown,0.0153
previous work,0.0334
primarily,0.0065
primary,-0.068
primary auditory,-0.1335
primary motor,-0.0535
primary secondary,-0.0662
primary sensorimotor,-0.024
primary somatosensory,-0.0221
primary visual,0.0075
primates,0.0006
prime,0.0079
priming,-0.0131
principal,0.0393
principle,-0.0073
prior,0.0328
priori,0.0284
probabilistic,0.02
probability,0.0265
probably,0.0025
probe,0.0617
problem,0.017
problems,0.0162
procedure,-0.0165
procedures,0.0661
process,0.0299
processed,-0.0574
processes,0.0264
processes involved,0.0335
processes underlying,0.004
produce,-0.0339
produced,-0.0568
producing,-0.0493
production,-0.1066
profile,0.0123
profiles,-0.0107
progression,0.0134
progressive,0.0003
prolonged,-0.0048
prominent,-0.008
promising,0.0189
pronounced,-0.0347
proper,-0.0333
properties,-0.0642
proportion,0.0555
propose,0.0333
proposed,0.0125
prospective,0.0728
protocol,-0.014
provide,0.0433
provide evidence,0.007
provide new,0.0412
provide novel,0.0544
provided,0.0012
provides,-0.0293
provides evidence,-0.0035
providing,-0.0026
pseudowords,-0.0807
psts,-0.0893
psychiatric,0.0454
psychiatric disorders,0.037
psychological,-0.0265
psychopathology,0.0008
psychophysical,-0.0156
psychophysiological,-0.0058
psychophysiological interaction,-0.0042
psychosis,-0.0394
psychotic,-0.0126
ptsd,0.0341
published,-0.0071
punishment,0.0423
pure,-0.0039
purpose,0.0156
putamen,-0.035
putative,0.0354
quality,-0.0311
quantified,-0.0219
quantify,-0.0352
quantitative,-0.0
question,-0.0112
questionnaire,-0.0087
questions,-0.0258
random,0.0103
random effects,-0.0147
randomized,-0.0094
randomly,0.0272
range,-0.0036
ranging,-0.0126
rapid,0.0059
rapidly,-0.0207
rare,-0.0204
rarely,0.0164
rate,0.0057
rated,-0.0404
rates,0.0161
rating,-0.023
ratings,-0.0642
ratio,-0.0179
rationale,0.0043
reach,0.0216
reaching,0.05
reaction,0.0564
reaction time,0.0485
reaction times,0.053
reactions,-0.0141
reactivity,0.012
read,-0.0909
readers,-0.0376
reading,-0.0739
real,0.0162
real time,-0.033
real world,0.0144
reality,0.0326
reappraisal,-0.0549
reasoning,0.0248
recall,-0.0055
receive,-0.014
received,0.0485
receiving,0.0144
recently,0.0246
receptor,0.014
recognition,0.0258
recognition memory,0.029
recognition task,0.0377
recognize,-0.0137
recognized,-0.0148
recognizing,-0.0329
recollection,-0.0046
recorded,0.0079
recording,-0.0118
recordings,-0.0337
recovery,-0.0326
recruit,-0.0114
recruited,0.0103
recruitment,-0.0222
recruits,-0.0504
reduce,-0.0143
reduces,-0.0049
reducing,0.0138
reduction,0.0039
reductions,0.0135
reference,0.0084
referential,-0.0082
referred,0.0016
refers,-0.0435
reflect,-0.0238
reflected,0.0254
reflecting,-0.0257
reflects,0.0071
regard,-0.006
regarding,-0.004
regardless,-0.055
regional,0.0429
regional cerebral,0.0205
regional gray,0.0012
regional homogeneity,0.0327
regular,-0.0196
regulate,-0.0057
regulating,-0.0171
regulation,-0.0052
regulatory,0.0042
rehabilitation,-0.0378
rehearsal,-0.0124
reho,0.0347
reinforcement,0.0695
reinforcement learning,0.0584
relate,-0.0091
relates,-0.0128
relation,0.0131
relational,0.0529
relations,0.0343
relationship,0.0315
relationships,-0.0352
relatively,0.0264
relevance,-0.0109
relevant,-0.0378
relevant information,0.0144
reliability,-0.0301
reliable,-0.0327
reliably,-0.0346
reliance,-0.0326
relied,0.0377
relies,-0.0161
rely,0.0166
remain,0.0024
remain unclear,0.0108
remained,0.0182
remaining,-0.0239
remarkably,0.0031
remember,0.041
remembered,-0.0259
remembering,-0.0227
remote,-0.0159
reorganization,-0.0026
repeat,0.0279
repeated,-0.0008
repeatedly,0.0011
repetition,-0.0542
repetition suppression,-0.0122
repetitive,0.0128
replicate,-0.0079
replicated,0.0029
report,0.0363
reported,-0.0085
reports,-0.0428
represent,0.0032
representation,-0.0069
representational,0.0032
representations,0.0018
represented,0.0097
representing,-0.0006
represents,0.0601
require,-0.0408
required,0.0952
requirements,0.0516
requires,0.0294
requiring,0.0894
research,-0.0245
research suggests,0.0117
researchers,-0.0044
residual,-0.0084
resolution,0.0022
resolve,-0.0072
resonance,0.0212
resonance experiment,-0.0254
resonance healthy,0.0172
resonance images,0.0394
resonance measure,0.006
resonance performing,0.0345
resonance rs,0.0081
resonance scans,-0.0151
resources,0.0416
respect,-0.0041
respective,-0.0079
respectively,0.0407
respond,0.003
responded,-0.0122
responding,-0.0122
responds,-0.0583
response,0.0373
response inhibition,0.0719
response selection,0.0555
response time,0.0107
response times,0.1047
responses,-0.0335
responsible,-0.029
responsive,-0.0358
responsiveness,-0.0021
rest,-0.023
resting,-0.0068
resting state,-0.0047
restricted,-0.0063
result,0.0337
resulted,-0.0033
resulting,-0.0264
retention,0.0343
retrieval,0.0127
retrieved,0.0062
retrosplenial,0.0171
retrosplenial cortex,0.0029
reveal,-0.0279
revealing,-0.0734
reveals,-0.0191
reversal,0.0732
reverse,0.0244
reversed,-0.0033
reward,0.0708
reward anticipation,0.0235
rewarding,0.0236
rewards,0.0688
rhythm,-0.0562
rich,-0.0787
rise,0.0211
risk,0.0428
risk taking,0.07
risky,0.058
robust,0.0006
roi,-0.03
rois,0.0081
role,-0.0177
roles,-0.0146
rostral,0.0588
rostral anterior,0.0489
rotation,0.0477
rs,0.0162
rsfc,-0.0224
rt,0.0577
rule,0.1118
rules,0.1005
run,0.0011
runs,0.0015
s1,-0.0189
saccade,0.0474
saccades,0.0379
sad,-0.0056
salience,0.0158
salience network,0.0131
salient,0.0166
sample,0.0452
samples,0.0176
sampling,-0.0864
scale,-0.0136
scales,-0.0273
scalp,0.0417
scan,-0.0098
scanned,-0.036
scanned using,-0.0171
scanner,-0.014
scanning,-0.0273
scans,-0.0132
scene,-0.009
scenes,-0.0099
schizophrenia,-0.0205
schizophrenic,-0.0419
sclerosis,0.0077
score,0.0068
scores,0.0058
sd,-0.0136
se,0.063
search,-0.0149
second,-0.042
secondary,-0.0576
secondary somatosensory,-0.0705
sectional,-0.0056
seed,0.0176
seeds,-0.0259
seeking,0.0252
seen,-0.0054
segregated,-0.0083
segregation,-0.0121
select,0.0189
selected,0.0061
selection,0.0829
selective,0.0099
selective attention,0.0386
selectively,0.0129
selectivity,-0.0349
self,-0.0139
self referential,-0.0051
self report,0.0107
self reported,-0.005
semantic,-0.0998
semantic memory,-0.0289
semantically,-0.0658
semantics,-0.0499
sensation,-0.0163
sensations,-0.0338
sense,0.0041
sensitive,-0.0258
sensitivity,0.0007
sensorimotor,-0.0597
sensorimotor cortex,-0.0377
sensorimotor network,-0.0173
sensory,-0.0633
sensory information,-0.0173
sensory motor,-0.0405
sentence,-0.1406
sentence comprehension,-0.077
sentences,-0.1751
separable,-0.0003
separate,0.0534
separated,0.064
separately,-0.0336
separation,0.0007
sequence,-0.0065
sequences,-0.0035
sequential,0.0159
serial,-0.0021
series,-0.018
serotonin,0.0175
serve,0.001
served,-0.0209
serves,0.0042
session,-0.0359
sessions,0.0345
set,0.0499
sets,0.0273
setting,0.0314
settings,-0.0053
seven,0.0106
seventeen,-0.0099
severe,0.0468
severity,0.015
sex,-0.0299
sexual,0.0087
sham,0.0347
shape,0.1044
shaped,0.0203
shapes,0.0254
share,-0.0039
shared,0.0123
shed,-0.0162
shed light,-0.0058
shift,0.0488
shifted,-0.0165
shifting,0.0729
shifts,0.0336
short,-0.0821
short term,-0.0229
shorter,0.0122
showing,-0.0208
shown,0.002
shows,-0.0456
si,-0.0188
sided,-0.0259
sighted,-0.0224
sign,-0.0325
signal,-0.0015
signal change,-0.0328
signal task,0.0574
signaling,0.0148
signals,-0.0034
signature,-0.0204
significance,0.0311
significance statement,0.0269
signs,-0.0179
sii,-0.0668
silent,-0.0767
similarities,0.0241
similarity,0.0048
similarly,0.0125
simple,0.0172
simply,0.0592
simulated,0.0052
simulation,-0.052
simultaneous,-0.0365
simultaneous eeg,-0.0024
simultaneously,-0.0007
single,-0.0106
single subject,-0.0211
single trial,0.0323
site,-0.0281
sites,-0.019
situation,-0.0215
situations,0.0377
sixteen,0.0212
size,0.0598
sizes,0.0438
skill,0.0118
skills,-0.0778
skin,0.0015
skin conductance,-0.0086
sleep,0.0032
slow,-0.0157
slower,0.0226
sma,0.0026
small,0.0115
smaller,-0.0105
smokers,0.0475
smoking,0.0309
sn,-0.0112
social,-0.0586
social cognition,-0.0531
social cognitive,-0.059
social interaction,-0.0584
social interactions,-0.0487
socially,-0.0492
software,0.0141
solving,0.0523
somatosensory,-0.0675
somatosensory cortex,-0.0529
somatosensory cortices,-0.0626
sought,0.0135
sound,-0.1085
sounds,-0.1391
source,0.0044
sources,0.0126
space,0.0324
span,0.0114
sparse,-0.0837
spatial,0.0856
spatial attention,0.0704
spatial information,0.043
spatial temporal,-0.0045
spatially,-0.0201
spatiotemporal,-0.0297
speaker,-0.1399
speakers,-0.0983
speaking,-0.086
special,-0.0216
specialization,-0.0206
specialized,0.0201
species,0.0194
specifically,0.0025
specificity,-0.0055
specified,0.0164
spectral,-0.0694
spectrum,-0.0003
spectrum disorder,-0.0307
spectrum disorders,0.009
speech,-0.1724
speech perception,-0.124
speech production,-0.1222
speed,0.0212
spin,-0.0092
spin labeling,-0.0021
spinal,-0.0357
spl,0.0481
spoken,-0.139
spontaneous,-0.0277
stable,-0.0042
stage,0.0406
stages,-0.0076
standard,-0.0155
standardized,-0.0471
state,-0.0413
state connectivity,0.0067
state functional,0.0099
state networks,0.0128
statement,0.0212
states,-0.1251
static,-0.0094
statistics,-0.0238
status,0.0033
step,0.0085
stg,-0.1388
stimulated,-0.0397
stimulation,-0.0593
stimulation tms,-0.017
stimuli,-0.0268
stimuli presented,-0.0071
stimulus,0.0164
stimulus driven,0.0453
stimulus response,0.0711
stop,0.0594
stop signal,0.0673
storage,0.0575
stored,-0.0174
strategic,0.0434
strategies,-0.005
strategy,0.0133
stream,-0.0014
streams,-0.0199
strength,-0.0296
stress,-0.0066
stress disorder,0.0324
striatal,0.0321
striatum,0.0511
striking,0.0033
stroke,-0.0607
strong,-0.0127
strongest,-0.0343
strongly,0.0015
stroop,0.106
stroop task,0.0787
structural,0.0127
structural functional,-0.0021
structural magnetic,0.0195
structure,-0.0657
structure function,-0.02
structures,-0.0448
structures involved,-0.0166
sts,-0.135
students,-0.0006
studied,0.011
studying,0.0016
sub,0.0247
subcortical,-0.0355
subcortical structures,-0.0492
subgenual,0.0143
subject,-0.053
subjective,-0.0108
subregions,-0.0261
subsequent,-0.0044
subsequent memory,0.0049
subsequently,0.0038
subserve,-0.0241
subserved,0.0247
subserving,0.0544
subset,0.0377
substance,0.0653
substantia,-0.0005
substantial,-0.021
substantially,-0.0176
substrate,0.0312
substrates,-0.0017
subtle,0.0265
subtraction,0.0514
success,0.0223
successful,0.0156
successfully,0.0137
successive,-0.0237
suffering,0.0071
sufficient,0.0267
suggest,-0.0167
suggest functional,-0.0073
suggested,0.0113
suggesting,-0.0152
suggests,-0.0007
sulci,0.0216
sulcus,0.0084
sulcus ips,0.1084
sulcus sts,-0.1178
sum,-0.01
summary,0.0142
superior,-0.1069
superior frontal,0.0828
superior inferior,0.0207
superior middle,-0.0982
superior parietal,0.0789
superior temporal,-0.1726
supplementary,-0.0071
supplementary motor,-0.0129
supported,0.0378
supporting,-0.0315
supports,-0.0049
suppressed,-0.0011
suppression,-0.0014
supramarginal,-0.0347
supramarginal gyrus,-0.0205
surface,0.0003
surprisingly,0.0106
surrounding,-0.0125
susceptibility,0.01
sustained,0.0452
sustained attention,0.0109
switch,0.0707
switching,0.0869
symbolic,0.0923
symptom,0.0227
symptom severity,0.0374
symptoms,0.0265
synchronization,-0.0232
syndrome,-0.0182
syntactic,-0.136
systematic,0.0036
systematically,0.043
systems,-0.028
systems involved,-0.0175
t1,-0.0098
t1 weighted,-0.0221
tactile,-0.0094
taken,-0.0176
taken suggest,-0.0155
taking,0.0186
